"","iso","iso3","subarea","hdi","population","fraction_urban_pop","fraction_pop_under5","sheddingRate_rota","shedding_duration_rota","sheddingRate_crypto","shedding_duration_crypto","incidence_urban_under5_rota","incidence_urban_5plus_rota","incidence_rural_under5_rota","incidence_rural_5plus_rota","incidence_urban_under5_crypto","incidence_urban_5plus_crypto","incidence_rural_under5_crypto","incidence_rural_5plus_crypto","flushSewer_urb","flushSeptic_urb","flushPit_urb","flushOpen_urb","flushUnknown_urb","pitSlab_urb","pitNoSlab_urb","compostingTwinSlab_urb","compostingTwinNoSlab_urb","compostingToilet_urb","bucketLatrine_urb","containerBased_urb","hangingToilet_urb","openDefecation_urb","other_urb","coverBury_urb","sewageTreated_urb","fecalSludgeTreated_urb","isWatertight_urb","hasLeach_urb","onsiteDumpedland_urb","emptyFrequency_urb","pitAdditive_urb","urine_urb","flushSewer_rur","flushSeptic_rur","flushPit_rur","flushOpen_rur","flushUnknown_rur","pitSlab_rur","pitNoSlab_rur","compostingTwinSlab_rur","compostingTwinNoSlab_rur","compostingToilet_rur","bucketLatrine_rur","containerBased_rur","hangingToilet_rur","openDefecation_rur","other_rur","coverBury_rur","sewageTreated_rur","fecalSludgeTreated_rur","isWatertight_rur","hasLeach_rur","onsiteDumpedland_rur","emptyFrequency_rur","pitAdditive_rur","urine_rur","FractionPrimarytreatment","FractionSecondarytreatment","FractionTertiarytreatment","FractionQuaternarytreatment","FractionPonds","fEmitted_inEffluent_after_treatment_viruses","fEmitted_inEffluent_after_treatment_protozoa"
"1",5001,"ABW","Aruba",NA,105670,0.43410618,0.0569469681359234,1e+10,7,1e+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",1,0,0,NA,NA,0.2425,0.425
"2",5002,"AFG","Afghanistan",0.496,36373176,0.254948922,0.145716690058793,1e+10,7,1e+09,7,0.24,0.01,0.24,0.01,0.1,0.1,0.1,0.1,0.045,0.337,0.041,0.007,0,0.408,0.151,NA,NA,0,0,NA,0,0.005,0.004,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",0.006,0.01,0.003,0.001,0,0.419,0.34,NA,NA,0,0,NA,0,0.177,0.044,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",1,0,0,NA,NA,0.2425,0.425
"3",5003,"AGO","Angola",0.574,30774205,0.655144073,0.176320718859835,1e+10,7,1e+09,7,0.24,0.01,0.24,0.01,0.1,0.1,0.1,0.1,0.117,0.756,0,0.04,0,0,0,NA,NA,0,0.004,NA,0,0.078,0.005,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",0.023,0.271,0,0.076,0,0,0,NA,NA,0,0.002,NA,0,0.628,0.001,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",1,0,0,NA,NA,0.2425,0.425
"4",5004,"AIA","Anguilla",NA,15045,1,NA,1e+10,7,1e+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",0.833333333333333,0.166666666666667,0,NA,NA,0.20625,0.3575
"5",5005,"ALA","Åland",NA,NA,NA,NA,1e+10,7,1e+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",5006,"ALB","Albania",0.791,2934363,0.603188835,0.0577795538258392,1e+10,7,1e+09,7,0.24,0.01,0.24,0.01,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0008206,0.4005493,0.0003355,0.0003355,0.0003355,0.1,3,"None","Fresh Urine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0097448,0.3802184,0.0039846,0.0039846,0.0039846,0.1,3,"None","Fresh Urine",0.4,0.6,0,NA,NA,0.112,0.182
"7",5007,"AND","Andorra",0.857,76953,0.880615441,NA,1e+10,7,1e+09,7,0.08,0.01,0.08,0.01,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0.1,3,"None","Fresh Urine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0.1,3,"None","Fresh Urine",0.0618556701030928,0.577319587628866,0.360824742268041,NA,NA,0.0308762886597938,0.0450515463917526
"8",5008,"ARE","United Arab Emirates",0.866,9541615,0.865224912,0.0504669174148669,1e+10,7,1e+09,7,0.08,0.01,0.08,0.01,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",0.443037974683544,0.468354430379747,0.0886075949367089,NA,NA,0.1195,0.199430379746835
"9",5009,"ARG","Argentina",0.83,44688864,0.918704646,0.0826769943572383,1e+10,7,1e+09,7,0.08,0.01,0.08,0.01,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,"None","Fresh Urine",0.784313725490196,0.215686274509804,0,NA,NA,0.195588235294118,0.337647058823529
"10",5010,"ARM","Armenia",0.76,2934152,0.631486372,0.069176784553633,1e+10,7,1e+09,7,0.24,0.01,0.24,0.01,0.1,0.1,0.1,0.1,0.953,0.003,0,0.009,0.001,0.011,0.024,NA,NA,0,0,NA,0,0,0,0.0026381,0.4487889,0.001195,0.001195,0.001195,0.1,3,"None","Fresh Urine",0.284,0.057,0,0.052,0.003,0.147,0.458,NA,NA,0,0,NA,0,0,0,NA,0.087567,NA,NA,NA,0.1,3,"None","Fresh Urine",0.457142857142857,0.542857142857143,0,NA,NA,0.124428571428571,0.205142857142857
