scenario,region,population,excreted,flushSewer,flushSeptic,flushPit,flushOpen,flushUnknown,pitSlab,pitNoSlab,compostingTwinSlab,compostingTwinNoSlab,compostingToilet,bucketLatrine,containerBased,hangingToilet,openDefecation,other,isShared,sewerLeak,emptied,isWatertight,hasLeach,coverBury,emptiedTreatment,emptyFrequency,pitAdditive,flushElsewhere,pitVIP,pitTraditional,otherLatrine,otherImproved,otherUnimproved,dontKnow,pitLined,pitUnlined
baseline,Banda,20576,1.00E+10,0.004412089,0.063203177,0.056033532,0.000551511,0.021619237,0.747959409,0.054820207,0,0,0.000772116,0,0,0,0.050628723,0,6.19E-01,0.05,0.182487725,0,0.482999128,0,0.17886369,3,None,0,0,0,0,0,0,0,0.288881535,0.514670196
baseline,Bugolobi,5023,1.00E+10,0.366391185,0.441230487,0.017447199,0,0.01882461,0.149678604,0.004591368,0,0,0,0,0,0,0.001836547,0,0.130853994,0.05,0.153846154,0,0.919230769,0,0.151648352,3,None,0,0,0,0,0,0,0,0.03030303,0.123966942
baseline,Bukasa,29406,1.00E+10,0.007274561,0.411624892,0.110847018,0.001368482,0.009075194,0.408455776,0.022543935,0,0,0.001368482,0,0,0,0.027225583,0.000216076,0.259435321,0.05,0.241819273,0,0.778818345,0,0.234238967,3,None,0,0,0,0,0,0,0,0.183376549,0.248991645
baseline,Bukesa,9037,1.00E+10,0.148221344,0.339920949,0.110177866,0.011363636,0.009387352,0.365118577,0.013339921,0,0,0,0,0,0,0,0.002470356,0.31472332,0.05,0.39675174,0,0.752601156,0,0.372389791,3,None,0,0,0,0,0,0,0,0.201086957,0.177371542
baseline,Bukoto I,23045,1.00E+10,0.001725713,0.33732616,0.099380774,0.001522688,0.006090752,0.53862552,0.014516293,0,0,0,0,0,0,0,0.0008121,0.422089128,0.05,0.317737003,0,0.784707288,0,0.31559633,3,None,0,0,0,0,0,0,0,0.371028322,0.182113491
baseline,Bukoto II,22773,1.00E+10,0.00276116,0.433436329,0.091841431,0.00105187,0.034448754,0.412661889,0.018670699,0,0,0,0,0,0.000328709,0.004010256,0.000788903,0.289264348,0.05,0.158307314,0,0.784264264,0,0.153059191,3,None,0,0,0,0,0,0,0,0.113076063,0.318256525
baseline,Busega,35075,1.00E+10,0.003588785,0.143252336,0.069831776,0.001719626,0.00717757,0.717906542,0.052859813,0,0,0.000448598,0,0,0,0.001570093,0.00164486,0.358504673,0.05,0.267715942,0,0.698857353,0,0.250621282,3,None,0,0,0,0,0,0,0,0.358878505,0.412336449
baseline,Butabika,19550,1.00E+10,0.046062759,0.156305506,0.06642984,0.00071048,0.004381291,0.695914742,0.018709295,0,0,0.000236827,0,0,0,0.009354648,0.001894612,0.433510953,0.05,0.216229839,0,0.750999429,0,0.207409274,3,None,0,0,0,0,0,0,0,0.34955595,0.365304914
baseline,Buziga,15977,1.00E+10,0.008745328,0.521898582,0.069116299,0.030679173,0.056068834,0.294731645,0.012906411,0,0,0,0,0,0.000282107,0.001833698,0.003737922,0.230270118,0.05,0.208363219,0,0.814366604,0,0.20298379,3,None,0,0,0,0,0,0,0,0.119966147,0.187671909
baseline,Bwaise I,19058,1.00E+10,0.000327761,0.13755053,0.055391675,0.001201792,0.001966568,0.782912706,0.011908664,0,0,0.000437015,0,0,0.000327761,0.006992243,0.000983284,0.498525074,0.05,0.2758013,0,0.758662614,0,0.270624518,3,None,0,0,0,0,0,0,0,0.393859937,0.401398449
baseline,Bwaise II,18269,1.00E+10,0.001022844,0.082054779,0.031367201,0.000227299,0.009205592,0.858961246,0.013069667,0,0,0,0,0,0.000340948,0.003750426,0,0.397431526,0.05,0.224716527,0,0.708835341,0,0.218531669,3,None,0,0,0,0,0,0,0,0.321400159,0.550630753
baseline,Bwaise III,8183,1.00E+10,0,0.021616229,0.038909212,0,0.00631859,0.894246758,0.037246425,0,0,0,0,0,0,0,0.001662787,0.520452278,0.05,0.574924573,0,0.424836601,0,0.542406973,3,None,0,0,0,0,0,0,0,0.800798138,0.130695045
baseline,Ggaba,24408,1.00E+10,0.005628244,0.437248739,0.075067612,0,0.031357357,0.426211534,0.022293692,0,0,0,0,0,0,0.001315693,0.000877129,2.89E-01,0.05,0.257886203,0,0.820249965,0,0.250663325,3,None,0,0,0,0,0,0,0,0.241137344,0.207367882
baseline,Itek,571,1.00E+10,0.982683983,0,0.006493506,0,0,0.010822511,0,0,0,0,0,0,0,0,0,0.006493506,0.05,0.375,0,0,0,0.375,3,None,0,0,0,0,0,0,0,0.010822511,0
baseline,Kabalagala,16426,1.00E+10,0.016557434,0.228699552,0.089858572,0.007588824,0.004311832,0.599517075,0.037599172,0,0,0,0,0,0,0.013107968,0.002759572,0.563815109,0.05,0.269713262,0,0.742873432,0,0.251971326,3,None,0,0,0,0,0,0,0,0.254053122,0.383063125
baseline,Kabowa,39655,1.00E+10,0.003886904,0.13014858,0.031596765,0,0.008839571,0.7862203,0.031534073,0,0,0.000250768,0,0,0,0.005266128,0.002256912,0.447244687,0.05,0.435099506,0,0.800627943,0,0.424895424,3,None,0,0,0,0,0,0,0,0.485361419,0.332643721
baseline,Kagugube,6229,1.00E+10,0.15589942,0.15589942,0.021276596,0.011605416,0.002321083,0.562475822,0.034042553,0,0,0,0,0,0,0.033268859,0.023210832,0.370599613,0.05,0.483638114,0,0.830472103,0,0.432146295,3,None,0,0,0,0,0,0,0,0.28549323,0.311025145
baseline,Kamwokya II,18640,1.00E+10,0.24204034,0.082347058,0.04834139,0.003333889,0.00450075,0.553258876,0.03183864,0,0,0.015502584,0,0,0,0.018169695,0.000666778,0.456909485,0.05,0.51589628,0,0.738724728,0,0.482750846,3,None,0,0,0,0,0,0,0,0.372562094,0.228038006
baseline,Kansanga,22887,1.00E+10,0.00167294,0.418653283,0.093405827,0,0.049769971,0.42255681,0.00871323,0,0,0.00E+00,0.00E+00,0,0,0.003833821,0.001394117,0.299735118,0.05,0.340747519,0,0.771964077,0,0.332512142,3,None,0,0,0,0,0,0,0,0.277777778,0.153492263
baseline,Kanyanya,26844,1.00E+10,0.000224303,0.155386082,0.052935569,0,0.003981383,0.771098525,0.015084394,0,0,0,0.00E+00,0,0,0.000897213,0.000392531,0.46985925,0.05,0.150224972,0,0.762023217,0,0.146456693,3,None,0,0,0,0,0,0,0,0.273706051,0.512476869
baseline,Kasubi,60049,1.00E+10,0.00368668,0.114478598,0.043234703,0.002633343,0.006559418,0.78181557,0.039643781,0,0,0.00229819,0,0,9.58E-05,0.003303648,0.002250311,0.50737336,0.05,0.212844037,0,1.437419355,0,0.197585707,3,None,0,0,0,0,0,0,0,0.33117878,0.492578761
baseline,Katwe I,7867,1.00E+10,0.133783024,7.48E-02,0.04440697,8.43E-03,0.016863406,0.638560989,5.73E-02,0.00E+00,0,0,0,0,0,0.023046655,2.81E-03,5.40E-01,0.05,0.515274949,0,0.577464789,0,0.489477257,3,None,0,0,0,0,0,0,0,0.456998314,0.238898257
baseline,Katwe II,13492,1.00E+10,0.003777862,0.092746505,0.092557612,0.001322252,0.004722327,0.763694749,0.026633925,0,0,0,0,0,0,0.010578013,0.003966755,0.661692482,0.05,0.270631538,0,0.578571429,0,0.258426966,3,None,0,0,0,0,0,0,0,0.422553835,0.367774839
baseline,Kawempe I,44745,1.00E+10,0.000826511,0.15030699,0.049787469,0.005470718,0.003699622,0.77479534,0.012358312,0,0,7.87E-05,0,0,0.000393577,0.00153495,0.000747796,0.45906801,0.05,0.139481587,0,0.771195097,0,0.133198988,3,None,0,0,0,0,0,0,0,0.242797544,0.544434824
baseline,Kawempe II,23239,1.00E+10,0,0.145070232,0.04615871,0,0.00844587,0.777200668,0.017930536,0,0,0.00018066,0,0,0.000225825,0.004335848,0.000451651,0.271758277,0.05,0.079537699,0,0.755445076,0,0.077217091,3,None,0,0,0,0,0,0,0,0.163362088,0.631949776
baseline,Kazo Angola,18598,1.00E+10,0,0.062718786,0.030435628,0.000486192,0.005250875,0.883119409,0.010307273,0,0,0,0,0,0,0.007487359,0.000194477,5.00E-01,0.05,0.187174703,0,0.697986577,0,0.168221546,3,None,0,0,0,0,0,0,0,0.475009724,0.418416958
baseline,Kibuli,26190,1.00E+10,0.037573022,0.150292087,0.073021774,0.009691981,0.019251195,0.660249602,0.033722783,0,0,0.000265534,0,0,0,0.007302177,0.008629846,0.522703133,0.05,0.311247216,0,0.69245283,0,0.28201559,3,None,0,0,0,0,0,0,0,0.308284652,0.385953266
baseline,Kibuye I,26284,1.00E+10,0.006003321,0.103461489,0.060544131,0.001149572,0.007152893,0.77072423,0.040362754,0,0,0.00536467,0,0,0,0.00523694,0,0.67748116,0.05,0.341267788,0,0.699516908,0,0.314359638,3,None,0,0,0,0,0,0,0,0.425086218,0.391365436
baseline,Kibuye II,9051,1.00E+10,0.056615385,0.286153846,0.081846154,0,0.016,0.548923077,0.010461538,0,0,0,0,0,0,0,0,0.503384615,0.05,0.255388635,0,0.823843416,0,0.241018942,3,None,0,0,0,0,0,0,0,0.165538462,0.393846154
baseline,Kikaaya,31685,1.00E+10,0.000365631,0.273735527,0.089152956,0,0.004936015,0.620962828,0.009750152,0,0,0,0,0,0,0.001096892,0,0.383302864,0.05,0.164556962,0,0.751392405,0,0.163333945,3,None,0,0,0,0,0,0,0,0.261304083,0.369408897
baseline,KISENYI I,1120,1.00E+10,0.336244541,0.048034934,0.002183406,0,0.030567686,0.552401747,0,0,0,0.026200873,0,0,0,0.004366812,0,0.237991266,0.05,0.870860927,0,0.647058824,0,0.814569536,3,None,0,0,0,0,0,0,0,0.27510917,0.30349345
baseline,Kisenyi II,8329,1.00E+10,0.368353892,0.259464058,0.050191408,0.043385793,0,0.242450021,0.021692897,0,0,0,0,0,0,0.014461931,0,0.148447469,0.05,0.55754652,0,0.810666667,0,0.539627843,3,None,0,0,0,0,0,0,0,0.137813696,0.126329222
