gid,hdi,sewageTreated_urb,sewageTreated_rur,Fsmanaged_urb,Fsmanaged_rur,coverBury_urb,coverBury_rur,fecalSludgeTreated_urb,fecalSludgeTreated_rur
SLE,0.438,0.0018905,0.0000685,0.2008303,0.0840419,0.2008303,0.0840419,0,0
WSM,0.707,0.002414,0.000868,0.3749944,0.5080804,0.3749944,0.5080804,0,0
UGA,0.528,0.0042451,0.0005484,0,0,,,,
TZA,0.528,0.0061506,0.0007022,0.3082662,0.2231534,0.3082662,0.2231534,0,0
NER,0.377,0.0086009,0.0006398,0.2256812,0.0683896,0.2256812,0.0683896,0,0
MLI,0.427,0.0091684,0,0.081946,0.2553843,0.081946,0.2553843,0,0
LAO,0.604,0.0094397,0.0032568,0.6144936,0.5545542,0.6144936,0.5545542,0,0
PHL,0.712,0.0236052,0.0128972,0.5162762,0.4829465,0.5162762,0.4829465,0,0
DJI,0.495,0.029974,0,0.3848224,0.1893489,0.3848224,0.1893489,0,0
SEN,0.514,0.0429374,0.0008771,0.1757086,0.2100927,0.1757086,0.2100927,0,0
NGA,0.534,0.0473197,0.0165939,0.2477168,0.222005,0.2477168,0.222005,0,0
DOM,0.745,0.0550725,0.0093284,0,0,,,,
PRY,0.724,0.0688401,0,0.4667753,0.6624273,0.4667753,0.6624273,0,0
BIH,0.769,0.0703285,0.0245008,0.0423992,0,0.0390956,,0.0033036,
MKD,0.759,0.082,0.0309013,0,0,0,,0,
IND,0.647,0.0883698,0.0032375,0,0.3872204,,0.3872204,,0
MNG,0.735,0.0890717,0.0087356,0,0,,,,
GEO,0.786,0.0973355,0.0056608,0.061316,0,0.0549422,,0.0063738,
SWZ,0.608,0.1019473,0.0100481,0,0,,,,
PNG,0.543,0.113251,0.0047465,0,0,,,,
ZWE,0.563,0.1174992,0.0032482,0.0454226,0,0.0343757,,0.0110469,
JAM,0.726,0.1222953,0.0254565,0,0,,,,
OMN,0.834,0.1259494,0.0150854,0,0,,,,
CRI,0.794,0.1261448,0.0272248,0,0,,,,
COL,0.761,0.1417525,0.0213052,0.0165834,0,0.0142751,,0.0023083,
BOL,0.703,0.1504982,0.0131157,0.0962514,0,0.0744346,,0.0218168,
