ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
204,BEN,Benin,Enquête démographique et de santé - DHS01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,BEN,Benin,Recencement - CEN02,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,BEN,Benin,Questionnaire des indicateurs de base du bien-être - QUIBB03,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,BEN,Benin,ENNQUÊTE SOCIO-ANTHROPOLOGIQUE SUR LA FECONDITE ET LA MORTALITE INFANTILE ET MATERNELLE  - ESAFEM03,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.009,0.004
204,BEN,Benin,Enquête démographique et de santé - DHS06,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,BEN,Benin,"Analyse Globale de la Vulnérabilité, de la Sécurité Alimentaire et de la Nutrition - AGVSAN09",2009,0.053,0.0,0.0,0.0,0.0,0.324,0.0,0.272,0.0,0.02,0.0,0.0,0.0,0.0,0.282,0.001,0.001,0.004,0.0,0.0,0.0,0.0,0.041,0.0,0.127,0.0,0.013,0.0,0.0,0.0,0.0,0.77,0.014,0.0,0.9530000000000001,0.9690000000000001
204,BEN,Benin,ENQUETE MODULAIRE INTEGREE SUR LES CONDITIONS DE VIE DES MENAGES 2ème ÉDITION (EMICoV 2011) - EMICOV11,2011,0.012,0.076,0.014,0.001,0.001,0.067,0.425,0.0,0.092,0.022,0.0,0.0,0.005,0.0,0.279,0.007,0.0,0.002,0.002,0.0,0.0,0.0,0.008,0.107,0.0,0.049,0.012,0.0,0.0,0.002,0.0,0.814,0.002,0.0,1.001,0.998
204,BEN,Benin,Enquête Démographique et de Santé - DHS12,2012,0.021,0.1,0.017,0.001,0.001,0.045,0.382,0.0,0.134,0.013,0.0,0.0,0.008,0.0,0.278,0.0,0.0,0.004,0.004,0.001,0.001,0.0,0.019,0.084,0.0,0.077,0.014,0.0,0.0,0.01,0.0,0.786,0.0,0.0,1.0,1.0
204,BEN,Benin,"Recensement Général de la Population et de l’Habitation, 2013 - CEN13",,0.0,0.0,0.0,0.0,0.0,0.269,0.0,0.245,0.0,0.012,0.0,0.0,0.0,0.0,0.355,0.008,0.013,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.107,0.0,0.017,0.0,0.0,0.0,0.0,0.765,0.004,0.014,0.902,0.964
204,BEN,Benin,"Multiple Indicator Cluster Survey, 2014 - MICS14",2014,0.008,0.0,0.0,0.0,0.0,0.157,0.279,0.0,0.094,0.005,0.0,0.0,0.003,0.0,0.356,0.011,0.0,0.002,0.0,0.0,0.0,0.0,0.028,0.118,0.0,0.05,0.01,0.0,0.0,0.001,0.0,0.771,0.012,0.0,0.913,0.992
