ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
068,BOL,Bolivia (Plurinational State of),Multiple Indicator Cluster Survey - MICS00,,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.117,0.0,0.0,0.0,0.004,0.0,0.0,0.067,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.312,0.0,0.0,0.0,0.0,0.0,0.0,0.526,0.043,0.0,0.24500000000000002,0.9
068,BOL,Bolivia (Plurinational State of),Encuesta Continua de Hogares - ECH00,2000,0.532,0.094,0.0,0.0,0.0,0.0,0.0,0.228,0.0,0.01,0.0,0.0,0.0,0.0,0.136,0.0,0.0,0.021,0.045,0.0,0.0,0.0,0.0,0.0,0.316,0.0,0.005,0.0,0.0,0.0,0.0,0.613,0.0,0.0,1.0,1.0
068,BOL,Bolivia (Plurinational State of),Encuesta Continua de Hogares - ECH01,2001,0.484,0.143,0.0,0.0,0.0,0.0,0.0,0.213,0.0,0.011,0.0,0.0,0.0,0.0,0.149,0.0,0.0,0.026,0.038,0.0,0.0,0.0,0.0,0.0,0.335,0.0,0.005,0.0,0.0,0.0,0.0,0.596,0.0,0.0,1.0,1.0
068,BOL,Bolivia (Plurinational State of),Censo Nacional de Poblacion y Vivienda - CEN01,2001,0.482,0.132,0.0,0.0,0.0,0.0,0.0,0.223,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.009,0.0,0.019,0.042,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.637,0.011,0.0,1.0,0.999
068,BOL,Bolivia (Plurinational State of),Encuesta Continua de Hogares - ECH02,2002,0.482,0.132,0.0,0.0,0.0,0.0,0.0,0.223,0.0,0.009,0.0,0.0,0.0,0.0,0.154,0.0,0.0,0.019,0.042,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.011,0.0,0.0,0.0,0.0,0.638,0.0,0.0,1.0,1.0
068,BOL,Bolivia (Plurinational State of),Demographic and Health Survey - DHS03,2003,0.49,0.102,0.0,0.0,0.0,0.0,0.0,0.229,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.0,0.002,0.026,0.037,0.0,0.0,0.0,0.0,0.0,0.336,0.0,0.0,0.0,0.0,0.0,0.0,0.601,0.0,0.001,1.0,1.001
068,BOL,Bolivia (Plurinational State of),"Encuesta Continua de Hogares, 2003-2004 - ECH04",2004,0.503,0.124,0.0,0.0,0.0,0.0,0.0,0.236,0.0,0.008,0.0,0.0,0.0,0.0,0.129,0.0,0.0,0.02,0.039,0.0,0.0,0.0,0.0,0.0,0.321,0.0,0.016,0.0,0.0,0.0,0.0,0.604,0.0,0.0,1.0,1.0
068,BOL,Bolivia (Plurinational State of),"Encuesta de Hogares, 2005 - EH05",2005,0.552,0.125,0.0,0.0,0.0,0.0,0.0,0.117,0.0,0.009,0.0,0.0,0.0,0.0,0.116,0.0,0.0,0.021,0.041,0.0,0.0,0.0,0.0,0.0,0.343,0.0,0.019,0.0,0.0,0.0,0.0,0.577,0.0,0.0,0.919,1.001
068,BOL,Bolivia (Plurinational State of),"Encuesta de Hogares, 2006 - EH06",2006,0.492,0.128,0.0,0.0,0.073,0.0,0.0,0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.0,0.0,0.026,0.053,0.0,0.0,0.05,0.0,0.0,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.565,0.0,0.0,1.0,0.9989999999999999
068,BOL,Bolivia (Plurinational State of),"Encuesta de Hogares, 2007 - EH07",2007,0.558,0.161,0.0,0.0,0.001,0.0,0.0,0.117,0.0,0.0,0.0,0.0,0.0,0.0,0.162,0.0,0.0,0.041,0.075,0.0,0.0,0.008,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.526,0.0,0.0,0.9990000000000001,1.0
068,BOL,Bolivia (Plurinational State of),Demographic and Health Survey - DHS08,2008,0.61,0.109,0.0,0.0,0.0,0.0,0.0,0.179,0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.0,0.001,0.032,0.037,0.0,0.0,0.0,0.0,0.0,0.414,0.0,0.0,0.0,0.0,0.0,0.0,0.516,0.0,0.001,1.001,1.0
068,BOL,Bolivia (Plurinational State of),"Encuesta de Hogares, 2008 - EH08",2008,0.663,0.134,0.0,0.0,0.003,0.0,0.0,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.035,0.057,0.0,0.0,0.02,0.0,0.0,0.384,0.0,0.0,0.0,0.0,0.0,0.0,0.503,0.0,0.0,0.9990000000000001,0.999
068,BOL,Bolivia (Plurinational State of),"Encuesta de Hogares, 2009 - EH09",2009,0.62,0.146,0.0,0.0,0.004,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.03,0.065,0.0,0.0,0.006,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.489,0.0,0.0,0.999,1.0
068,BOL,Bolivia (Plurinational State of),"Encuesta de Hogares, 2011 - EH11",2011,0.669,0.126,0.0,0.0,0.003,0.0,0.0,0.155,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.045,0.057,0.0,0.0,0.007,0.0,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.373,0.43,0.113,1.1560000000000001,1.429
068,BOL,Bolivia (Plurinational State of),Censo de Poblacion y Vivienda 2012 - CEN12,2012,0.598,0.101,0.169,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.0,0.0,0.038,0.043,0.288,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,1.0,1.0
068,BOL,Bolivia (Plurinational State of),"Encuesta de Hogares, 2012 - EH12",2012,0.718,0.099,0.007,0.003,0.002,0.0,0.088,0.0,0.047,0.0,0.0,0.0,0.002,0.0,0.03,0.002,0.0,0.071,0.049,0.035,0.003,0.011,0.0,0.159,0.0,0.267,0.0,0.0,0.0,0.009,0.0,0.389,0.006,0.0,0.998,0.999
068,BOL,Bolivia (Plurinational State of),"Encuesta de Hogares, 2013 - EH13",2013,0.751,0.104,0.018,0.002,0.003,0.0,0.058,0.0,0.04,0.0,0.0,0.0,0.003,0.0,0.017,0.004,0.0,0.034,0.059,0.027,0.0,0.0,0.0,0.143,0.0,0.251,0.0,0.0,0.0,0.052,0.0,0.423,0.009,0.0,1.0,0.9980000000000001
068,BOL,Bolivia (Plurinational State of),"Encuesta de Hogares, 2014 - EH14",2014,0.678,0.084,0.011,0.0,0.003,0.0,0.097,0.0,0.081,0.0,0.0,0.0,0.003,0.0,0.038,0.005,0.0,0.02,0.053,0.037,0.001,0.022,0.0,0.123,0.0,0.28,0.0,0.0,0.0,0.015,0.0,0.439,0.01,0.0,1.0,1.0
068,BOL,Bolivia (Plurinational State of),Encuesta de Hogares - EH15,2015,0.594,0.159,0.014,0.002,0.003,0.0,0.131,0.0,0.054,0.0,0.0,0.0,0.002,0.0,0.04,0.0,0.0,0.046,0.068,0.037,0.005,0.001,0.0,0.213,0.0,0.212,0.0,0.0,0.0,0.006,0.0,0.412,0.0,0.0,0.9990000000000001,1.0
068,BOL,Bolivia (Plurinational State of),Encuesta de Hogares - EH16,2016,0.6,0.178,0.02,0.002,0.002,0.0,0.13,0.0,0.037,0.0,0.0,0.0,0.003,0.0,0.028,0.0,0.0,0.049,0.088,0.041,0.008,0.0,0.0,0.252,0.0,0.142,0.0,0.0,0.0,0.024,0.0,0.397,0.0,0.0,1.0,1.0010000000000001
068,BOL,Bolivia (Plurinational State of),Encuesta de Demografia y salud - EDSA16,2016,0.618,0.17,0.159,0.005,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.056,0.079,0.452,0.001,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.402,0.0,0.0,1.0010000000000001,1.0
068,BOL,Bolivia (Plurinational State of),Encuesta de Hogares - EH17,2017,0.605,0.181,0.018,0.003,0.002,0.0,0.122,0.0,0.035,0.0,0.0,0.0,0.004,0.0,0.029,0.0,0.0,0.066,0.086,0.027,0.007,0.001,0.0,0.241,0.0,0.144,0.0,0.0,0.0,0.02,0.0,0.409,0.0,0.0,0.9990000000000001,1.001
