ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
076,BRA,Brazil,"Pesquisa Nacional por Amostra de Domicílios, 2015 - PNAD17",2017,0.735,0.0,0.0,0.002,0.007,0.0,0.0,0.243,0.008,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.0,0.069,0.0,0.0,0.005,0.021,0.0,0.0,0.721,0.053,0.0,0.0,0.0,0.0,0.0,0.052,0.079,0.0,1.0,1.0
076,BRA,Brazil,Censo Demográfico - CEN00,2000,0.538,0.162,0.0,0.0,0.0,0.0,0.0,0.215,0.024,0.0,0.0,0.0,0.0,0.0,0.055,0.007,0.0,0.031,0.087,0.0,0.0,0.0,0.0,0.0,0.406,0.045,0.0,0.0,0.0,0.0,0.0,0.413,0.018,0.0,1.0010000000000001,1.0
076,BRA,Brazil,Pescuisa Nacional por Amostra de Domicilios - PNAD01,2001,0.61,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.225,0.0,0.04,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282,0.621,0.0,0.983,1.04
076,BRA,Brazil,Nacional sobre Demografia e Saúde - PNDS01,2001,0.468,0.282,0.0,0.0,0.0,0.0,0.0,0.211,0.017,0.0,0.0,0.0,0.0,0.0,0.021,0.002,0.0,0.038,0.172,0.0,0.0,0.0,0.0,0.0,0.651,0.068,0.0,0.0,0.0,0.0,0.0,0.061,0.01,0.0,1.001,1.0
076,BRA,Brazil,Pescuisa Nacional por Amostra de Domicilios - PNAD02,2002,0.621,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.221,0.0,0.049,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282,0.622,0.0,0.987,1.063
076,BRA,Brazil,Pesquisa de Orçamentos Familiares 2002-2003 (POF ) - POF02,2002,0.553,0.177,0.0,0.0,0.0,0.0,0.0,0.196,0.021,0.0,0.0,0.0,0.0,0.0,0.025,0.028,0.0,0.052,0.122,0.0,0.0,0.0,0.0,0.0,0.419,0.041,0.0,0.0,0.0,0.0,0.0,0.308,0.06,0.0,1.0,1.002
076,BRA,Brazil,Nacional sobre Demografia e Saúde - PNDS02,2002,0.481,0.275,0.0,0.0,0.0,0.0,0.0,0.204,0.016,0.0,0.0,0.0,0.0,0.0,0.022,0.001,0.0,0.044,0.192,0.0,0.0,0.0,0.0,0.0,0.617,0.084,0.0,0.0,0.0,0.0,0.0,0.055,0.008,0.0,0.999,1.0
076,BRA,Brazil,Pescuisa Nacional por Amostra de Domicilios - PNAD03,2003,0.534,0.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.219,0.0,0.037,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296,0.532,0.0,1.0,1.0
076,BRA,Brazil,Nacional sobre Demografia e Saúde - PNDS03,2003,0.487,0.269,0.0,0.0,0.0,0.0,0.0,0.205,0.015,0.0,0.0,0.0,0.0,0.0,0.022,0.001,0.0,0.045,0.193,0.0,0.0,0.0,0.0,0.0,0.623,0.082,0.0,0.0,0.0,0.0,0.0,0.047,0.01,0.0,0.999,1.0
076,BRA,Brazil,Pescuisa Nacional por Amostra de Domicilios - PNAD04,2004,0.632,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.214,0.0,0.048,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251,0.553,0.0,0.992,0.9850000000000001
