ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
156,CHN,China,Census 2000 - CEN00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296,0.0,0.255,0.296
156,CHN,China,National Health Service Survey - NHSS03,2003,0.79,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.134,0.0,0.053,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.043,0.792,0.0,1.0,1.0430000000000001
156,CHN,China,Urban and rural household survey - NBS08,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,CHN,China,"National Health Services Survey, 2008 - NHSS08",2008,0.859,0.033,0.001,0.0,0.0,0.001,0.037,0.03,0.0,0.0,0.009,0.0,0.006,0.001,0.002,0.02,0.0,0.111,0.055,0.014,0.0,0.0,0.005,0.182,0.497,0.0,0.0,0.014,0.0,0.034,0.031,0.02,0.035,0.0,0.9990000000000001,0.9980000000000001
156,CHN,China,Census 2010 - CEN10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.398,0.0,0.156,0.398
156,CHN,China,National Health Survices Survey - NHSS13,2013,0.793,0.033,0.001,0.0,0.0,0.004,0.06,0.0,0.078,0.0,0.004,0.0,0.007,0.014,0.001,0.007,0.0,0.289,0.065,0.011,0.0,0.0,0.01,0.211,0.0,0.323,0.0,0.009,0.0,0.04,0.028,0.009,0.006,0.0,1.002,1.0010000000000001
156,CHN,China,National Rural-Urban Integrated Household Survey - NIRU13,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.001,0.008
156,CHN,China,National Rural-Urban Integrated Household Survey - NIRU16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.001,0.004
156,CHN,China,Agricultural Census - AC06,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.0,0.0,1.0
156,CHN,China,China agricultral census 2016 - CAC16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362,0.0,0.0,0.0,0.031,0.0,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.462,0.0,0.0,0.9990000000000001
