ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
384,CIV,Côte d'Ivoire,Multiple Indicator Cluster Survey - MICS00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274,0.139,0.0,0.0,0.0,0.0,0.0,0.044,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327,0.09,0.0,0.0,0.0,0.0,0.0,0.521,0.021,0.0,0.468,0.9590000000000001
384,CIV,Côte d'Ivoire,ENQUETE NIVEAU DE VIE DES MENAGES - ENVM02,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.612,0.0,0.0,0.0,0.0,0.0,0.0,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336,0.0,0.0,0.0,0.0,0.0,0.0,0.645,0.0,0.0,0.699,0.9810000000000001
384,CIV,Côte d'Ivoire,AIDS Indicator Survey - AIS05,,0.0,0.0,0.0,0.0,0.0,0.092,0.0,0.568,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.397,0.0,0.0,0.0,0.0,0.0,0.0,0.503,0.0,0.003,0.708,0.939
384,CIV,Côte d'Ivoire,Multiple Indicator Cluster Survey - MICS06,2006,0.12,0.189,0.095,0.0,0.034,0.023,0.0,0.41,0.073,0.0,0.0,0.0,0.0,0.0,0.052,0.001,0.002,0.0,0.019,0.036,0.0,0.003,0.008,0.0,0.306,0.068,0.0,0.001,0.0,0.0,0.0,0.557,0.002,0.001,0.999,1.001
384,CIV,Côte d'Ivoire,ENQUETE NIVEAU DE VIE DES MENAGES - ENV08,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.557,0.0,0.0,0.802,0.974
384,CIV,Côte d'Ivoire,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12,2012,0.15,0.236,0.06,0.0,0.0,0.0,0.316,0.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.005,0.007,0.004,0.027,0.008,0.0,0.0,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.565,0.001,0.002,0.058,0.185,0.0,0.207,0.083,0.0,0.159,1.307,1.184
384,CIV,Côte d'Ivoire,Enquete sur le niveau de vie des menages - ENV15,2015,0.187,0.27,0.0,0.0,0.0,0.0,0.0,0.369,0.0,0.0,0.0,0.075,0.0,0.0,0.1,0.0,0.0,0.024,0.201,0.0,0.0,0.0,0.0,0.0,0.191,0.0,0.0,0.0,0.152,0.0,0.0,0.433,0.0,0.0,1.0010000000000001,1.0010000000000001
384,CIV,Côte d'Ivoire,Multiple Indicator Cluster Survey - MICS16,2016,0.11,0.269,0.058,0.008,0.01,0.003,0.322,0.0,0.19,0.001,0.001,0.0,0.001,0.0,0.026,0.001,0.0,0.008,0.042,0.008,0.027,0.001,0.0,0.222,0.0,0.292,0.005,0.0,0.0,0.0,0.0,0.39,0.004,0.0,1.0,0.999
384,CIV,Côte d'Ivoire,Performance Monitoring and Accountability - PMA17,2017,0.073,0.257,0.036,0.011,0.006,0.001,0.364,0.0,0.112,0.003,0.0,0.0,0.006,0.0,0.125,0.0,0.007,0.004,0.018,0.002,0.005,0.003,0.003,0.279,0.0,0.218,0.002,0.001,0.0,0.025,0.0,0.433,0.008,0.0,1.001,1.0010000000000001
384,CIV,Côte d'Ivoire,World Health Survey - WHS03,2003,0.205,0.139,0.0,0.0,0.0,0.0,0.182,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.024,0.0,0.024,0.034,0.0,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.01,0.0,0.212,0.291,0.0,0.182,0.0,0.008,0.097,0.0,0.132,1.026,1.2299999999999998,0.0,0.004
