ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
132,CPV,Cabo Verde,"Population and Housing Census, 2000 - CEN00",,0.0,0.0,0.0,0.541,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.397,0.0,0.009,0.0,0.0,0.0,0.182,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.731,0.0,0.009,0.9990000000000001,1.0
132,CPV,Cabo Verde,INQUÉRITO ÀS DESPESAS E RECEITAS FAMILIARES 2001/02 - IDRF02,2002,0.651,0.039,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.212,0.0,0.0,0.291,0.02,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.998,0.999
132,CPV,Cabo Verde,Demographic and Health Survey - DHS05,,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.332,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.61,0.0,0.003,0.369,0.696
132,CPV,Cabo Verde,Basic Well-Being Indicator Questionnaire (QUIBB / CWIQ) - QUIBB06,,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.566,0.0,0.0,0.318,0.6709999999999999
132,CPV,Cabo Verde,Basic Well-Being Indicator Questionnaire (QUIBB / CWIQ) - QUIBB07,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.732,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.439,0.542,0.0,0.0,1.0010000000000001,1.0010000000000001
132,CPV,Cabo Verde,Census - CEN10,,0.0,0.0,0.0,0.742,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.248,0.0,0.006,0.0,0.0,0.0,0.422,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.559,0.0,0.003,1.0,1.0
132,CPV,Cabo Verde,Inquérito Multiobjectivo Contínuo - IMC12,2012,0.31,0.519,0.0,0.0,0.001,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.165,0.001,0.0,0.013,0.523,0.0,0.0,0.006,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.002,0.0,1.0,1.0010000000000001
132,CPV,Cabo Verde,Inquérito Multiobjectivo Contínuo - IMC13,2013,0.316,0.491,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.192,0.0,0.0,0.017,0.526,0.0,0.0,0.002,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.449,0.002,0.0,1.0,1.0
132,CPV,Cabo Verde,Inquérito Multiobjectivo Contínuo - IMC14,2014,0.319,0.508,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.165,0.005,0.0,0.0,0.554,0.0,0.0,0.003,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.434,0.005,0.0,0.999,0.999
132,CPV,Cabo Verde,Inquerito Multi-objectivo Continuo - IMC15,2015,0.322,0.517,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146,0.0,0.0,0.014,0.576,0.007,0.0,0.002,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.992,1.002
132,CPV,Cabo Verde,Inquerito Multi-objectivo Continuo - IMC16,2016,0.352,0.522,0.004,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.0,0.0,0.027,0.618,0.003,0.0,0.001,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.351,0.0,0.0,1.001,1.0030000000000001
132,CPV,Cabo Verde,Inquerito Multi-objectivo Continuo - IMC17,2017,0.366,0.503,0.002,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.661,0.007,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.329,0.0,0.0,0.998,0.9990000000000001
