ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
188,CRI,Costa Rica,National Census  - CEN00,2000,0.348,0.611,0.0,0.0,0.0,0.0,0.0,0.024,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.01,0.0,0.004,0.778,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.006,0.0,0.179,0.196,0.021,1.024,1.196
188,CRI,Costa Rica,Encuesta de Hogares de Propósitos Múltiples - EHPM00,2000,0.456,0.512,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.007,0.094,0.734,0.0,0.0,0.0,0.0,0.0,0.151,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.003,0.005,1.0,1.0
188,CRI,Costa Rica,Encuesta de Hogares de Propósitos Múltiples - EHPM01,2001,0.441,0.528,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.005,0.002,0.073,0.773,0.0,0.0,0.0,0.0,0.0,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.006,0.002,1.0,1.001
188,CRI,Costa Rica,Encuesta de Hogares de Propósitos Múltiples - EHPM02,2002,0.441,0.528,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.005,0.002,0.073,0.773,0.0,0.0,0.0,0.0,0.0,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.006,0.002,1.0,1.001
188,CRI,Costa Rica,Encuesta de Hogares de Propósitos Múltiples - EHPM03,2003,0.441,0.538,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.007,0.001,0.074,0.803,0.0,0.0,0.0,0.0,0.0,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.003,0.0,1.001,0.999
188,CRI,Costa Rica,Encuesta de Hogares de Propósitos Múltiples - EHPM04,2004,0.405,0.574,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.007,0.001,0.082,0.81,0.0,0.0,0.0,0.0,0.0,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.002,0.001,0.999,0.999
188,CRI,Costa Rica,Encuesta de Hogares de Propósitos Múltiples - EHPM05,2005,0.393,0.587,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.008,0.001,0.078,0.809,0.0,0.0,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.001,1.0,1.0
188,CRI,Costa Rica,Encuesta de Hogares de Propósitos Múltiples - EHPM06,2006,0.437,0.55,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.004,0.0,0.055,0.86,0.0,0.0,0.0,0.0,0.0,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.001,0.0,1.0,1.0
188,CRI,Costa Rica,Encuesta de Hogares de Propósitos Múltiples - EHPM07,2007,0.393,0.599,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.001,0.05,0.872,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.001,0.001,1.001,1.0
188,CRI,Costa Rica,Encuesta de Hogares de Propósitos Múltiples - EHPM08,2008,0.399,0.587,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.003,0.043,0.885,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.001,1.001,0.999
