ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
218,ECU,Ecuador,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01,2001,0.525,0.181,0.147,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.033,0.072,0.0,0.008,0.168,0.159,0.187,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.06,0.28,0.0,0.006,1.0,1.0
218,ECU,Ecuador,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04,2004,0.644,0.193,0.115,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.153,0.211,0.289,0.0,0.0,0.0,0.0,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,1.001,0.999
218,ECU,Ecuador,Encuestas de Condiciones de Vida - ECV06,2006,0.675,0.193,0.071,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.146,0.266,0.194,0.0,0.0,0.0,0.0,0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.239,0.0,0.0,0.9990000000000001,1.0
218,ECU,Ecuador,"Encuesta Nacional de Empleo, Desempleo y Subempleo - ENEMDU07",2007,0.713,0.213,0.048,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.141,0.268,0.245,0.0,0.0,0.0,0.0,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.212,0.0,0.0,1.0,1.0
218,ECU,Ecuador,"Encuesta Nacional de Empleo, Desempleo y Subempleo - ENEMDU08",2008,0.741,0.18,0.047,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.164,0.334,0.228,0.0,0.0,0.0,0.0,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.0,0.0,1.0010000000000001,0.9989999999999999
218,ECU,Ecuador,"Encuesta Nacional de Empleo, Desempleo y Subempleo - ENEMDU09",2009,0.742,0.191,0.037,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.168,0.357,0.206,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,1.0,0.999
218,ECU,Ecuador,Censo - CEN10,2010,0.71,0.204,0.045,0.0,0.013,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.229,0.301,0.199,0.0,0.024,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.0,1.0,1.0
218,ECU,Ecuador,"Encuesta Nacional de Empleo, Desempleo y Subempleo - ENEMDU10",2010,0.76,0.194,0.031,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.18,0.361,0.248,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.131,0.0,0.0,1.0,0.9999999999999999
218,ECU,Ecuador,"Encuesta Nacional de Empleo, Desempleo y Subempleo - ENEMDU11",2011,0.848,0.111,0.031,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.18,0.363,0.242,0.0,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.123,0.0,0.0,1.0,1.001
218,ECU,Ecuador,Encuesta Nacional de Salud y Nutrición (ENSANUT 2012) - ENSANUT12,2012,0.763,0.172,0.044,0.0,0.007,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.229,0.439,0.194,0.0,0.014,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.9990000000000001,1.0000000000000002
218,ECU,Ecuador,"Encuesta Nacional de Empleo, Desempleo y Subempleo - ENEMDU12",2012,0.865,0.108,0.019,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.2,0.404,0.216,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.0,0.0,1.0,1.0
218,ECU,Ecuador,"Encuesta Nacional de Empleo, Desempleo y Subempleo - ENEMDU13",2013,0.787,0.163,0.035,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.251,0.381,0.208,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.0,0.0,0.9990000000000001,1.0010000000000001
218,ECU,Ecuador,"Encuesta de Condiciones de Vida, 2013-2014 - ECV14",2014,0.758,0.186,0.027,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.215,0.432,0.145,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.147,0.0,0.0,1.0,0.9990000000000001
218,ECU,Ecuador,"Encuesta Nacional de Empleo, Desempleo y Subempleo - ENEMDU14",2014,0.762,0.195,0.028,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.246,0.47,0.144,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.0,0.0,1.0010000000000001,1.0
218,ECU,Ecuador,"Encuesta Nacional de Empleo, Desempleo y Subempleo - ENEMDU15",2015,0.793,0.176,0.022,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.28,0.433,0.142,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.097,0.0,0.0,1.0,1.0000000000000002
218,ECU,Ecuador,"Encuesta Nacional de Empleo, Desempleo y Subempleo - ENEMDU16",2016,0.788,0.178,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.001,0.001,0.0,0.264,0.491,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.056,0.001,0.0,0.996,0.9610000000000001
218,ECU,Ecuador,"Encuesta Nacional de Empleo, Desempleo y Subempleo - ENEMDU17",2017,0.824,0.156,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.293,0.433,0.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.001,0.0,0.997,0.95
218,ECU,Ecuador,World Health Survey - WHS03,2003,0.735,0.181,0.0,0.0,0.0,0.0,0.043,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.003,0.0,0.54,0.166,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.014,0.0,0.124,0.139,0.0,0.025,0.0,0.003,0.04,0.0,0.012,1.0309999999999997,1.096,0.0,0.002
