ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
268,GEO,Georgia,Multiple Indicator Cluster Survey - MICS00,2000,0.157,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.9359999999999999
268,GEO,Georgia,"Living Conditions, Energy, Environment - LCEE02",2002,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.319,0.9009999999999999
268,GEO,Georgia,World Health Survey - WHS03,2003,0.842,0.01,0.0,0.0,0.0,0.0,0.134,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.052,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.751,0.773,0.0,0.044,0.0,0.001,0.131,0.0,0.01,1.13,1.7599999999999998,0.0,0.0
268,GEO,Georgia,Multiple Indicator Cluster Survey - MICS05,2005,0.804,0.004,0.017,0.0,0.0,0.002,0.161,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.037,0.006,0.076,0.002,0.001,0.008,0.812,0.0,0.045,0.0,0.001,0.0,0.011,0.0,0.0,0.0,0.0,1.0,0.9990000000000001
268,GEO,Georgia,REPRODUCTIVE HEALTH SURVEY  - RHS05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.957,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.959
268,GEO,Georgia,Integrated Household survey - IHS09,2009,0.847,0.0,0.0,0.0,0.023,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.0,0.073,0.0,0.0,0.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,1.0,0.999
268,GEO,Georgia,Integrated Household Survey - IHS10,2010,0.839,0.0,0.0,0.0,0.024,0.0,0.0,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.067,0.0,0.0,0.0,0.07,0.0,0.0,0.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,1.001,1.0
268,GEO,Georgia,REPRODUCTIVE HEALTH SURVEY  - RHS10,2010,0.819,0.01,0.009,0.001,0.002,0.009,0.0,0.115,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.043,0.021,0.016,0.007,0.01,0.029,0.0,0.588,0.244,0.034,0.0,0.0,0.006,0.0,0.0,0.0,0.0,1.0,0.998
268,GEO,Georgia,Integrated Household Survey - IHS11,2011,0.845,0.0,0.0,0.0,0.031,0.0,0.0,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.083,0.0,0.0,0.0,0.048,0.0,0.0,0.856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,1.001,1.0
268,GEO,Georgia,Integrated Household Survey - IHS12,2012,0.853,0.0,0.0,0.0,0.016,0.0,0.0,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.0,0.0,0.0,0.07,0.0,0.0,0.842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,1.0,1.0
