ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
288,GHA,Ghana,Population Census - CEN00,,0.0,0.0,0.0,0.0,0.0,0.097,0.0,0.123,0.0,0.0,0.064,0.0,0.0,0.068,0.112,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.3,0.0,0.0,0.013,0.0,0.0,0.062,0.328,0.003,0.0,0.47000000000000003,0.748
288,GHA,Ghana,Demographic and Health Survey - DHS03,,0.0,0.0,0.0,0.0,0.0,0.408,0.0,0.267,0.0,0.0,0.045,0.0,0.0,0.0,0.067,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.135,0.0,0.54,0.0,0.0,0.002,0.0,0.0,0.0,0.306,0.0,0.001,0.7880000000000001,0.9840000000000001
288,GHA,Ghana,World Health Survey - WHS03,2003,0.156,0.121,0.0,0.0,0.0,0.0,0.431,0.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097,0.073,0.0,0.035,0.007,0.0,0.0,0.0,0.0,0.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.041,0.0,0.069,0.311,0.0,0.28,0.0,0.006,0.07,0.0,0.068,1.421,1.311,0.0,0.044
288,GHA,Ghana,Core Welfare Inidicator Questionnaire - CWIQ03,2003,0.206,0.0,0.0,0.0,0.0,0.466,0.139,0.0,0.041,0.0,0.046,0.0,0.0,0.0,0.096,0.006,0.0,0.01,0.0,0.0,0.0,0.0,0.184,0.137,0.0,0.33,0.0,0.006,0.0,0.0,0.0,0.319,0.014,0.0,1.0,1.0
288,GHA,Ghana,GHANA LIVING STANDARDS SURVEY 5 - LSS06,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.299,0.118,0.0,0.23299999999999998,0.417
288,GHA,Ghana,Multiple Indicator Cluster Survey - MICS06,2006,0.038,0.149,0.053,0.0,0.0,0.465,0.12,0.0,0.07,0.0,0.017,0.0,0.0,0.0,0.087,0.0,0.001,0.006,0.012,0.006,0.0,0.0,0.19,0.238,0.0,0.19,0.0,0.002,0.0,0.0,0.0,0.355,0.001,0.0,1.0,0.9999999999999999
288,GHA,Ghana,Measure DHS special Maternal Health Survey - MHS07,,0.0,0.0,0.0,0.0,0.0,0.487,0.091,0.0,0.104,0.0,0.021,0.0,0.0,0.0,0.055,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.264,0.246,0.0,0.199,0.0,0.002,0.0,0.0,0.0,0.269,0.0,0.0,0.76,0.9800000000000001
288,GHA,Ghana,Demographic and Health Survey - DHS08,2008,0.038,0.2,0.044,0.0,0.001,0.516,0.069,0.0,0.04,0.0,0.018,0.0,0.0,0.0,0.072,0.0,0.001,0.007,0.017,0.006,0.0,0.0,0.258,0.215,0.0,0.136,0.0,0.002,0.0,0.003,0.0,0.354,0.0,0.001,0.9990000000000001,0.999
288,GHA,Ghana,Study on Global Ageing and Adult Health - SAGE08,2008,0.039,0.211,0.01,0.005,0.006,0.465,0.125,0.0,0.041,0.0,0.027,0.0,0.002,0.0,0.064,0.005,0.0,0.004,0.013,0.002,0.002,0.003,0.264,0.267,0.0,0.171,0.001,0.004,0.0,0.0,0.0,0.264,0.005,0.0,1.0,1.0
288,GHA,Ghana,Measure DHS - Multiple Indicator Cluster Survey with an enhanced Malaria Module and Biomarker - MICS-DHS11,2011,0.036,0.228,0.023,0.003,0.001,0.4,0.107,0.0,0.097,0.0,0.005,0.0,0.0,0.0,0.099,0.001,0.0,0.003,0.013,0.005,0.0,0.0,0.216,0.196,0.0,0.212,0.0,0.004,0.0,0.0,0.0,0.352,0.0,0.0,1.0,1.001
288,GHA,Ghana,"Demographic and Health Survey, 2014 - DHS14",2014,0.13,0.21,0.048,0.006,0.007,0.372,0.095,0.0,0.047,0.002,0.003,0.0,0.0,0.0,0.079,0.001,0.0,0.009,0.024,0.009,0.0,0.0,0.265,0.233,0.0,0.115,0.003,0.001,0.0,0.0,0.0,0.34,0.0,0.0,0.9999999999999999,0.9990000000000001
288,GHA,Ghana,Performance Monitoring and Accountability - PMA14,2014,0.172,0.0,0.0,0.0,0.0,0.267,0.158,0.0,0.084,0.0,0.0,0.0,0.047,0.0,0.102,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.335,0.169,0.0,0.171,0.0,0.0,0.0,0.0,0.0,0.247,0.043,0.0,0.83,0.9810000000000001
288,GHA,Ghana,Malaria Indicator Survey - MIS16,2016,0.009,0.331,0.048,0.003,0.001,0.343,0.155,0.0,0.036,0.0,0.001,0.0,0.0,0.0,0.073,0.0,0.0,0.001,0.044,0.018,0.0,0.001,0.161,0.275,0.0,0.198,0.001,0.001,0.0,0.001,0.0,0.299,0.0,0.0,1.0000000000000002,1.0
288,GHA,Ghana,Performance Monitoring and Accountability - PMA16,2016,0.078,0.327,0.03,0.006,0.055,0.262,0.128,0.0,0.044,0.008,0.0,0.0,0.001,0.0,0.059,0.0,0.001,0.008,0.005,0.021,0.0,0.003,0.197,0.268,0.0,0.102,0.021,0.0,0.0,0.024,0.0,0.338,0.01,0.0,0.999,0.9970000000000001
288,GHA,Ghana,Maternal Health Survey - MHS17,2017,0.01,0.372,0.02,0.001,0.002,0.315,0.115,0.0,0.071,0.0,0.002,0.0,0.002,0.0,0.083,0.007,0.0,0.001,0.048,0.007,0.0,0.001,0.188,0.224,0.0,0.234,0.0,0.001,0.0,0.002,0.0,0.293,0.001,0.0,0.9999999999999999,0.9999999999999999
288,GHA,Ghana,Ghana Micronutrients Survey - GMS17,2017,0.062,0.191,0.021,0.001,0.004,0.351,0.162,0.0,0.141,0.0,0.002,0.0,0.0,0.0,0.066,0.0,0.0,0.011,0.016,0.002,0.0,0.0,0.122,0.155,0.0,0.342,0.001,0.0,0.0,0.0,0.0,0.348,0.005,0.0,1.0010000000000001,1.002
288,GHA,Ghana,"Ghana Living Standards Survey, 2013 - GLSS13",,0.0,0.0,0.0,0.0,0.0,0.153,0.0,0.15,0.0,0.0,0.003,0.0,0.0,0.0,0.074,0.387,0.0,0.0,0.0,0.0,0.0,0.0,0.082,0.0,0.242,0.0,0.0,0.001,0.0,0.0,0.0,0.329,0.321,0.0,0.767,0.9750000000000001
288,GHA,Ghana,Census - CEN10,,0.0,0.0,0.131,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.011,0.362,0.362,0.0,0.0,0.105,0.004,0.031,0.0,0.0,0.255,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.002,0.256,0.0,0.0,0.375,0.004,0.015,0.256,1.128,1.2289999999999999
288,GHA,Ghana,Performance Monitoring and Accountability - PMA15,2015,0.085,0.0,0.0,0.0,0.0,0.246,0.188,0.0,0.117,0.0,0.015,0.0,0.0,0.0,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.356,0.139,0.0,0.213,0.0,0.0,0.0,0.0,0.0,0.279,0.0,0.0,0.835,0.987
