ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
324,GIN,Guinea,Questionnaire Unifié sur les Indicateurs de Base de Bien-Etre - QUIBB02,2002,0.033,0.035,0.0,0.0,0.0,0.01,0.543,0.0,0.346,0.0,0.01,0.0,0.0,0.0,0.008,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.099,0.0,0.484,0.0,0.001,0.0,0.0,0.0,0.361,0.036,0.0,0.988,0.984
324,GIN,Guinea,Enquête intégrale sur le budget et l'évaluation de la pauvreté (EIBEP) - EIBEP02,,0.0,0.0,0.0,0.0,0.0,0.009,0.46,0.0,0.44,0.0,0.011,0.0,0.0,0.0,0.013,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.099,0.0,0.494,0.0,0.002,0.0,0.0,0.0,0.36,0.038,0.0,0.9380000000000001,0.997
324,GIN,Guinea,Multiple Indicator Cluster Survey - MICS03,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.198,0.0,0.0,0.0,0.0,0.0,0.018,0.002,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162,0.486,0.0,0.0,0.0,0.0,0.0,0.337,0.006,0.002,0.9040000000000001,0.9930000000000001
324,GIN,Guinea,Demographic and Health Survey - DHS05,,0.0,0.0,0.0,0.0,0.0,0.031,0.498,0.0,0.377,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.015,0.128,0.0,0.436,0.0,0.0,0.0,0.0,0.0,0.415,0.0,0.002,0.93,0.996
324,GIN,Guinea,Enquete Nacional Sur L'etat Nutritionel et le suivi des principeaux indicateur de suivi de l'enfant - ENS07,,0.0,0.0,0.0,0.0,0.0,0.136,0.54,0.0,0.204,0.0,0.0,0.0,0.0,0.0,0.023,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.031,0.18,0.0,0.409,0.0,0.0,0.0,0.0,0.0,0.318,0.053,0.002,0.923,0.993
324,GIN,Guinea,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07,2007,0.017,0.074,0.0,0.0,0.0,0.006,0.57,0.0,0.307,0.0,0.0,0.0,0.0,0.0,0.015,0.002,0.01,0.0,0.001,0.0,0.0,0.0,0.001,0.171,0.0,0.536,0.0,0.0,0.0,0.0,0.0,0.283,0.001,0.007,1.001,1.0
324,GIN,Guinea,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP) - ELEP12,2012,0.041,0.106,0.0,0.0,0.0,0.018,0.503,0.0,0.297,0.0,0.0,0.0,0.0,0.0,0.027,0.007,0.0,0.003,0.003,0.0,0.0,0.0,0.049,0.126,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.268,0.01,0.0,0.9989999999999999,0.9990000000000001
324,GIN,Guinea,Demographic and Health Survey - DHS12,2012,0.073,0.301,0.083,0.0,0.0,0.03,0.017,0.25,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.0,0.0,0.009,0.024,0.01,0.0,0.0,0.009,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287,0.001,0.0,0.018,0.072,0.027,0.165,0.0,0.472,0.0,0.002,0.013,1.4039999999999995,1.1889999999999998,0.124,0.374,0.0,0.131,0.001,0.001
324,GIN,Guinea,Recensement General de la Population et de l'Habitation - CEN14,,0.0,0.0,0.0,0.0,0.0,0.25,0.237,0.0,0.191,0.0,0.0,0.0,0.0,0.035,0.011,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.125,0.0,0.235,0.0,0.0,0.0,0.0,0.191,0.346,0.04,0.0,0.88,0.9760000000000001
324,GIN,Guinea,Multiple Indicator Cluster Survey - MICS16,2016,0.027,0.245,0.073,0.001,0.0,0.075,0.451,0.0,0.099,0.021,0.0,0.0,0.003,0.0,0.004,0.0,0.0,0.001,0.026,0.025,0.0,0.0,0.019,0.241,0.0,0.408,0.054,0.001,0.0,0.011,0.0,0.212,0.0,0.0,0.9990000000000001,0.998
