ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
356,IND,India,Multiple Indicator Cluster Survey - MICS00,,0.0,0.0,0.0,0.0,0.0,0.128,0.0,0.052,0.0,0.0,0.024,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.051,0.0,0.0,0.006,0.0,0.0,0.0,0.811,0.0,0.0,0.424,0.902
356,IND,India,National Census  - CEN01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146,0.0,0.0,0.0,0.13,0.0,0.0,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103,0.0,0.0,0.0,0.045,0.0,0.0,0.781,0.0,0.0,0.539,0.929
356,IND,India,National Sample Survey 2002 - NSS02,,0.0,0.707,0.0,0.0,0.0,0.0,0.0,0.063,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.179,0.01,0.0,0.0,0.117,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.763,0.016,0.0,0.084,0.0,0.0,0.019,0.0,0.0,0.041,1.0630000000000002,1.083
356,IND,India,District Level Household Survey 2002-2004 - DLHS03,,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.102,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.202,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.808,0.0,0.0,0.06,0.456,0.933
356,IND,India,India Human Development Survey 2005 - IHDS05,,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.399,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.858,0.0,0.003,0.458,0.967
356,IND,India,Demographic and Health Survey - NFHS06,2006,0.283,0.391,0.069,0.001,0.04,0.006,0.021,0.007,0.007,0.0,0.0,0.0,0.001,0.0,0.17,0.004,0.0,0.008,0.135,0.054,0.0,0.002,0.002,0.029,0.007,0.023,0.0,0.0,0.0,0.0,0.0,0.739,0.001,0.0,1.0,1.0
356,IND,India,District Level Health Survey - DLHS08,,0.0,0.0,0.0,0.0,0.022,0.005,0.034,0.012,0.015,0.0,0.0,0.0,0.0,0.008,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.006,0.047,0.023,0.047,0.0,0.0,0.0,0.0,0.003,0.658,0.0,0.0,0.28800000000000003,0.793
356,IND,India,"Study on global aging and adult health, WHO - SAGE08",2008,0.179,0.351,0.098,0.007,0.011,0.004,0.038,0.0,0.009,0.0,0.0,0.004,0.0,0.018,0.0,0.271,0.009,0.0,0.005,0.137,0.054,0.001,0.005,0.007,0.033,0.0,0.008,0.002,0.002,0.0,0.038,0.0,0.707,0.001,0.0,0.002,0.002,0.004,1.0030000000000001,1.0039999999999998
356,IND,India,National Sample Survey 2008-2009 - NSS09,,0.0,0.773,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.113,0.01,0.008,0.0,0.179,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.652,0.012,0.005,0.14,0.0,0.0,0.012,0.0,0.0,0.016,1.08,1.14
356,IND,India,Census - CEN11,2011,0.327,0.382,0.0,0.017,0.0,0.0,0.064,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.002,0.126,0.003,0.0,0.022,0.147,0.0,0.025,0.0,0.0,0.082,0.019,0.0,0.0,0.0,0.0,0.0,0.002,0.673,0.003,0.0,0.019,0.023,0.0,0.0,0.002,0.007,0.0,0.0,0.012,1.0599999999999998,1.017
