ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
400,JOR,Jordan,Demographic and Health Survey - DHS02,,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.762,0.0,0.0,0.0,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,1.0,1.0
400,JOR,Jordan,Household Income and Expenditure Survey - HIES03,2003,0.708,0.291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.04,0.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.994
400,JOR,Jordan,Population census - CEN04,2004,0.678,0.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.011,0.028,0.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.002,0.012,1.0,1.0
400,JOR,Jordan,Demographic and Health Survey - DHS07,2007,0.669,0.0,0.189,0.0,0.0,0.038,0.102,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.571,0.0,0.001,0.055,0.297,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,1.0,0.9999999999999999
400,JOR,Jordan,Demographic and Health Survey - DHS09,2009,0.672,0.0,0.322,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.932,0.0,0.0,0.003,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,1.0,0.9990000000000001
400,JOR,Jordan,Jordan Labour Market Panel Survey 2010 - JLMPS10,2010,0.702,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,1.0,1.0
400,JOR,Jordan,Population and Family Health Survey 2012 - DHS12,2012,0.687,0.0,0.312,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.0,0.945,0.0,0.0,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.999
400,JOR,Jordan,Household Income and Expenditure Survey - HIES13,2013,0.734,0.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.999,1.0
400,JOR,Jordan,Population and Housing Census - CEN15,2015,0.665,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.055,0.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.9760000000000001,0.99
400,JOR,Jordan,Jordan Labour Market Panel Survey 2016 - JLMPS16,2016,0.708,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.227,0.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.002,0.0,1.0,0.999
