ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
404,KEN,Kenya,Kenya Multiple Indicator Cluster Survey 2000 - MICS00,,0.0,0.0,0.0,0.464,0.0,0.0,0.068,0.421,0.026,0.0,0.006,0.0,0.0,0.0,0.012,0.002,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.06,0.641,0.06,0.0,0.0,0.0,0.0,0.0,0.176,0.001,0.0,0.9990000000000001,0.9999999999999999
404,KEN,Kenya,Kenya Demographic and Health Survey 2003 - DHS03,,0.0,0.0,0.0,0.391,0.0,0.113,0.0,0.443,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.013,0.0,0.0,0.0,0.0,0.015,0.0,0.071,0.0,0.694,0.0,0.0,0.0,0.0,0.0,0.0,0.219,0.001,0.0,1.0,0.9999999999999999
404,KEN,Kenya,Kenya Integrated Household Budget Survey - IHBS06,,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.492,0.0,0.0,0.002,0.0,0.0,0.0,0.026,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.735,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.008,0.0,0.6070000000000001,0.984
404,KEN,Kenya,Kenya Demographic and Health Survey 2009 - DHS09,2009,0.338,0.112,0.043,0.008,0.025,0.172,0.154,0.0,0.133,0.0,0.0,0.004,0.0,0.0,0.0,0.011,0.0,0.0,0.006,0.003,0.003,0.001,0.0,0.159,0.182,0.0,0.464,0.004,0.0,0.0,0.0,0.0,0.177,0.0,0.0,0.004,0.0,0.004,1.004,1.0030000000000001
404,KEN,Kenya,Population and Housing Census - CEN09,2009,0.199,0.082,0.007,0.0,0.0,0.059,0.447,0.0,0.173,0.0,0.006,0.0,0.0,0.0,0.025,0.002,0.0,0.002,0.005,0.001,0.0,0.0,0.043,0.511,0.0,0.231,0.0,0.001,0.0,0.0,0.0,0.205,0.001,0.0,1.0,1.0
404,KEN,Kenya,Malaria Indicator Survey - MIS10,2010,0.294,0.0,0.0,0.0,0.0,0.262,0.0,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.001,0.004,0.018,0.0,0.0,0.0,0.0,0.114,0.0,0.701,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.005,0.003,1.0010000000000001,1.001
404,KEN,Kenya,"Kenya Aids Indicator Survey, 2012 - KAIS12",,0.0,0.0,0.0,0.0,0.0,0.142,0.0,0.459,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.0,0.734,0.0,0.0,0.0,0.0,0.0,0.0,0.127,0.011,0.0,0.634,0.98
404,KEN,Kenya,Kenya Demographic and Health Survey 2014 - DHS14,2014,0.181,0.131,0.042,0.012,0.003,0.173,0.207,0.0,0.214,0.004,0.004,0.003,0.0,0.006,0.0,0.017,0.007,0.0,0.002,0.008,0.005,0.0,0.0,0.143,0.175,0.0,0.483,0.003,0.0,0.0,0.004,0.0,0.176,0.001,0.0,0.003,0.0,0.003,1.007,1.003
404,KEN,Kenya,Kenya Malaria Indicator Survey 2015 - MIS15,2015,0.209,0.065,0.026,0.028,0.005,0.213,0.223,0.0,0.186,0.003,0.006,0.0,0.001,0.0,0.033,0.001,0.0,0.0,0.008,0.004,0.0,0.001,0.11,0.281,0.0,0.447,0.001,0.0,0.0,0.006,0.0,0.141,0.001,0.0,0.9990000000000001,1.0
404,KEN,Kenya,"Kenya Integrated Household Budget Survey, 2015-2016 - IHBS16",2016,0.221,0.109,0.038,0.005,0.003,0.129,0.344,0.0,0.123,0.0,0.007,0.0,0.001,0.0,0.017,0.0,0.0,0.001,0.011,0.013,0.0,0.0,0.099,0.327,0.0,0.387,0.001,0.0,0.0,0.003,0.0,0.156,0.001,0.0,0.997,0.9990000000000001
404,KEN,Kenya,Performance Monitoring and Accountability - PMA16,2016,0.225,0.114,0.037,0.026,0.022,0.102,0.251,0.0,0.205,0.0,0.001,0.0,0.002,0.0,0.014,0.0,0.0,0.005,0.011,0.006,0.0,0.005,0.104,0.234,0.0,0.504,0.001,0.0,0.0,0.015,0.0,0.111,0.004,0.0,0.999,1.0
404,KEN,Kenya,Performance Monitoring and Accountability - PMA17,2017,0.21,0.143,0.02,0.038,0.029,0.105,0.269,0.0,0.176,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.006,0.009,0.013,0.001,0.004,0.113,0.244,0.0,0.474,0.005,0.0,0.0,0.011,0.0,0.118,0.003,0.001,1.0,1.0019999999999998
