ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
504,MAR,Morocco,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01,2001,0.848,0.029,0.0,0.0,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.002,0.0,0.016,0.092,0.0,0.0,0.0,0.0,0.0,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.003,0.0,1.0,0.9999999999999999
504,MAR,Morocco,World Health Survey - WHS03,2003,0.867,0.0,0.0,0.0,0.0,0.0,0.123,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.369,0.002,0.0,0.482,0.54,0.0,0.027,0.0,0.037,0.107,0.0,0.002,1.1249999999999998,1.5400000000000003,0.0,0.004
504,MAR,Morocco,"EPSF,(PAPFAM) - EPSF04",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.0,0.002,0.0,0.0,0.0,0.014,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.009,0.0,0.002,0.0,0.0,0.0,0.396,0.002,0.0,0.023,0.436
504,MAR,Morocco,Recensement Général de la Population et de l'Habitat - CEN04,2004,0.79,0.11,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.0,0.017,0.364,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.427,0.0,1.0,0.996
504,MAR,Morocco,"Enquête Nationale à Indicateurs Multiples et Santé des Jeunes, Ministère de la Santé - ENIMSJ06",2006,0.821,0.0,0.125,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.01,0.019,0.0,0.009,0.0,0.587,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.319,0.02,0.0,1.001,0.998
504,MAR,Morocco,Enquête Nationale sur la Population et la santé - ENPS11,2011,0.861,0.057,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.007,0.0,0.0,0.028,0.396,0.291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.277,0.003,0.0,0.998,0.9980000000000001
504,MAR,Morocco,"Recensement Général de la Population et de l’Habitat, 2014 - CEN14",2014,0.882,0.096,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.003,0.0,0.029,0.492,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257,0.009,0.0,0.997,0.997
504,MAR,Morocco,Enquête nationale sur l’emploi - ENE00,2000,0.837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.837,0.019
504,MAR,Morocco,Enquête nationale sur l’emploi - ENE01,2001,0.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.852,0.022
504,MAR,Morocco,Enquête nationale sur l’emploi - ENE03,2003,0.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.864,0.021
504,MAR,Morocco,Enquête nationale sur l’emploi - ENE04,2004,0.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.868,0.043
504,MAR,Morocco,Enquête nationale sur l’emploi - ENE05,2005,0.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.872,0.027
504,MAR,Morocco,Enquête nationale sur l’emploi - ENE06,2006,0.856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856,0.034
504,MAR,Morocco,Enquête nationale sur l’emploi - ENE07,2007,0.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857,0.033
