ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
498,MDA,"Moldova, Republic of",Census - CEN14,2014,0.807,0.087,0.0,0.0,0.0,0.0,0.0,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.162,0.0,0.0,0.0,0.0,0.0,0.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
498,MDA,"Moldova, Republic of",Household Budget Survey  - HBS00,2000,0.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984,0.0,1.0,1.0
498,MDA,"Moldova, Republic of",Multiple Indicator Cluster Survey - MICS00,2000,0.676,0.0,0.0,0.0,0.0,0.0,0.022,0.265,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.031,0.0,0.0,0.0,0.0,0.0,0.029,0.917,0.009,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.9670000000000001,0.9960000000000001
498,MDA,"Moldova, Republic of",Household Budget Survey  - HBS01,2001,0.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976,0.0,1.0,1.0
498,MDA,"Moldova, Republic of",Household Budget Survey  - HBS02,2002,0.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977,0.0,1.0,1.0
498,MDA,"Moldova, Republic of",Household Budget Survey  - HBS03,2003,0.779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.971,0.0,1.0,1.0
498,MDA,"Moldova, Republic of",Household Budget Survey  - HBS04,2004,0.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.958,0.0,1.0,1.0
498,MDA,"Moldova, Republic of",Demographic and Health Survey - DHS05,2005,0.703,0.0,0.0,0.0,0.0,0.113,0.095,0.0,0.077,0.0,0.0,0.0,0.008,0.004,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.312,0.324,0.0,0.218,0.0,0.0,0.0,0.097,0.012,0.0,0.0,0.0,0.9999999999999999,1.001
498,MDA,"Moldova, Republic of",Household Budget Survey  - HBS05,2005,0.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.949,0.0,1.0,1.0
498,MDA,"Moldova, Republic of",Household Budget Survey  - HBS06,2006,0.712,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157,0.0,0.027,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,1.0,1.0
498,MDA,"Moldova, Republic of",Household Budget Survey  - HBS07,2007,0.715,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162,0.0,0.018,0.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.865,0.0,0.999,1.0
498,MDA,"Moldova, Republic of",Household Budget Survey  - HBS08,2008,0.726,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.0,0.026,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.852,0.0,0.999,1.0
498,MDA,"Moldova, Republic of",Household Budget Survey  - HBS09,2009,0.718,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.0,0.014,0.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.815,0.0,1.0,1.0
498,MDA,"Moldova, Republic of",Household Budget Survey  - HBS10,2010,0.719,0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.0,0.016,0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.781,0.0,1.0,1.0
