ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
450,MDG,Madagascar,Multiple Indicator Cluster Survey - MICS00,2000,0.01,0.08,0.0,0.0,0.0,0.008,0.013,0.13,0.588,0.0,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.001,0.005,0.0,0.0,0.0,0.0,0.0,0.016,0.501,0.0,0.0,0.0,0.0,0.0,0.476,0.0,0.0,1.001,0.999
450,MDG,Madagascar,Enquête Prioritaire  - EP02,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.626,0.0,0.0,0.0,0.094,0.0,0.0,0.142,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478,0.0,0.0,0.0,0.065,0.0,0.0,0.375,0.066,0.0,0.918,0.984
450,MDG,Madagascar,Enquête Prioritaire  - EP04,,0.0,0.025,0.014,0.0,0.0,0.0,0.062,0.586,0.033,0.0,0.0,0.044,0.0,0.0,0.189,0.003,0.0,0.0,0.006,0.005,0.0,0.0,0.0,0.017,0.407,0.054,0.0,0.0,0.042,0.0,0.0,0.462,0.0,0.0,0.9560000000000001,0.9930000000000001
450,MDG,Madagascar,Demographic and Household Survey - DHS04,,0.0,0.074,0.0,0.0,0.0,0.03,0.0,0.636,0.069,0.0,0.0,0.0,0.0,0.0,0.191,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.002,0.0,0.452,0.015,0.0,0.0,0.0,0.0,0.0,0.525,0.0,0.0,1.0,1.0010000000000001
450,MDG,Madagascar,Enquête Prioritaire  - EP05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.518,0.0,0.0,0.0,0.059,0.0,0.0,0.24,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.021,0.0,0.0,0.462,0.047,0.0,0.845,0.9800000000000001
450,MDG,Madagascar,Demographic and Health Survey 2008-2009 - DHS09,2009,0.005,0.136,0.017,0.0,0.0,0.013,0.069,0.6,0.0,0.001,0.053,0.0,0.0,0.0,0.106,0.0,0.0,0.0,0.009,0.006,0.0,0.0,0.0,0.009,0.481,0.0,0.0,0.0,0.0,0.0,0.0,0.491,0.0,0.001,1.0000000000000002,0.997
450,MDG,Madagascar,Enquêtes Périodiques auprès des Ménages (EPM) - EPM10,2010,0.105,0.0,0.0,0.0,0.0,0.0,0.05,0.423,0.109,0.0,0.0,0.0,0.0,0.0,0.307,0.006,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.008,0.308,0.061,0.0,0.0,0.0,0.0,0.0,0.585,0.002,0.0,1.0,1.0
450,MDG,Madagascar,Malaria Indicator Survey - MIS11,2011,0.001,0.14,0.026,0.0,0.0,0.003,0.039,0.0,0.39,0.003,0.058,0.0,0.0,0.139,0.201,0.0,0.0,0.0,0.008,0.013,0.0,0.0,0.001,0.006,0.0,0.298,0.001,0.002,0.0,0.001,0.056,0.613,0.0,0.0,1.0,0.9989999999999999
450,MDG,Madagascar,Enquête sur les Indicateurs du Paludisme (EIPM) 2013 - EIPM-AIS13,2013,0.013,0.09,0.005,0.002,0.004,0.005,0.122,0.0,0.373,0.006,0.013,0.0,0.001,0.112,0.251,0.003,0.0,0.0,0.008,0.001,0.0,0.0,0.002,0.022,0.0,0.287,0.002,0.0,0.0,0.0,0.072,0.605,0.0,0.0,1.0,0.9989999999999999
450,MDG,Madagascar,"Enquête Nationale pour le Suivi des indicateurs des Objectifs du
Millénaire pour le Développement, 2012-2013 - ENSOMD13",2013,0.009,0.111,0.025,0.001,0.001,0.006,0.094,0.0,0.44,0.021,0.002,0.0,0.007,0.183,0.096,0.004,0.0,0.001,0.01,0.004,0.0,0.0,0.002,0.018,0.0,0.272,0.006,0.0,0.0,0.002,0.12,0.564,0.001,0.0,1.0,1.0
450,MDG,Madagascar,Malaria Indicator Survey - MIS16,2016,0.008,0.142,0.005,0.001,0.001,0.018,0.13,0.0,0.466,0.01,0.006,0.0,0.018,0.0,0.197,0.0,0.0,0.005,0.011,0.008,0.001,0.001,0.008,0.083,0.0,0.437,0.019,0.001,0.0,0.01,0.0,0.416,0.0,0.0,1.002,1.0
450,MDG,Madagascar,Enquête auprès des Ménages - EM01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553,0.0,0.0,0.0,0.071,0.0,0.0,0.115,0.107,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.427,0.0,0.0,0.0,0.069,0.0,0.0,0.259,0.166,0.066,0.9349999999999999,0.9870000000000001
450,MDG,Madagascar,Enquête Prioritaire  - EP01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.612,0.0,0.0,0.0,0.077,0.0,0.0,0.181,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.463,0.0,0.0,0.0,0.091,0.0,0.0,0.281,0.15,0.0,0.9249999999999999,0.9850000000000001
