ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
484,MEX,Mexico,National Census  - CEN00,2000,0.766,0.082,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.053,0.039,0.0,0.0,0.101,0.159,0.0,0.0,0.0,0.0,0.0,0.323,0.0,0.0,0.0,0.0,0.0,0.107,0.31,0.0,0.0,1.0,1.0
484,MEX,Mexico,Encuesta Nacional de Ingresos y Gastos de los Hogares - ENIGH00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.019,0.0,0.0,0.024,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287,0.0,0.0,0.0,0.075,0.0,0.0,0.262,0.011,0.0,0.09899999999999999,0.635
484,MEX,Mexico,"Encuesta Nacional de Ingresos y Gastos de los Hogares, ENIGH - ENIGH04",2004,0.783,0.095,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.111,0.0,0.283,0.318,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.373,0.0,1.076,1.278
484,MEX,Mexico,National Census  - CEN05,2005,0.827,0.102,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.054,0.002,0.193,0.34,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.424,0.001,1.03,1.299
484,MEX,Mexico,Encuesta Nacional sobre los Niveles de Vida en los Hogares - ENNVH05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.073,0.091,0.433
484,MEX,Mexico,"Encuesta Nacional de Ingresos y Gastos de los Hogares, ENIGH - ENIGH06",2006,0.808,0.092,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.09,0.0,0.315,0.301,0.0,0.0,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245,0.329,0.0,1.0630000000000002,1.244
484,MEX,Mexico,"Encuesta Nacional de Ingresos y Gastos de los Hogares, ENIGH - ENIGH08",2008,0.824,0.095,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.069,0.0,0.257,0.371,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243,0.326,0.0,1.048,1.244
484,MEX,Mexico,"ENIGH-MCS, 2008 - MCS08",2008,0.835,0.101,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.009,0.0,0.197,0.32,0.0,0.0,0.0,0.0,0.0,0.272,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.023,0.0,0.995,0.987
484,MEX,Mexico,Encuesta Nacional sobre Uso del Tiempo - ENUT09,2009,0.878,0.069,0.0,0.0,0.014,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.001,0.308,0.322,0.0,0.0,0.05,0.0,0.0,0.227,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.0,0.0,1.0,0.999
484,MEX,Mexico,Census - CEN10,2010,0.896,0.075,0.0,0.0,0.008,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.006,0.392,0.328,0.0,0.0,0.038,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.194,0.0,0.007,1.0,0.999
484,MEX,Mexico,Encuesta Nacional de Ingresos y Gastos de los Hogares - ENIGH10,2010,0.852,0.09,0.0,0.005,0.003,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.021,0.0,0.276,0.37,0.0,0.024,0.014,0.0,0.0,0.193,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.018,0.0,0.999,1.001
484,MEX,Mexico,"ENIGH-MCS, 2010 - MCS10",2010,0.856,0.095,0.0,0.0,0.003,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.005,0.0,0.251,0.334,0.0,0.0,0.013,0.0,0.0,0.267,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.025,0.0,0.999,1.0
484,MEX,Mexico,Encuesta Nacional de Gastos de los Hogares (ENGASTO) - ENGASTO12,2012,0.888,0.079,0.0,0.0,0.007,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.321,0.415,0.0,0.0,0.02,0.0,0.0,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.0,1.001,1.0
484,MEX,Mexico,Encuesta Nacional de Ingresos y Gastos de los Hogares 2012 - ENIGH12,2012,0.885,0.08,0.0,0.0,0.011,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.29,0.42,0.0,0.0,0.038,0.0,0.0,0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.0,1.001,1.0010000000000001
