ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
104,MMR,Myanmar,Fertility and Reproductive Health Survey - FRHS01,2001,0.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.0,0.0,0.023,0.004,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238,0.0,0.0,0.0,0.0,0.0,0.124,0.007,0.0,0.977,0.999
104,MMR,Myanmar,Integrated Household Living Conditions Survey - IHLC04,,0.0,0.0,0.0,0.385,0.0,0.0,0.352,0.0,0.021,0.0,0.02,0.006,0.0,0.201,0.009,0.006,0.0,0.0,0.0,0.0,0.061,0.0,0.0,0.533,0.0,0.104,0.0,0.009,0.032,0.0,0.15,0.106,0.007,0.0,1.0,1.002
104,MMR,Myanmar,Multiple Indicator Cluster Survey - MICS00,,0.0,0.0,0.0,0.0,0.0,0.0,0.645,0.103,0.045,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.554,0.168,0.085,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.0,0.808,0.9890000000000001
104,MMR,Myanmar,Multiple Indicator Cluster Survey - MICS03,,0.0,0.0,0.0,0.0,0.0,0.0,0.633,0.046,0.022,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.135,0.056,0.0,0.0,0.0,0.0,0.0,0.102,0.0,0.0,0.7070000000000001,0.9640000000000001
104,MMR,Myanmar,World Health Survey - WHS03,2003,0.061,0.107,0.0,0.0,0.0,0.0,0.041,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.006,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.077,0.105,0.0,0.11,0.0,0.006,0.032,0.0,0.052,0.30300000000000005,0.365,0.0,0.0
104,MMR,Myanmar,Fertility and Reproductive Health Survey - FRHS07,,0.0,0.0,0.0,0.918,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.013,0.014,0.0,0.0,0.0,0.0,0.718,0.0,0.0,0.0,0.0,0.0,0.0,0.119,0.0,0.0,0.0,0.127,0.035,0.0,1.0,0.999
104,MMR,Myanmar,Multiple Indicator Cluster Survey  - MICS10,2010,0.036,0.323,0.0,0.0,0.016,0.048,0.535,0.0,0.026,0.004,0.0,0.0,0.003,0.0,0.008,0.002,0.0,0.0,0.06,0.0,0.0,0.009,0.031,0.698,0.0,0.08,0.003,0.0,0.0,0.014,0.0,0.097,0.007,0.0,1.001,0.9989999999999999
104,MMR,Myanmar,Integrated household living conditions assessment survey (2009-2010) - IHLCA10,,0.0,0.0,0.0,0.493,0.0,0.0,0.349,0.0,0.016,0.0,0.01,0.002,0.0,0.125,0.005,0.001,0.0,0.0,0.0,0.0,0.169,0.0,0.0,0.517,0.0,0.054,0.0,0.02,0.014,0.0,0.159,0.064,0.005,0.0,1.001,1.002
104,MMR,Myanmar,The 2014 Myanmar Population and Housing census - CEN14,,0.0,0.0,0.871,0.052,0.0,0.0,0.0,0.038,0.0,0.0,0.01,0.0,0.0,0.0,0.026,0.003,0.0,0.0,0.0,0.664,0.009,0.0,0.0,0.0,0.094,0.0,0.0,0.033,0.0,0.0,0.0,0.19,0.01,0.0,1.0,1.0
104,MMR,Myanmar,Demographic and Health Survey 2015-16 - DHS16,2016,0.008,0.179,0.439,0.0,0.021,0.034,0.005,0.019,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.011,0.003,0.0,0.001,0.025,0.299,0.0,0.013,0.007,0.023,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.142,0.003,0.0,0.024,0.111,0.031,0.134,0.0,0.313,0.017,0.001,0.029,1.1419999999999995,1.1649999999999998,0.089,0.108,0.0,0.191,0.005,0.0
