ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
508,MOZ,Mozambique,"Questionário de Indicadores Básicos de Bem-estar, 2000-2001 - QUIBB01",2001,0.053,0.054,0.0,0.0,0.0,0.207,0.0,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.213,0.04,0.0,0.001,0.002,0.0,0.0,0.0,0.014,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.709,0.004,0.0,1.0,1.0
508,MOZ,Mozambique,"Inquerito dos agregados familiares, 2002-2003 - IAF03",2003,0.046,0.074,0.0,0.0,0.0,0.206,0.0,0.391,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.01,0.0,0.001,0.002,0.0,0.0,0.0,0.018,0.0,0.312,0.0,0.0,0.0,0.0,0.0,0.0,0.663,0.003,0.0,1.0,0.999
508,MOZ,Mozambique,Demographic and Health Survey - DHS03,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.008,0.0,0.27,0.638
508,MOZ,Mozambique,Inquérito Integrado à Força de Trabalho 2004-2005 - IFTRAB05,2005,0.054,0.102,0.0,0.0,0.0,0.184,0.0,0.438,0.0,0.0,0.0,0.0,0.0,0.0,0.166,0.056,0.0,0.0,0.003,0.0,0.0,0.0,0.021,0.0,0.299,0.0,0.0,0.0,0.0,0.0,0.0,0.664,0.013,0.0,1.0,1.0
508,MOZ,Mozambique,Census - CEN07,,0.0,0.12,0.0,0.0,0.0,0.221,0.121,0.0,0.339,0.0,0.0,0.0,0.0,0.0,0.199,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.015,0.04,0.0,0.306,0.0,0.0,0.0,0.0,0.0,0.636,0.0,0.0,1.0,1.0
508,MOZ,Mozambique,Multiple Indicator Cluster Survey - MICS08,,0.0,0.0,0.0,0.0,0.0,0.179,0.149,0.0,0.379,0.0,0.0,0.0,0.0,0.0,0.119,0.026,0.005,0.0,0.0,0.0,0.0,0.0,0.014,0.04,0.0,0.385,0.0,0.0,0.0,0.0,0.0,0.541,0.009,0.006,0.857,0.995
508,MOZ,Mozambique,Inquérito ao Orçamento Familiar 2008/9 - IOF09,,0.0,0.132,0.0,0.0,0.0,0.0,0.284,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.223,0.001,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.052,0.0,0.343,0.0,0.0,0.0,0.0,0.0,0.602,0.001,0.0,1.0,1.001
508,MOZ,Mozambique,MEASURE DHS - AIDS Indicators Survey (AIS) - AIS09,2009,0.046,0.095,0.106,0.003,0.007,0.09,0.179,0.0,0.284,0.002,0.001,0.0,0.001,0.0,0.175,0.011,0.0,0.001,0.002,0.062,0.002,0.005,0.016,0.129,0.0,0.24,0.005,0.0,0.0,0.0,0.0,0.526,0.012,0.0,1.0,1.0
508,MOZ,Mozambique,Inquérito Demográfico e de Saúde - DHS11,,0.0,0.0,0.0,0.0,0.0,0.225,0.159,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.113,0.0,0.346,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.813,0.995
508,MOZ,Mozambique,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15",,0.0,0.188,0.0,0.0,0.0,0.0,0.39,0.0,0.295,0.0,0.0,0.0,0.0,0.0,0.127,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.125,0.0,0.382,0.0,0.0,0.0,0.0,0.0,0.485,0.0,0.0,1.0,0.999
508,MOZ,Mozambique,"Inquérito de Indicadores de Imunização, Malária e HIV/SIDA em Moçambique - AIS15",,0.0,0.0,0.0,0.0,0.0,0.0,0.213,0.159,0.311,0.0,0.0,0.0,0.0,0.143,0.056,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.155,0.426,0.0,0.0,0.0,0.0,0.016,0.363,0.003,0.0,0.8850000000000001,0.997
508,MOZ,Mozambique,Inquerito de base PRONASAR - PRONASAR11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.006,0.0,0.0,0.004,0.054,0.056,0.43,0.0,0.0,0.0,0.004,0.0,0.446,0.0,0.0,0.0,1.001
