ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
562,NER,Niger,Multiple Indicator Cluster Survey - MICS00,,0.0,0.0,0.0,0.054,0.0,0.024,0.0,0.633,0.051,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.073,0.01,0.0,0.0,0.0,0.0,0.0,0.914,0.0,0.002,0.958,1.0
562,NER,Niger,Questionnaire Unifié sur les Indicateurs de Base de Bien-Etre - QUIBB05,2005,0.04,0.037,0.0,0.0,0.0,0.007,0.282,0.388,0.0,0.0,0.005,0.0,0.0,0.0,0.237,0.002,0.0,0.011,0.003,0.0,0.0,0.0,0.0,0.026,0.056,0.0,0.0,0.008,0.0,0.0,0.0,0.896,0.0,0.0,0.998,1.0
562,NER,Niger,Demographic and Health Survey - DHS06,,0.0,0.0,0.0,0.0,0.0,0.0,0.323,0.404,0.0,0.0,0.0,0.0,0.0,0.0,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.933,0.0,0.0,0.9390000000000001,1.0
562,NER,Niger,NATIONAL SURVEY ON HOUSEHOLD LIVING  CONDITIONS AND AGRICULTURE 2011 - LSMS11,,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.274,0.199,0.0,0.0,0.0,0.0,0.0,0.153,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.04,0.035,0.0,0.0,0.0,0.0,0.0,0.89,0.002,0.0,0.9210000000000002,1.001
562,NER,Niger,"Recensement General de la Population et de l’Habitat, 2012 - CEN12",,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.26,0.0,0.0,0.0,0.0,0.0,0.003,0.142,0.005,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.049,0.0,0.0,0.0,0.0,0.0,0.001,0.853,0.002,0.023,0.682,0.943
562,NER,Niger,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSN-MICS IV) 2012 - EDSN-MICS12,2012,0.028,0.113,0.0,0.0,0.0,0.086,0.553,0.0,0.083,0.0,0.006,0.0,0.0,0.0,0.13,0.002,0.0,0.001,0.005,0.0,0.0,0.0,0.004,0.075,0.0,0.075,0.0,0.004,0.0,0.0,0.0,0.835,0.0,0.0,1.001,0.9989999999999999
562,NER,Niger,"l'Enquête Nationale sur les Conditions de Vie des Ménages et l'Agriculture, 2014-2015 - LSMS15",,0.0,0.0,0.0,0.0,0.0,0.332,0.32,0.0,0.151,0.0,0.0,0.0,0.0,0.0,0.108,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.019,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.897,0.0,0.001,0.912,0.994
562,NER,Niger,Etude Nationale d'Evalulation d'Indicateurs Socio-economiques et Demographiques - ENISED15,,0.0,0.0,0.0,0.0,0.0,0.0,0.354,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.806,0.004,0.0,0.034,0.048,0.131,0.196,0.357,1.2069999999999999,1.0370000000000001
562,NER,Niger,Performance Monitoring and Accountability - PMA16,2016,0.045,0.148,0.0,0.003,0.029,0.058,0.506,0.0,0.093,0.0,0.001,0.0,0.002,0.0,0.112,0.002,0.0,0.004,0.023,0.0,0.0,0.002,0.003,0.159,0.0,0.065,0.004,0.0,0.0,0.001,0.0,0.731,0.008,0.0,0.999,1.0
562,NER,Niger,Performance Monitoring and Accountability - PMA17,2017,0.032,0.106,0.095,0.001,0.029,0.022,0.519,0.0,0.083,0.001,0.001,0.0,0.0,0.0,0.108,0.005,0.0,0.0,0.002,0.024,0.001,0.022,0.001,0.119,0.0,0.09,0.001,0.0,0.0,0.0,0.0,0.734,0.002,0.005,1.002,1.001
