ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
566,NGA,Nigeria,Child Labour Survey - CLS00,,0.0,0.0,0.0,0.0,0.0,0.008,0.552,0.0,0.074,0.03,0.009,0.0,0.0,0.0,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.488,0.0,0.147,0.02,0.004,0.0,0.0,0.0,0.312,0.0,0.0,0.755,0.974
566,NGA,Nigeria,Demographic and Health Survey - DHS03,,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.581,0.0,0.0,0.0,0.0,0.0,0.0,0.087,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.601,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.0,0.0,0.721,0.9430000000000001
566,NGA,Nigeria,Nigerian Living Standard Survey 2003-2004 - NLSS04,2004,0.106,0.145,0.0,0.0,0.0,0.017,0.456,0.0,0.069,0.057,0.047,0.0,0.0,0.0,0.102,0.102,0.0,0.012,0.013,0.0,0.0,0.0,0.015,0.46,0.0,0.143,0.047,0.041,0.0,0.0,0.0,0.269,0.269,0.0,1.101,1.2690000000000001
566,NGA,Nigeria,Core Welfare Indicator Questionnaire - CWIQ06,2006,0.106,0.175,0.0,0.0,0.0,0.02,0.469,0.0,0.089,0.017,0.003,0.0,0.0,0.0,0.121,0.121,0.0,0.019,0.031,0.0,0.0,0.0,0.008,0.419,0.0,0.212,0.027,0.001,0.0,0.0,0.0,0.283,0.283,0.0,1.121,1.283
566,NGA,Nigeria,General Household Survey - GHS06,2006,0.127,0.205,0.0,0.0,0.0,0.013,0.372,0.0,0.087,0.051,0.002,0.0,0.0,0.0,0.143,0.143,0.0,0.011,0.022,0.0,0.0,0.0,0.007,0.369,0.0,0.214,0.031,0.002,0.0,0.0,0.0,0.344,0.344,0.0,1.143,1.3439999999999999
566,NGA,Nigeria,Multiple Cluster Indicator Survey - MICS07,2007,0.103,0.163,0.129,0.0,0.004,0.015,0.29,0.0,0.142,0.006,0.0,0.0,0.0,0.0,0.136,0.012,0.0,0.011,0.019,0.037,0.0,0.001,0.004,0.237,0.0,0.317,0.014,0.0,0.0,0.001,0.0,0.339,0.018,0.0,1.0,0.998
566,NGA,Nigeria,Nigeria Water Supply and Sanitation Baseline Survey - BLS08,,0.0,0.019,0.0,0.0,0.0,0.023,0.071,0.371,0.067,0.009,0.001,0.0,0.0,0.012,0.057,0.009,0.0,0.0,0.003,0.0,0.0,0.0,0.011,0.115,0.412,0.13,0.024,0.001,0.0,0.0,0.022,0.227,0.002,0.0,0.639,0.947
566,NGA,Nigeria,Demographic and Health Survey - DHS08,2008,0.107,0.219,0.066,0.001,0.003,0.219,0.15,0.0,0.078,0.017,0.001,0.0,0.0,0.0,0.136,0.005,0.0,0.016,0.04,0.014,0.0,0.001,0.22,0.116,0.0,0.143,0.017,0.001,0.0,0.001,0.0,0.424,0.008,0.0,1.002,1.0010000000000001
566,NGA,Nigeria,Nigeria Living Standards Survey - LSS09,2009,0.19,0.161,0.077,0.002,0.003,0.014,0.306,0.0,0.075,0.018,0.001,0.0,0.008,0.0,0.136,0.009,0.0,0.052,0.022,0.026,0.004,0.002,0.007,0.243,0.0,0.255,0.041,0.001,0.0,0.008,0.0,0.314,0.024,0.0,1.0,0.9990000000000001
566,NGA,Nigeria,MEASURE DHS - Malaria Indicators Survey (MIS) - MIS10,2010,0.188,0.107,0.049,0.001,0.013,0.04,0.246,0.0,0.122,0.026,0.001,0.0,0.0,0.0,0.206,0.001,0.0,0.038,0.019,0.016,0.0,0.002,0.018,0.249,0.0,0.227,0.033,0.0,0.0,0.002,0.0,0.396,0.0,0.0,0.9999999999999999,1.0
566,NGA,Nigeria,Census - CEN10,2010,0.165,0.171,0.0,0.0,0.0,0.029,0.0,0.339,0.075,0.083,0.013,0.0,0.0,0.0,0.085,0.034,0.006,0.032,0.024,0.0,0.0,0.0,0.028,0.0,0.374,0.221,0.046,0.017,0.0,0.0,0.0,0.157,0.09,0.011,1.0,1.0
566,NGA,Nigeria,Living Standards Measurement Study (LSMS) - LSMS11,2011,0.078,0.242,0.0,0.0,0.0,0.02,0.0,0.312,0.1,0.0,0.005,0.0,0.0,0.0,0.17,0.074,0.0,0.022,0.068,0.0,0.0,0.0,0.033,0.0,0.385,0.137,0.0,0.009,0.0,0.0,0.0,0.213,0.132,0.0,1.0010000000000001,0.999
566,NGA,Nigeria,Multiple Indicator Cluster Survey 2011 - MICS11,2011,0.078,0.327,0.097,0.001,0.002,0.022,0.259,0.0,0.09,0.002,0.0,0.0,0.001,0.0,0.119,0.001,0.0,0.026,0.056,0.025,0.003,0.001,0.012,0.247,0.0,0.231,0.021,0.0,0.0,0.003,0.0,0.37,0.002,0.001,0.999,0.998
