ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
524,NPL,Nepal,NMIP DWSS - NMIP08,2008,0.167,0.0,0.5,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.0,0.0,0.165,0.0,0.0,0.0,0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.0,0.0,0.99,1.0010000000000001
524,NPL,Nepal,Between Census Household Information Monitoring and Evaluation System - BCHIMES00,,0.0,0.0,0.0,0.0,0.0,0.069,0.258,0.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.144,0.06,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.613,0.25999999999999995
524,NPL,Nepal,Population census - CEN01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.592,0.0,0.0,0.469,0.827
524,NPL,Nepal,Demographic and Health Survey - DHS01,,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.153,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.756,0.001,0.0,0.424,0.943
524,NPL,Nepal,World Health Survey - WHS03,2003,0.382,0.396,0.0,0.0,0.0,0.0,0.06,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104,0.002,0.0,0.016,0.171,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.597,0.006,0.0,0.11,0.12,0.0,0.053,0.0,0.001,0.052,0.0,0.017,1.0220000000000002,1.0839999999999999,0.0,0.001
524,NPL,Nepal,Living Standards Survey - LSS04,2004,0.344,0.367,0.0,0.0,0.0,0.0,0.0,0.109,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.181,0.0,0.0,0.001,0.118,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.687,0.0,0.0,0.188,0.193,0.098,1.109,1.1920000000000002
524,NPL,Nepal,Demographic and Health Survey - DHS06,2006,0.204,0.524,0.005,0.001,0.018,0.004,0.032,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.01,0.186,0.01,0.0,0.002,0.013,0.069,0.0,0.123,0.0,0.0,0.0,0.006,0.0,0.581,0.0,0.0,1.0,1.0
524,NPL,Nepal,NEPAL LIVING STANDARDS SURVEY - LSMS10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.472,0.528,0.0,0.0,1.0,1.0
524,NPL,Nepal,National Population and Housing Census 2011 - CEN11,2011,0.302,0.475,0.0,0.0,0.0,0.0,0.0,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.008,0.03,0.301,0.0,0.0,0.0,0.0,0.0,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.451,0.0,0.006,0.9999999999999999,1.0
524,NPL,Nepal,MEASURE DHS  - DHS11,2011,0.273,0.546,0.034,0.001,0.003,0.007,0.033,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.087,0.0,0.0,0.031,0.337,0.046,0.0,0.003,0.009,0.092,0.0,0.08,0.0,0.0,0.0,0.003,0.0,0.399,0.0,0.0,1.0000000000000002,1.0
