ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
604,PER,Peru,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16",2016,0.862,0.014,0.0,0.0,0.002,0.03,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.001,0.0,0.178,0.056,0.0,0.0,0.004,0.112,0.0,0.447,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.003,0.0,0.9990000000000001,0.9999999999999999
604,PER,Peru,Demographic and Health Survey - ENDES00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.491,0.001,0.0,0.4,0.432,0.149,0.405,1.3559999999999999
604,PER,Peru,Encuesta Nacional de Hogares - ENH02,2002,0.802,0.048,0.0,0.0,0.008,0.0,0.0,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.18,0.098,0.0,0.0,0.024,0.0,0.0,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.368,0.0,0.0,1.0,0.999
604,PER,Peru,Demographic and Health Survey - ENDES04,2004,0.842,0.0,0.0,0.0,0.002,0.0,0.0,0.118,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.009,0.0,0.106,0.0,0.0,0.0,0.003,0.0,0.0,0.471,0.0,0.0,0.0,0.0,0.0,0.0,0.411,0.009,0.0,0.471,1.1179999999999999,1.4709999999999999
604,PER,Peru,Encuesta Nacional de los Hogares - ENAHO04,2004,0.75,0.081,0.0,0.0,0.01,0.0,0.0,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.0,0.0,0.053,0.174,0.0,0.0,0.021,0.0,0.0,0.306,0.0,0.0,0.0,0.0,0.0,0.0,0.446,0.0,0.0,0.9999999999999999,1.0
604,PER,Peru,Encuesta Nacional de los Hogares - ENAHO05,2005,0.753,0.094,0.0,0.0,0.012,0.0,0.0,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.058,0.253,0.0,0.0,0.023,0.0,0.0,0.201,0.0,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,1.0,1.0
604,PER,Peru,Demographic and Health Survey - ENDES05,2005,0.839,0.0,0.0,0.0,0.003,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.012,0.0,0.053,0.0,0.0,0.0,0.007,0.0,0.0,0.463,0.0,0.0,0.0,0.0,0.0,0.0,0.446,0.032,0.0,0.463,1.1209999999999998,1.464
604,PER,Peru,Encuesta Demográfica y de Salud Familiar – ENDES - ENDES06,2006,0.827,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.0,0.002,0.0,0.0,0.0,0.0,0.033,0.016,0.0,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.421,0.0,0.005,0.0,0.0,0.0,0.0,0.452,0.028,0.0,0.999,1.0
604,PER,Peru,Encuesta Nacional de los Hogares - ENAHO06,2006,0.769,0.101,0.0,0.0,0.016,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.057,0.301,0.0,0.0,0.024,0.0,0.0,0.197,0.0,0.0,0.0,0.0,0.0,0.0,0.422,0.0,0.0,0.999,1.001
604,PER,Peru,Encuesta Nacional de los Hogares - ENAHO07,2007,0.776,0.066,0.0,0.0,0.015,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.075,0.272,0.0,0.0,0.017,0.0,0.0,0.243,0.0,0.0,0.0,0.0,0.0,0.0,0.394,0.0,0.0,0.9990000000000001,1.001
604,PER,Peru,Censos Nacionales de Poblacion y de Vivienda - CEN07,2007,0.725,0.046,0.0,0.0,0.013,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.087,0.0,0.0,0.025,0.052,0.0,0.0,0.031,0.0,0.0,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.419,0.0,0.0,0.999,1.0
604,PER,Peru,Encuesta Nacional de los Hogares - ENAHO08,2008,0.792,0.058,0.0,0.0,0.017,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.077,0.32,0.0,0.0,0.02,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.343,0.0,0.0,1.0,1.0
604,PER,Peru,Encuestas de demografía y salud  - ENDES08,2008,0.822,0.018,0.0,0.0,0.0,0.002,0.0,0.093,0.0,0.008,0.0,0.002,0.0,0.0,0.038,0.017,0.0,0.094,0.081,0.0,0.0,0.0,0.056,0.0,0.369,0.0,0.007,0.0,0.003,0.0,0.0,0.367,0.022,0.0,1.0,0.999
604,PER,Peru,ENDESA 2009 - ENDES09,,0.0,0.0,0.0,0.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.012,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336,0.017,0.0,0.7989999999999999,0.44300000000000006
604,PER,Peru,Encuesta Nacional de los Hogares - ENAHO09,2009,0.809,0.052,0.0,0.0,0.02,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.0,0.0,0.094,0.345,0.0,0.0,0.023,0.0,0.0,0.248,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,1.0,1.0
604,PER,Peru,Encuestas de demografía y salud  - ENDES10,2010,0.773,0.009,0.0,0.0,0.0,0.032,0.0,0.122,0.0,0.0,0.0,0.003,0.0,0.0,0.061,0.001,0.0,0.111,0.022,0.0,0.0,0.0,0.133,0.0,0.411,0.0,0.0,0.0,0.004,0.0,0.0,0.317,0.001,0.0,1.001,0.999
604,PER,Peru,Encuesta Nacional de los Hogares - ENAHO10,2010,0.827,0.051,0.0,0.0,0.014,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.103,0.377,0.0,0.0,0.021,0.0,0.0,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0.261,0.0,0.0,1.0,1.0
604,PER,Peru,Encuesta Nacional de los Hogares - ENAHO11,2011,0.834,0.044,0.0,0.0,0.015,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.006,0.0,0.122,0.351,0.0,0.0,0.018,0.0,0.0,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.251,0.003,0.0,1.0010000000000001,1.001
604,PER,Peru,Encuesta Nacional de Programmas Estrategico - ENAPRES11,2011,0.796,0.036,0.0,0.0,0.014,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.009,0.0,0.1,0.301,0.0,0.0,0.008,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.321,0.06,0.0,1.0,1.0
604,PER,Peru,Encuestas de demografía y salud  - ENDES11,2011,0.79,0.01,0.0,0.0,0.0,0.021,0.0,0.129,0.0,0.0,0.0,0.004,0.0,0.0,0.046,0.0,0.0,0.125,0.032,0.0,0.0,0.0,0.102,0.0,0.452,0.0,0.0,0.0,0.002,0.0,0.0,0.287,0.0,0.0,1.0,1.0
604,PER,Peru,Encuesta Demográfica y de Salud Familiar – ENDES - ENDES12,2012,0.806,0.011,0.0,0.0,0.0,0.026,0.0,0.109,0.0,0.0,0.0,0.003,0.0,0.0,0.044,0.0,0.0,0.124,0.067,0.0,0.0,0.0,0.124,0.0,0.463,0.0,0.0,0.0,0.005,0.0,0.0,0.217,0.0,0.0,0.9990000000000001,1.0
604,PER,Peru,Encuesta Nacional de los Hogares - ENAHO12,2012,0.85,0.037,0.0,0.0,0.013,0.0,0.0,0.017,0.04,0.0,0.0,0.0,0.0,0.0,0.034,0.009,0.0,0.122,0.334,0.0,0.0,0.013,0.0,0.0,0.134,0.165,0.0,0.0,0.0,0.0,0.0,0.228,0.004,0.0,1.0,1.0
604,PER,Peru,Encuesta Nacional de Programmas Estrategico - ENAPRES12,2012,0.817,0.031,0.0,0.0,0.014,0.0,0.0,0.01,0.071,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.0,0.111,0.279,0.0,0.0,0.013,0.0,0.0,0.064,0.236,0.0,0.0,0.0,0.0,0.0,0.297,0.0,0.0,1.0,1.0
604,PER,Peru,Encuesta Nacional de los Hogares - ENAHO13,2013,0.842,0.04,0.0,0.0,0.013,0.0,0.0,0.028,0.041,0.0,0.0,0.0,0.0,0.0,0.028,0.009,0.0,0.142,0.333,0.0,0.0,0.014,0.0,0.0,0.131,0.171,0.0,0.0,0.0,0.0,0.0,0.206,0.003,0.0,1.0010000000000001,1.0
604,PER,Peru,Encuesta Demográfica y de Salud Familiar – ENDES - ENDES13,2013,0.836,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.003,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.238,0.007,0.0,0.572,0.595,0.115,1.1209999999999998,1.5949999999999998
604,PER,Peru,Encuesta Nacional de Programmas Estrategico - ENAPRES13,2013,0.833,0.025,0.0,0.0,0.012,0.0,0.0,0.006,0.068,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,0.135,0.262,0.0,0.0,0.014,0.0,0.0,0.057,0.238,0.0,0.0,0.0,0.0,0.0,0.294,0.0,0.0,1.0,1.0
604,PER,Peru,"Encuesta Demográfica y de Salud Familiar, 2014 - ENDES14",2014,0.848,0.0,0.0,0.0,0.0,0.0,0.0,0.117,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.006,0.0,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.213,0.01,0.0,0.563,0.6,0.109,1.118,1.5999999999999999
