ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
608,PHL,Philippines,Family income and expenditure survey - FIES00,,0.0,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.029,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.093,0.053,0.0,0.171,0.435
608,PHL,Philippines,Census of population and housing - CEN00,,0.0,0.0,0.0,0.187,0.0,0.0,0.041,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.013,0.035,0.0,0.0,0.0,0.0,0.265,0.0,0.0,0.135,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.137,0.022,0.0,0.30000000000000004,0.684
608,PHL,Philippines,World Health Survey - WHS03,2003,0.071,0.24,0.0,0.0,0.0,0.0,0.049,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.002,0.0,0.022,0.157,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0.001,0.0,0.084,0.096,0.0,0.043,0.0,0.006,0.041,0.0,0.016,0.499,0.562,0.0,0.005
608,PHL,Philippines,Demographic and Health Survey - DHS03,,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.008,0.011,0.0,0.0,0.0,0.0,0.039,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.0,0.068,0.028,0.0,0.0,0.0,0.0,0.154,0.001,0.0,0.07400000000000001,0.358
608,PHL,Philippines,Philippines Family Income and Expenditure Survey (FIES) - FIES03,,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.048,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.146,0.017,0.0,0.168,0.41600000000000004
608,PHL,Philippines,Family income and expenditure survey - FIES06,,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.044,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.081,0.0,0.0,0.0,0.0,0.0,0.131,0.019,0.0,0.122,0.35600000000000004
608,PHL,Philippines,Demographic and Health Survey - DHS08,2008,0.035,0.84,0.05,0.001,0.007,0.004,0.006,0.0,0.011,0.004,0.001,0.0,0.002,0.0,0.039,0.0,0.0,0.033,0.526,0.164,0.002,0.006,0.017,0.037,0.0,0.035,0.017,0.002,0.0,0.008,0.0,0.153,0.0,0.0,1.0,1.0000000000000002
608,PHL,Philippines,Philippines Family Income and Expenditure Survey (FIES) - FIES09,,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.031,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.096,0.013,0.0,0.08499999999999999,0.224
608,PHL,Philippines,Philippines Family Income and Expenditure Survey (FIES) - FIES12,,0.0,0.912,0.0,0.045,0.0,0.0,0.016,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.016,0.005,0.0,0.0,0.758,0.0,0.098,0.0,0.0,0.057,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.049,0.01,0.0,1.0010000000000001,1.0010000000000001
608,PHL,Philippines,National and Demographic and Health Survey (NDHS) - NDHS13,2013,0.047,0.822,0.038,0.0,0.008,0.002,0.012,0.0,0.006,0.006,0.001,0.0,0.0,0.0,0.05,0.007,0.0,0.021,0.635,0.097,0.0,0.004,0.01,0.041,0.0,0.031,0.013,0.0,0.0,0.001,0.0,0.133,0.013,0.0,0.9990000000000001,0.9990000000000001
608,PHL,Philippines,Annual Poverty Indicator Survey - APIS17,2017,0.07,0.792,0.061,0.0,0.015,0.008,0.004,0.0,0.002,0.012,0.0,0.0,0.0,0.0,0.028,0.006,0.0,0.024,0.599,0.159,0.001,0.015,0.022,0.031,0.0,0.028,0.014,0.004,0.0,0.006,0.0,0.087,0.01,0.0,0.9980000000000001,1.0
608,PHL,Philippines,Demographic Health Survey - DHS17,2017,0.071,0.845,0.032,0.0,0.009,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.001,0.0,0.037,0.725,0.102,0.0,0.004,0.001,0.004,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.058,0.002,0.0,0.004,0.023,0.004,0.023,0.004,0.02,0.011,0.001,0.0,1.0019999999999998,1.024,0.002,0.002,0.001,0.006,0.003,0.0
