ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
646,RWA,Rwanda,Demographic and Health Survey - DHS00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.915,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.951,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.002,0.93,0.997
646,RWA,Rwanda,Multiple Indicator Cluster Survey - MICS00,,0.0,0.0,0.0,0.0,0.0,0.085,0.0,0.717,0.064,0.0,0.0,0.0,0.0,0.0,0.019,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.711,0.197,0.0,0.001,0.0,0.0,0.0,0.033,0.045,0.0,0.9029999999999999,0.9940000000000001
646,RWA,Rwanda,Enquête Intégrale sur les Conditions de Vie des Ménages - EICV00,,0.0,0.0,0.0,0.0,0.0,0.0,0.799,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.01,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505,0.0,0.431,0.0,0.0,0.0,0.0,0.0,0.049,0.012,0.0,0.912,0.997
646,RWA,Rwanda,Questionnaire unifiee sur les indicateurs de development - QUID01,2001,0.035,0.07,0.0,0.0,0.0,0.041,0.717,0.0,0.128,0.0,0.004,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.418,0.0,0.524,0.0,0.0,0.0,0.0,0.0,0.044,0.006,0.0,1.0,0.998
646,RWA,Rwanda,Census - CEN02,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.007,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.012,0.007,0.024,0.034
646,RWA,Rwanda,Questionnaire Unifié sur les Indicateurs de Bien-être de Base - QUIBB03,,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.355,0.0,0.26,0.39799999999999996
646,RWA,Rwanda,Demographic and Household Survey - DHS05,,0.0,0.0,0.0,0.0,0.0,0.471,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.241,0.0,0.708,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.001,0.0,0.9460000000000001,0.998
646,RWA,Rwanda,Enquête Intégrale sur les Conditions de Vie des Ménages - EICV05,,0.0,0.0,0.0,0.0,0.0,0.0,0.712,0.0,0.194,0.0,0.0,0.0,0.0,0.0,0.038,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583,0.0,0.362,0.0,0.0,0.0,0.0,0.0,0.05,0.003,0.0,0.945,0.998
646,RWA,Rwanda,Demographic and Health Survey - DHS08,,0.0,0.0,0.0,0.0,0.0,0.404,0.0,0.536,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.572,0.0,0.393,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.003,0.004,0.9570000000000001,0.996
646,RWA,Rwanda,Demographic and Health Survey - DHS10,2010,0.032,0.003,0.017,0.001,0.003,0.031,0.791,0.0,0.107,0.0,0.0,0.0,0.001,0.0,0.009,0.005,0.0,0.001,0.0,0.002,0.0,0.004,0.017,0.697,0.0,0.251,0.0,0.0,0.0,0.005,0.0,0.015,0.008,0.0,1.0,1.0
646,RWA,Rwanda,Third Integrated Household Living Conditions Survey (EICV III) - EICV10,,0.0,0.0,0.0,0.0,0.0,0.0,0.751,0.0,0.141,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.724,0.0,0.203,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.925,0.9930000000000001
646,RWA,Rwanda,Population and Housing Census - CEN12,2012,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.911,0.354,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.007,0.033,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.019,0.014,0.879,0.955,0.557,1.911,1.954
646,RWA,Rwanda,Malaria Indicator Survey - MIS13,2013,0.061,0.034,0.0,0.0,0.002,0.012,0.751,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.003,0.608,0.0,0.361,0.0,0.0,0.0,0.003,0.0,0.021,0.0,0.0,1.001,0.999
646,RWA,Rwanda,"Demographic and Health Survey, 2014-2015 - DHS15",2015,0.073,0.016,0.018,0.001,0.006,0.091,0.665,0.0,0.114,0.0,0.0,0.0,0.002,0.0,0.011,0.003,0.0,0.002,0.0,0.001,0.0,0.002,0.047,0.636,0.0,0.271,0.0,0.0,0.0,0.007,0.0,0.034,0.001,0.0,1.0,1.001
646,RWA,Rwanda,Malaria Indicator Survey - MIS17,2017,0.051,0.031,0.01,0.0,0.003,0.086,0.762,0.0,0.046,0.0,0.0,0.0,0.003,0.0,0.007,0.0,0.0,0.001,0.003,0.0,0.0,0.002,0.039,0.749,0.0,0.165,0.0,0.0,0.0,0.019,0.0,0.017,0.003,0.0,0.9990000000000001,0.9980000000000001
646,RWA,Rwanda,"Integrated Household Living Conditions Survey, 2016-2017 - EICV17",,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.021,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.843,0.0,0.112,0.0,0.0,0.0,0.0,0.0,0.042,0.002,0.0,0.909,0.999
646,RWA,Rwanda,"Integrated Household Living Conditions Survey, 2013-2014 - EICV14",,0.0,0.0,0.0,0.0,0.0,0.0,0.809,0.0,0.151,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.849,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.9960000000000001,0.914
