ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
686,SEN,Senegal,Multiple Indicator Cluster Survey - MICS00,2000,0.151,0.27,0.0,0.0,0.0,0.36,0.0,0.157,0.0,0.0,0.001,0.0,0.0,0.0,0.023,0.034,0.0,0.002,0.022,0.0,0.0,0.0,0.12,0.0,0.426,0.0,0.0,0.003,0.0,0.0,0.0,0.393,0.031,0.0,0.9960000000000001,0.997
686,SEN,Senegal,Census - CEN02,2002,0.176,0.407,0.0,0.0,0.0,0.0,0.0,0.358,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.015,0.0,0.009,0.107,0.0,0.0,0.0,0.0,0.0,0.462,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0.026,0.0,1.001,1.0
686,SEN,Senegal,Enquête Sénégalaise Auprès des Ménages - ESAM02,2002,0.162,0.489,0.0,0.0,0.0,0.031,0.128,0.085,0.0,0.0,0.034,0.0,0.0,0.0,0.047,0.016,0.008,0.002,0.052,0.0,0.0,0.0,0.019,0.189,0.31,0.0,0.0,0.013,0.0,0.0,0.0,0.313,0.09,0.012,1.0,1.0
686,SEN,Senegal,World Health Survey - WHS03,2003,0.361,0.402,0.0,0.0,0.0,0.0,0.071,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.016,0.0,0.058,0.174,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.312,0.026,0.0,0.148,0.174,0.0,0.204,0.0,0.009,0.059,0.0,0.045,0.994,1.131,0.0,0.002
686,SEN,Senegal,Demographic and Health Survey - DHS05,2005,0.183,0.472,0.0,0.0,0.0,0.0,0.093,0.204,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.006,0.004,0.123,0.0,0.0,0.0,0.0,0.1,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.403,0.0,0.005,0.999,1.0
686,SEN,Senegal,Malaria Indicator Survey - MIS06,2006,0.097,0.641,0.0,0.0,0.0,0.0,0.107,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.003,0.009,0.002,0.213,0.0,0.0,0.0,0.0,0.123,0.358,0.0,0.0,0.0,0.0,0.0,0.0,0.295,0.0,0.009,1.001,0.9999999999999999
686,SEN,Senegal,Enquête de suivi de la pauvreté - ESPS06,2006,0.091,0.382,0.0,0.0,0.0,0.071,0.179,0.184,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.032,0.0,0.016,0.108,0.0,0.0,0.0,0.021,0.117,0.339,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.061,0.0,0.9639999999999999,0.688
686,SEN,Senegal,Malaria Indicator Survey - MIS09,2009,0.186,0.589,0.048,0.001,0.004,0.034,0.035,0.0,0.061,0.002,0.001,0.0,0.001,0.0,0.035,0.001,0.003,0.009,0.22,0.067,0.0,0.003,0.063,0.064,0.0,0.234,0.005,0.0,0.0,0.001,0.0,0.328,0.001,0.006,1.001,1.001
686,SEN,Senegal,L’Enquête de Suivi de la Pauvreté au Sénégal - ESPS11,2011,0.274,0.535,0.0,0.0,0.0,0.023,0.084,0.0,0.049,0.0,0.014,0.0,0.0,0.0,0.005,0.016,0.0,0.015,0.21,0.0,0.0,0.0,0.062,0.139,0.0,0.228,0.0,0.023,0.0,0.0,0.003,0.254,0.068,0.0,1.0,1.002
686,SEN,Senegal,Measure DHS - DHS11,2011,0.23,0.248,0.0,0.0,0.0,0.054,0.27,0.109,0.0,0.0,0.0,0.0,0.0,0.069,0.02,0.001,0.0,0.008,0.084,0.0,0.0,0.0,0.049,0.179,0.329,0.0,0.0,0.0,0.0,0.0,0.024,0.328,0.0,0.0,1.001,1.0010000000000001
