ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
694,SLE,Sierra Leone,Multiple Indicator Cluster Survey - MICS00,,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.699,0.038,0.0,0.001,0.0,0.0,0.0,0.033,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.468,0.158,0.0,0.002,0.0,0.0,0.0,0.21,0.1,0.0,0.8450000000000001,0.991
694,SLE,Sierra Leone,INTEGRATED HOUSEHOLD SURVEY - IHS03,,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.859,0.495,0.0,0.0,0.002,0.0,0.0,0.0,0.022,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.401,0.0,0.0,0.006,0.0,0.0,0.0,0.378,0.022,0.0,0.158,0.0,0.0,0.002,0.559,0.0,0.0,0.008,0.364,1.773,1.546,0.0,0.0,0.005,0.0,0.0,0.007
694,SLE,Sierra Leone,Census - CEN04,,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.751,0.0,0.0,0.002,0.0,0.0,0.0,0.106,0.01,0.055,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.502,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.008,0.027,0.9390000000000001,0.9960000000000001
694,SLE,Sierra Leone,Multiple Indicator Cluster Survey - MICS05,2005,0.017,0.063,0.022,0.0,0.004,0.003,0.538,0.0,0.258,0.024,0.0,0.0,0.0,0.0,0.06,0.012,0.0,0.001,0.001,0.002,0.0,0.001,0.009,0.156,0.0,0.337,0.039,0.0,0.0,0.002,0.0,0.422,0.03,0.0,1.0010000000000001,1.0
694,SLE,Sierra Leone,Demographic and Health Survey - DHS08,2008,0.002,0.096,0.026,0.0,0.008,0.245,0.382,0.0,0.153,0.028,0.004,0.0,0.001,0.0,0.045,0.009,0.0,0.0,0.001,0.001,0.0,0.0,0.114,0.165,0.0,0.353,0.03,0.001,0.0,0.0,0.0,0.327,0.009,0.0,0.9990000000000001,1.001
694,SLE,Sierra Leone,Multiple Indicator Cluster Survey - MICS10,,0.0,0.0,0.0,0.0,0.0,0.028,0.431,0.0,0.243,0.009,0.0,0.0,0.0,0.0,0.153,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.291,0.0,0.286,0.028,0.0,0.0,0.0,0.0,0.352,0.009,0.0,0.883,0.991
694,SLE,Sierra Leone,Opportunities for Sanitation Marketing in Sierra Leone (OSM) - OSM11,2011,0.016,0.11,0.031,0.0,0.0,0.041,0.451,0.0,0.279,0.005,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.003,0.006,0.0,0.0,0.013,0.23,0.0,0.381,0.011,0.0,0.0,0.0,0.0,0.356,0.0,0.0,1.0,1.0
694,SLE,Sierra Leone,Malaria Indicator Survey - MIS13,2013,0.005,0.099,0.021,0.0,0.0,0.011,0.009,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.025,0.009,0.0,0.001,0.005,0.002,0.0,0.0,0.017,0.139,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.226,0.009,0.0,0.002,0.052,0.019,0.191,0.0,0.516,0.026,0.0,0.002,1.5569999999999997,1.211,0.142,0.545,0.0,0.251,0.029,0.001
694,SLE,Sierra Leone,Demographic and Health Survey - DHS13,2013,0.007,0.091,0.029,0.0,0.009,0.216,0.178,0.328,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.065,0.003,0.008,0.0,0.001,0.001,0.0,0.0,0.138,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.264,0.001,0.002,0.024,0.028,0.162,0.195,0.0,0.36,0.007,0.0,0.038,1.6269999999999998,1.3549999999999998,0.084,0.412,0.0,0.121,0.034,0.003
694,SLE,Sierra Leone,Census - CEN15,,0.0,0.0,0.0,0.0,0.0,0.033,0.016,0.0,0.544,0.0,0.0,0.004,0.0,0.0,0.0,0.031,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.526,0.0,0.0,0.001,0.0,0.0,0.0,0.208,0.023,0.0,0.006,0.0,0.207,0.0,0.0,0.001,0.02,0.0,0.733,1.6069999999999998,1.7399999999999998,0.0,0.0,0.002,0.017,0.0,0.2,0.0,0.0,0.001,0.0,0.745,0.0,0.0,0.005
694,SLE,Sierra Leone,Malaria Indicator Survey - MIS16,2016,0.012,0.097,0.053,0.0,0.008,0.046,0.556,0.0,0.126,0.019,0.008,0.0,0.005,0.0,0.07,0.001,0.0,0.003,0.006,0.002,0.0,0.0,0.015,0.283,0.0,0.375,0.048,0.002,0.0,0.014,0.0,0.253,0.0,0.0,1.001,1.001
694,SLE,Sierra Leone,Multiple Indicator Cluster Survey - MICS17,2017,0.024,0.114,0.052,0.006,0.015,0.097,0.447,0.0,0.164,0.029,0.003,0.0,0.001,0.0,0.04,0.008,0.001,0.001,0.006,0.009,0.0,0.0,0.02,0.237,0.0,0.408,0.035,0.002,0.0,0.002,0.0,0.277,0.002,0.0,1.0010000000000001,0.9990000000000001
