ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
688,SRB,Serbia,Living standards and measurement survey - LSMS07,2007,0.39,0.078,0.0,0.0,0.0,0.0,0.0,0.011,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.521,0.075,0.318,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.509,0.089,0.094,0.009,1.0110000000000001,1.0939999999999999
688,SRB,Serbia,Multiple Indicator Cluster Survey - MICS10,2010,0.855,0.13,0.001,0.003,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.175,0.706,0.012,0.0,0.031,0.006,0.067,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.019,0.9990000000000001
688,SRB,Serbia,Census - CEN11,2011,0.85,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.988,0.842
688,SRB,Serbia,Multiple Indicator Cluster Surveys - MICS14,2014,0.833,0.145,0.0,0.001,0.001,0.0,0.015,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.195,0.653,0.001,0.005,0.023,0.002,0.091,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.001,1.0,0.9990000000000001
688,SRB,Serbia,Eurostat SILC database - EUSILC13,2013,0.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098,0.0,1.0,1.0
688,SRB,Serbia,Eurostat SILC database - EUSILC15,2015,0.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087,0.0,1.0,1.0
688,SRB,Serbia,Living Standards Measurement Study (LSMS) - LSMS02,2002,0.746,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.251,0.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417,0.0,1.0,1.0
688,SRB,Serbia,Living Standards Measurement Study (LSMS) - LSMS03,2003,0.511,0.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203,0.0,0.45,0.327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,0.0,1.0010000000000001,1.0
688,SRB,Serbia,Multiple Indicator Cluster Survey - MICS06,2006,0.837,0.135,0.0,0.0,0.0,0.0,0.001,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.153,0.644,0.0,0.0,0.0,0.0,0.01,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,1.001,0.9990000000000001
688,SRB,Serbia,Eurostat SILC database - EUSILC14,2014,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,1.0,1.0
688,SRB,Serbia,Wastewater Discharged - WW15,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
688,SRB,Serbia,Wastewater Discharged - WW16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
