ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
764,THA,Thailand,National Census  - CEN00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.732,0.0,0.0,0.0,0.0,0.0,0.071,0.003,0.002,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.019,0.025,0.005,0.016,0.823,0.9650000000000001
764,THA,Thailand,Household Socio-Economic Survey - SES00,,0.0,0.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.002,0.0,0.696,0.965
764,THA,Thailand,Household Socio-Economic Survey - SES04,,0.0,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.002,0.0,0.776,0.9400000000000001
764,THA,Thailand,Multiple Indicator Cluster Survey - MICS06,2006,0.093,0.896,0.008,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.058,0.916,0.015,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,1.001,1.0
764,THA,Thailand,Household Socio-Economic Survey - SES06,,0.0,0.768,0.0,0.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.925,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.003,0.0,1.001,1.0010000000000001
764,THA,Thailand,Household Socio-Economic Survey - SES07,,0.0,0.76,0.0,0.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.925,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.001,0.0,1.0,1.0
764,THA,Thailand,Household Socio-Economic Survey - SES09,,0.0,0.722,0.0,0.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.0,0.0,0.929,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.001,0.0,1.0,1.001
764,THA,Thailand,Census - CEN10,,0.0,0.0,0.0,0.465,0.0,0.0,0.0,0.486,0.0,0.0,0.0,0.0,0.0,0.047,0.001,0.0,0.001,0.0,0.0,0.0,0.176,0.0,0.0,0.0,0.791,0.0,0.0,0.0,0.0,0.0,0.029,0.003,0.001,0.001,1.0,1.001
764,THA,Thailand,Household Socio-Economic Survey - SES11,,0.0,0.587,0.0,0.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.823,0.0,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.999,0.9999999999999999
764,THA,Thailand,Multiple Indicator Cluster Survey - MICS12,2012,0.087,0.902,0.007,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.946,0.018,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.0,0.999,1.0
764,THA,Thailand,Household Socio-Economic Survey - SES13,,0.0,0.512,0.0,0.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.763,0.0,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.001,0.0,0.999,1.0
764,THA,Thailand,Multiple Indicator Cluster Survey 2015-16 - MICS16,2016,0.108,0.866,0.021,0.0,0.003,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.052,0.896,0.046,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,1.0,0.9990000000000001
