ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
834,TZA,"Tanzania, United Republic of",Tanzania Household Budget Survey (HBS) - HBS00,,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.841,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.908,0.0,0.0,0.0,0.0,0.0,0.0,0.081,0.001,0.0,0.898,0.995
834,TZA,"Tanzania, United Republic of",Household Budget Survey - HBS01,,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.865,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.908,0.0,0.0,0.0,0.0,0.0,0.0,0.081,0.001,0.0,0.919,0.994
834,TZA,"Tanzania, United Republic of",Census - CEN02,,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.823,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.869,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.875,0.995
834,TZA,"Tanzania, United Republic of",HIV/Aids Indicator Survey - AIS03,,0.0,0.0,0.0,0.0,0.0,0.165,0.0,0.685,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.819,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.8640000000000001,0.99
834,TZA,"Tanzania, United Republic of",Demographic and Health Survey - DHS05,,0.0,0.0,0.0,0.0,0.0,0.121,0.0,0.767,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.912,0.996
834,TZA,"Tanzania, United Republic of",Tanzania Household Budget Survey (HBS) - HBS07,2007,0.073,0.0,0.0,0.0,0.0,0.114,0.0,0.79,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.001,0.0,0.01,0.0,0.0,0.0,0.0,0.022,0.0,0.873,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.002,0.0,0.873,1.789,1.873
834,TZA,"Tanzania, United Republic of",Aids Indicator Survey - AIS08,,0.0,0.0,0.0,0.0,0.0,0.114,0.0,0.691,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.769,0.0,0.0,0.0,0.0,0.0,0.0,0.205,0.0,0.0,0.835,0.991
834,TZA,"Tanzania, United Republic of",Living Standards Measurement Study (LSMS) 08-09 - LSMS09,,0.0,0.0,0.0,0.0,0.0,0.148,0.0,0.696,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.832,0.0,0.0,0.0,0.0,0.0,0.0,0.134,0.0,0.0,0.851,0.994
834,TZA,"Tanzania, United Republic of",Demographic and Health Survey - DHS10,2010,0.013,0.058,0.241,0.0,0.021,0.061,0.099,0.0,0.485,0.0,0.0,0.0,0.001,0.0,0.02,0.0,0.001,0.0,0.001,0.021,0.0,0.002,0.009,0.082,0.0,0.702,0.0,0.0,0.0,0.0,0.0,0.182,0.002,0.0,1.0,1.001
834,TZA,"Tanzania, United Republic of",Living Standards Measurement Study (LSMS) 10-11 - LSMS11,2011,0.07,0.0,0.0,0.0,0.0,0.064,0.353,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.013,0.08,0.708,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.793,0.976
