ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
858,URY,Uruguay,"Encuesta Nacional de Hogares Ampliada, Primer trimestre de 2006 - ENH06",2006,0.598,0.384,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.002,0.0,0.016,0.905,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.018,0.0,1.0,0.9990000000000001
858,URY,Uruguay,Encuesta continua de los hogares - ECH07,2007,0.599,0.382,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.004,0.0,0.008,0.866,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.038,0.0,1.0,1.0
858,URY,Uruguay,Encuesta continua de los hogares - ECH08,2008,0.613,0.37,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.003,0.0,0.009,0.889,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.029,0.0,1.001,1.0
858,URY,Uruguay,Encuesta Nacional de Hogares Ampliada - ENH09,2009,0.63,0.355,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.003,0.0,0.027,0.888,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.018,0.0,1.001,1.0
858,URY,Uruguay,Encuesta Nacional de Hogares Ampliada - ENH10,2010,0.587,0.397,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.003,0.0,0.012,0.9,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.021,0.0,1.0,1.0
858,URY,Uruguay,Censo 2010  - CEN10,2010,0.617,0.36,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.002,0.0,0.0,0.923,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.012,0.0,1.0,1.0010000000000001
858,URY,Uruguay,Encuesta Nacional de Hogares Ampliada - ENH11,2011,0.655,0.333,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.002,0.0,0.013,0.91,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.018,0.0,1.001,1.0010000000000001
858,URY,Uruguay,Encuesta continua de los hogares - ECH12,2012,0.66,0.329,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.001,0.0,0.012,0.92,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.018,0.0,1.0,1.0
858,URY,Uruguay,Encuesta continua de los hogares - ECH13,2013,0.639,0.348,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.002,0.0,0.005,0.951,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.014,0.0,1.0,1.0
858,URY,Uruguay,"Multiple Indicator Cluster Survey, 2012-2013 - MICS13",2013,0.588,0.395,0.002,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.005,0.001,0.003,0.149,0.827,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.001,0.011,0.0,1.001,1.0
858,URY,Uruguay,"Encuesta Continua de Hogares, 2014 - ECH14",2014,0.615,0.332,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.006,0.006,0.0,0.006,0.818,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0.008,0.024,0.0,0.9990000000000001,1.001
858,URY,Uruguay,"Encuesta Continua de Hogares, 2015 - ECH15",2015,0.624,0.33,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.005,0.005,0.0,0.008,0.836,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.008,0.022,0.0,0.999,1.001
858,URY,Uruguay,"Encuesta Continua de Hogares, 2016 - ECH16",2016,0.619,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.005,0.005,0.0,0.007,0.847,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117,0.006,0.019,0.0,0.9990000000000001,1.0
858,URY,Uruguay,"Encuesta Continua de Hogares, 2017 - ECH17",2017,0.63,0.325,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.004,0.005,0.0,0.011,0.868,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097,0.007,0.015,0.0,1.0010000000000001,1.0
