ISO1366,ISOalpha3,Country name,source,year,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,urban total,rural total
716,ZWE,Zimbabwe,World Health Survey - WHS03,2003,0.781,0.022,0.0,0.0,0.0,0.0,0.097,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.001,0.0,0.048,0.004,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.359,0.02,0.0,0.435,0.525,0.0,0.041,0.0,0.001,0.068,0.0,0.011,1.0779999999999998,1.5230000000000001,0.0,0.001
716,ZWE,Zimbabwe,Demographic and Health Survey - DHS05,2005,0.521,0.04,0.007,0.0,0.012,0.013,0.004,0.0,0.003,0.0,0.003,0.0,0.0,0.0,0.002,0.002,0.004,0.012,0.008,0.001,0.0,0.0,0.216,0.065,0.0,0.073,0.0,0.001,0.0,0.001,0.0,0.449,0.001,0.002,0.6110000000000001,0.8290000000000001
716,ZWE,Zimbabwe,Nutrition Surveillance Survey - NSS08,,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342,0.0,0.199,0.0,0.0,0.0,0.0,0.004,0.0,0.411,0.003,0.0,0.028,0.959
716,ZWE,Zimbabwe,Multiple Indicator Monitoring Survey (MIMS) - MIMS09,2009,0.852,0.058,0.009,0.0,0.007,0.017,0.036,0.0,0.009,0.0,0.001,0.0,0.0,0.0,0.01,0.002,0.0,0.011,0.013,0.001,0.0,0.0,0.236,0.171,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.477,0.002,0.0,1.0010000000000001,1.0
716,ZWE,Zimbabwe,Measure DHS - DHS11,2011,0.744,0.088,0.039,0.001,0.009,0.031,0.031,0.0,0.019,0.0,0.017,0.0,0.0,0.0,0.019,0.001,0.0,0.025,0.015,0.006,0.0,0.001,0.279,0.171,0.0,0.115,0.0,0.0,0.0,0.0,0.0,0.386,0.001,0.0,0.9990000000000001,0.999
716,ZWE,Zimbabwe,Labour Force and Child Labour Survey - LFCLS11,,0.0,0.0,0.0,0.0,0.0,0.022,0.03,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.264,0.129,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0.0,0.004,0.098,0.929
716,ZWE,Zimbabwe,Census - CEN12,,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.03,0.029,0.0,0.0,0.0,0.0,0.0,0.312,0.0,0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.366,0.04,0.045,0.157,0.9490000000000001
716,ZWE,Zimbabwe,Multiple indicator cluster survey - MICS14,2014,0.79,0.096,0.016,0.0,0.0,0.064,0.009,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.011,0.001,0.001,0.015,0.014,0.002,0.0,0.0,0.382,0.065,0.0,0.084,0.0,0.0,0.0,0.002,0.0,0.435,0.001,0.001,0.998,1.001
716,ZWE,Zimbabwe,"Demographic and Health Survey, 2015 - DHS15",2015,0.756,0.114,0.022,0.002,0.008,0.01,0.054,0.0,0.018,0.0,0.008,0.0,0.0,0.0,0.006,0.002,0.0,0.013,0.018,0.003,0.0,0.001,0.178,0.297,0.0,0.144,0.0,0.0,0.0,0.0,0.0,0.344,0.001,0.0,1.0,0.999
716,ZWE,Zimbabwe,Inter-censal Demographic Survey - ICEN17,2017,0.784,0.102,0.016,0.001,0.008,0.011,0.056,0.0,0.005,0.0,0.007,0.0,0.0,0.0,0.011,0.0,0.0,0.026,0.019,0.002,0.0,0.0,0.226,0.284,0.0,0.108,0.0,0.001,0.0,0.0,0.0,0.331,0.002,0.0,1.0010000000000001,0.9989999999999999
