gid,iso,subarea,hdi,population,fraction_urban_pop,fraction_pop_under5,sheddingRate_virus,shedding_duration_virus,incidence_urban_under5_virus,incidence_urban_5plus_virus,incidence_rural_under5_virus,incidence_rural_5plus_virus,sheddingRate_protozoa,shedding_duration_protozoa,incidence_urban_under5_protozoa,incidence_urban_5plus_protozoa,incidence_rural_under5_protozoa,incidence_rural_5plus_protozoa,flushSewer_urb,flushSeptic_urb,flushPit_urb,flushOpen_urb,flushUnknown_urb,pitSlab_urb,pitNoSlab_urb,compostingToilet_urb,bucketLatrine_urb,containerBased_urb,hangingToilet_urb,openDefecation_urb,other_urb,coverBury_urb,sewageTreated_urb,fecalSludgeTreated_urb,isWatertight_urb,hasLeach_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,twinPits_urb,onsiteDumpedland_urb,flushSewer_rur,flushSeptic_rur,flushPit_rur,flushOpen_rur,flushUnknown_rur,pitSlab_rur,pitNoSlab_rur,compostingToilet_rur,bucketLatrine_rur,containerBased_rur,hangingToilet_rur,openDefecation_rur,other_rur,coverBury_rur,sewageTreated_rur,fecalSludgeTreated_rur,isWatertight_rur,hasLeach_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,twinPits_rur,onsiteDumpedland_rur,FractionPrimarytreatment,FractionSecondarytreatment,FractionTertiarytreatment,FractionPonds,fRemoval_treatment_virus,fRemoval_treatment_protozoa,fEmitted_inEffluent_after_treatment_virus,fEmitted_inEffluent_after_treatment_protozoa,notes1,notes2,notes3
ABW,ABW,Aruba,NA,105670,0.43410618,0.056946968,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,0.146,0.824,0,0,0,0.013,0,0,0,NA,0,0.01,0.007,0,0.22,0.2,0,0,3,0,0,0,0.1,0.146,0.824,0,0,0,0.013,0,0,0,NA,0,0.01,0.007,0,0.22,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
AFG,AFG,Afghanistan,0.496,36373176,0.254948922,0.14571669,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.045,0.337,0.041,0.007,0,0.408,0.151,0,0,NA,0,0.005,0.004,0,0.029007909,0.2,0,0,3,0,0,0,0.1,0.006,0.01,0.003,0.001,0,0.419,0.34,0,0,NA,0,0.177,0.044,0.9,0.029286831,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,,,
AGO,AGO,Angola,0.574,30774205,0.655144073,0.176320719,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.117,0.756,0,0.04,0,0,0,0,0.004,NA,0,0.078,0.005,0,0.06655044,0.2,0,0,3,0,0,0,0.1,0.023,0.271,0,0.076,0,0,0,0,0.002,NA,0,0.628,0.001,0.9,0.213473758,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,,,
AIA,AIA,Anguilla,NA,15045,1,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,0,0,0,0,0,0.97,0,0,0,NA,0,0,0.03,0,0.22,0.2,0,0,3,0,0,0,0.1,0,0,0,0,0,0.97,0,0,0,NA,0,0,0.03,0,0.22,0,0,0,3,0,0,0,0.1,0.833333333,0.166666667,0,NA,0.783333333,0.566666667,0.20625,0.3575,,,"Rural sanitation technologies data was not available, so national data was used."
ALA,ALA,Åland Islands,NA,NA,NA,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Data,,
ALB,ALB,Albania,0.791,2934363,0.603188835,0.057779554,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.982,0,0,0,0,0.018,0,0,0,NA,0,0,0,0.0008206,0.4005493,0.0003355,0,0,3,0,0,0,0.1,0.852,0,0,0,0,0.148,0,0,0,NA,0,0,0.001,0.0097448,0.3802184,0.0039846,0,0,3,0,0,0,0.1,0.4,0.6,0,NA,0.87,0.74,0.112,0.182,,,
AND,AND,Andorra,0.857,76953,0.880615441,NA,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,3,0,0,0,0.1,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,3,0,0,0,0.1,0.06185567,0.577319588,0.360824742,NA,0.952061856,0.882474227,0.030876289,0.045051546,,,
ARE,ARE,United Arab Emirates,0.866,9541615,0.865224912,0.050466917,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0.783,0.201,0,0,0,0,0,0,0,NA,0,0,0.016,0,0.634541239,0.9,0,0,3,0,0,0,0.1,0.783,0.201,0,0,0,0,0,0,0,NA,0,0,0.016,0,0.634541239,0.9,0,0,3,0,0,0,0.1,0.443037975,0.46835443,0.088607595,NA,0.864936709,0.724556962,0.1195,0.19943038,,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
ARG,ARG,Argentina,0.83,44688864,0.918704646,0.082676994,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0.6055,0.24,0.131,0.0015,0,0.013,0,0,0,NA,0,0.009,0,0,0.46457105,0.9,0,0,3,0,0,0,0.1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0.463423016,0.9,0,0,3,0,0,0,0.1,0.784313725,0.215686275,0,NA,0.793137255,0.58627451,0.195588235,0.337647059,Urban Only,,"Rural sanitation technologies data was not available, so national data was used."
ARM,ARM,Armenia,0.76,2934152,0.631486372,0.069176785,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.961,0,0,0,0,0,0,0,0,NA,0,0,0.039,0.0026381,0.4487889,0.001195,0,0,3,0,0,0,0.1,0.203,0,0,0,0,0,0,0,0,NA,0,0,0.797,0.9,0.087567,0,0,0,3,0,0,0,0.1,0.457142857,0.542857143,0,NA,0.858571429,0.717142857,0.124428571,0.205142857,,,
