,ID,iso,iso3,country,name,population,fr_urban,excreted_urban,excreted_rural
1,1,AFG.1_1,AFG,Afghanistan,Badakhshan,4139221,0.930167649,1.41E+19,1.06E+18
2,2,AFG.2_1,AFG,Afghanistan,Badghis,9591130,0.989282608,3.46E+19,3.75E+17
3,3,AFG.3_1,AFG,Afghanistan,Baghlan,9534502,0.416710808,1.45E+19,2.03E+19
4,4,AFG.4_1,AFG,Afghanistan,Balkh,2168312,0.2663575,2.11E+18,5.81E+18
5,5,AFG.5_1,AFG,Afghanistan,Bamyan,3969991,0.522419679,7.57E+18,6.92E+18
6,6,AFG.6_1,AFG,Afghanistan,Daykundi,8322710,0.476987348,1.45E+19,1.59E+19
7,7,AFG.7_1,AFG,Afghanistan,Farah,5038660,0.893455272,1.64E+19,1.96E+18
8,8,AFG.8_1,AFG,Afghanistan,Faryab,5388269,0.450671476,8.86E+18,1.08E+19
9,9,AFG.9_1,AFG,Afghanistan,Ghazni,4749173,0.456456932,7.91E+18,9.42E+18
10,10,AFG.10_1,AFG,Afghanistan,Ghor,3784221,0.195274906,2.70E+18,1.11E+19
11,11,AFG.11_1,AFG,Afghanistan,Hilmand,6454354,0.118346042,2.79E+18,2.08E+19
12,12,AFG.12_1,AFG,Afghanistan,Hirat,7562075,0.263501665,7.27E+18,2.03E+19
13,13,AFG.13_1,AFG,Afghanistan,Jawzjan,6917378,0.826905498,2.09E+19,4.37E+18
14,14,AFG.14_1,AFG,Afghanistan,Kabul,4978228,0.011451315,2.08E+17,1.80E+19
15,15,AFG.15_1,AFG,Afghanistan,Kandahar,7334492,0.432924285,1.16E+19,1.52E+19
16,16,AFG.16_1,AFG,Afghanistan,Kapisa,8782782,0.744482012,2.39E+19,8.19E+18
17,17,AFG.17_1,AFG,Afghanistan,Khost,7987757,0.828311185,2.41E+19,5.01E+18
18,18,AFG.18_1,AFG,Afghanistan,Kunar,7036587,0.383980141,9.86E+18,1.58E+19
19,19,AFG.19_1,AFG,Afghanistan,Kunduz,5167569,0.106468817,2.01E+18,1.69E+19
20,20,AFG.20_1,AFG,Afghanistan,Laghman,6160992,0.621466036,1.40E+19,8.51E+18
21,21,AFG.21_1,AFG,Afghanistan,Logar,2932774,0.448987351,4.81E+18,5.90E+18
22,22,AFG.22_1,AFG,Afghanistan,Nangarhar,3093626,0.137876225,1.56E+18,9.73E+18
23,23,AFG.23_1,AFG,Afghanistan,Nimroz,2226960,0.874122958,7.11E+18,1.02E+18
24,24,AFG.24_1,AFG,Afghanistan,Nuristan,2954,0.663453074,7.15E+15,3.63E+15
25,25,AFG.25_1,AFG,Afghanistan,Paktika,6989792,0.677173043,1.73E+19,8.24E+18
26,26,AFG.26_1,AFG,Afghanistan,Paktya,5969324,0.876159659,1.91E+19,2.70E+18
27,27,AFG.27_1,AFG,Afghanistan,Panjshir,6631776,0.417675279,1.01E+19,1.41E+19
