GID,iso3,ID,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1
AFG.1_1,AFG,1,Badakhshan,Badahšan,,Velayat,Province,
AFG.2_1,AFG,2,Badghis,Badghes|Badghisat|Badgis,,Velayat,Province,
AFG.3_1,AFG,3,Baghlan,Baglan|Bughlan,,Velayat,Province,
AFG.4_1,AFG,4,Balkh,Balh|Mazar-i-Sharif|Mazar,,Velayat,Province,
AFG.5_1,AFG,5,Bamyan,,,Velayat,Province,
AFG.6_1,AFG,6,Daykundi,,,Velayat,Province,
AFG.7_1,AFG,7,Farah,,,Velayat,Province,
AFG.8_1,AFG,8,Faryab,Fariab|Maimana|Meymaneh,,Velayat,Province,
AFG.9_1,AFG,9,Ghazni,Gazni,,Velayat,Province,
AFG.10_1,AFG,10,Ghor,Gawr|Ghore|Ghour|Ghur,,Velayat,Province,
AFG.11_1,AFG,11,Hilmand,Girishk|Hilmend,,Velayat,Province,
AFG.12_1,AFG,12,Hirat,,,Velayat,Province,
AFG.13_1,AFG,13,Jawzjan,Jaozjan|Jozjan|Juzjan|Jouzjan|Shibarghan,,Velayat,Province,
AFG.14_1,AFG,14,Kabul,Cabul|Kabol|Kaboul,,Velayat,Province,
AFG.15_1,AFG,15,Kandahar,Qandahar,,Velayat,Province,
AFG.16_1,AFG,16,Kapisa,Kapesa,,Velayat,Province,
AFG.17_1,AFG,17,Khost,,,Velayat,Province,
AFG.18_1,AFG,18,Kunar,Konarha|Kunarha,,Velayat,Province,
AFG.19_1,AFG,19,Kunduz,Kondoz|Qonduz|Qunduz,,Velayat,Province,
AFG.20_1,AFG,20,Laghman,Lagman,,Velayat,Province,
AFG.21_1,AFG,21,Logar,Lawghar|Loghar,,Velayat,Province,
AFG.22_1,AFG,22,Nangarhar,Ningrahar|Eastern Province,,Velayat,Province,
AFG.23_1,AFG,23,Nimroz,Neemroze|Nimrod|Nimrooz|Nimroze|Chakhansur,,Velayat,Province,
AFG.24_1,AFG,24,Nuristan,Nooristan|Nuristão,,Velayat,Province,
AFG.25_1,AFG,25,Paktika,Paktiya|Paktya|Southern Province,,Velayat,Province,
AFG.26_1,AFG,26,Paktya,Paktiya|Southern Province,,Velayat,Province,
AFG.27_1,AFG,27,Panjshir,,,Velayat,Province,
AFG.28_1,AFG,28,Parwan,Charikar,,Velayat,Province,
AFG.29_1,AFG,29,Samangan,,,Velayat,Province,
AFG.30_1,AFG,30,Sari Pul,Sar-e Pul|Saripol,,Velayat,Province,
AFG.31_1,AFG,31,Takhar,Takar,,Velayat,Province,
AFG.32_1,AFG,32,Uruzgan,Urozgan,,Velayat,Province,
AFG.33_1,AFG,33,Wardak,Verdak|Wardag|Maiden,,Velayat,Province,
AFG.34_1,AFG,34,Zabul,Zubul|Zaboul,,Velayat,Province,
AGO.1_1,AGO,35,Bengo,,,Província,Province,1
AGO.2_1,AGO,36,Benguela,Benguella,,Província,Province,2
AGO.3_1,AGO,37,Bié,,,Província,Province,3
AGO.4_1,AGO,38,Cabinda,,,Província,Province,4
AGO.5_1,AGO,39,Cuando Cubango,,,Província,Province,5
AGO.6_1,AGO,40,Cuanza Norte,Cuanza-Nord|Kwanza Norte,,Província,Province,6
AGO.7_1,AGO,41,Cuanza Sul,Cuanza-Sud|Kwanza Sul,,Província,Province,7
AGO.8_1,AGO,42,Cunene,,,Província,Province,8
AGO.9_1,AGO,43,Huambo,,,Província,Province,9
AGO.10_1,AGO,44,Huíla,,,Província,Province,10
AGO.11_1,AGO,45,Luanda,Loanda,,Província,Province,11
AGO.12_1,AGO,46,Lunda Norte,,,Província,Province,12
AGO.13_1,AGO,47,Lunda Sul,,,Província,Province,13
AGO.14_1,AGO,48,Malanje,Malange,,Província,Province,14
AGO.15_1,AGO,49,Moxico,,,Província,Province,15
AGO.16_1,AGO,50,Namibe,Moçâmedes|Mossamedes,,Província,Province,16
AGO.17_1,AGO,51,Uíge,,,Província,Province,17
AGO.18_1,AGO,52,Zaire,,,Província,Province,18
ALA.1_1,ALA,53,Brändö,Braendoe,,Municipality,Municipality,
ALA.2_1,ALA,54,Eckerö,Eckeroe,,Municipality,Municipality,
ALA.3_1,ALA,55,Finström,Finstroem,,Municipality,Municipality,
ALA.4_1,ALA,56,Föglö,Foegloe,,Municipality,Municipality,
ALA.5_1,ALA,57,Geta,,,Municipality,Municipality,
ALA.6_1,ALA,58,Hammarland,,,Municipality,Municipality,
ALA.7_1,ALA,59,Jomala,,,Municipality,Municipality,
ALA.8_1,ALA,60,Kökar,Koekar,,Municipality,Municipality,
ALA.9_1,ALA,61,Kumlinge,,,Municipality,Municipality,
ALA.10_1,ALA,62,Lemland,,,Municipality,Municipality,
ALA.11_1,ALA,63,Lumparland,,,Municipality,Municipality,
ALA.12_1,ALA,64,Mariehamn,,,Municipality,Municipality,
ALA.13_1,ALA,65,Saltvik,,,Municipality,Municipality,
ALA.14_1,ALA,66,Sottunga,,,Municipality,Municipality,
ALA.15_1,ALA,67,Sund,,,Municipality,Municipality,
ALA.16_1,ALA,68,Vårdö,Vaardoe,,Municipality,Municipality,
ALB.1_1,ALB,69,Berat,,,Qark|Region,County,80001
ALB.2_1,ALB,70,Dibër,Dibra| Dibrë,,Qark|Region,County,80005
ALB.3_1,ALB,71,Durrës,Durresi|Durrsi|Durazzo,,Qark|Region,County,80009
ALB.4_1,ALB,72,Elbasan,,,Qark|Region,County,80012
ALB.5_1,ALB,73,Fier,,,Qark|Region,County,80017
ALB.6_1,ALB,74,Gjirokastër,Gjinokastër|Argirocastro|Argyrocastro|Argyrokastron,,Qark|Region,County,80021
ALB.7_1,ALB,75,Korçë,Coriza|Corizza|Koritsa|Koritza|Korça|Kortscha,,Qark|Region,County,80025
ALB.8_1,ALB,76,Kukës,Kosova|Kossovo,,Qark|Region,County,80030
ALB.9_1,ALB,77,Lezhë,Alessio|Lezha,,Qark|Region,County,80034
ALB.10_1,ALB,78,Shkodër,Escútari|Shkodra|Skodë|Scutari,,Qark|Region,County,80038
ALB.11_1,ALB,79,Tiranë,Tiran|Tirana,,Qark|Region,County,80042
