sanitation_facility,category
Public toilet,other
chasse d'eau avec egouts ou avec fosse sceptique,flushUnknown
chasse eau avec egouts ou fosse,flushUnknown
Inodoro con alcantarillado/pozo séptico,flushUnknown
flush toilet shared,flushUnknown
flush toilet private,flushUnknown
Private toilet,other
Share toilet,other
..Modern flush toilet,flushUnknown
..Traditional with tank flush,flushUnknown
..Traditional with bucket flush,flushUnknown
modern flush toilet,flushUnknown
traditional tank flush,flushUnknown
traditional bucket flush,flushUnknown
Modern flush,flushUnknown
Modern flush toilets,flushUnknown
W.C.,flushUnknown
"Public toilet (WC,KVIP,Pit,Pan, etc)",other
flush to sewage system/septic tank,flushUnknown
"Rios, ribeiros e linha de água",openDefecation
Sistema de esgoto ou fossa séptica,flushUnknown
Latrine with siphon,flushUnknown
w.c,flushUnknown
flush to sewage system or septic tank,flushUnknown
Retrete sem autoclismo Sistema de esgoto geral,other
Excusado o letrina,pitSlab
Descarga para o sist.de esgoto ou fossa,flushUnknown
Bucket,bucketLatrine
Bucket toilet,bucketLatrine
balde,bucketLatrine
Bucket/potty/other container,bucketLatrine
seau,bucketLatrine
Seaux,bucketLatrine
Seaux/tinettes,bucketLatrine
Seaux / Tinettes,bucketLatrine
Sceau,bucketLatrine
Bacinilla,bucketLatrine
Cubeta,bucketLatrine
"Bucket, pan",bucketLatrine
Bucket/pan toilet,bucketLatrine
Bucket/Pan,bucketLatrine
Mobile latrine,bucketLatrine
Pots de champbre,bucketLatrine
Baldes,bucketLatrine
Composting toilet,compostingToilet
Single vault,compostingToilet
Eco sanitation,compostingToilet
Traditional dry vault,compostingToilet
Single/double vault - with urine diversion,compostingToilet
latrina seca/latrina com descarga manual,compostingToilet
Toilettes a compostage,compostingToilet
Toilettes à compostage/Ecocendre,compostingToilet
Toilettes à compostage,compostingToilet
Toilettes à compostage / EcoSan,compostingToilet
Inodoro de compostaje,compostingToilet
Latrine with composting facility,compostingToilet
Letrina Abonero,compostingToilet
Excusado de compostaje,compostingToilet
Toilettes ? compostage,compostingToilet
Letrina de compostaje,compostingToilet
Letrina abonera,compostingToilet
31,compostingToilet
Composting toilet/ecosan,compostingToilet
Ecosan,compostingToilet
Composting toilet / ECOSAN,compostingToilet
Composting toilet/Arbo loo,compostingToilet
composite toilet,compostingToilet
Double vault,compostingTwinSlab
directo ao rio mar ou lago,flushOpen
"vala negra, aberta",flushOpen
Inside yard: Latrine to open pit (ditch or river),flushOpen
Out of yard: Flush to open pit (ditch or river),flushOpen
Out of yard: Latrine to open pit (ditch or river),flushOpen
Inside yard: Flush to open pit (ditch or river),flushOpen
Indoors: Flush to open pit (ditch or river),flushOpen
Surface water (street/stream),flushOpen
4. A la superficie(calle/quebrada/río)?,flushOpen
Reliée à autre chose,flushOpen
"Toilet to creek, open space",flushOpen
toilet connected to plot/yard,flushOpen
"Inodoro con salida directa a acequia, zanja, río o estero",flushOpen
"Inodoro con descarga a río, cañada u otro",flushOpen
Flust to pipe connected to canal,flushOpen
Flush to pipe connected to canal,flushOpen
Valas a céu aberto,flushOpen
Casa de banho ligado a canal de drenagem,flushOpen
"Inodoro con desague a rio, laguna, mar",flushOpen
Letrina con descarga a rio laguna o mar,flushOpen
" Inodoro con descarga a rio, laguna o mar",flushOpen
" Inodoro con desague a rio, laguna o mar",flushOpen
Flush toilet with connection to open water,flushOpen
Latrine with connection to open water,flushOpen
FLUSH / POUR FLUSH: FLUSH TO OPEN DRAIN,flushOpen
Flush toilet (sink-sumidero),flushOpen
Flush toilet (rain water sewer),flushOpen
Flush toilet (rivers),flushOpen
"Servicio con conexión al mar, río o quebrada u otro lugar circundante",flushOpen
"Arrastre de agua en superficie de la tierra,zanja,arroyo...",flushOpen
"Con arrastre de agua en la superf. de la tierra, zanja, arro",flushOpen
"Con arrastre de agua en la superficie de la tierra,zanja,arroyo...",flushOpen
Flush - to pit latrine,flushPit
Flush to pit (latrine),flushPit
Flush to pit latrine,flushPit
Flush/pour flush toilet to pit,flushPit
Flush/pour toilet to septic tank/pit,flushPit
"com fosse de esgotos (pia,sanita)",flushPit
com fossa septica e poco roto,flushPit
Chasse reliée à des latrines,flushPit
Chasse branchee a latrines,flushPit
water sealed/slab latrine,flushPit
Pit toilet,flushPit
3. A un pozo ciego/absorción?,flushPit
Flush to well/pit (latrine),flushPit
latrines a evacuation,flushPit
Chasse branchée a puits perdu,flushPit
Chasse branchee aux latrines,flushPit
Reliée à des latrines,flushPit
Toilet to pit,flushPit
"Letrina (pozo negro, hueco con descarga de agua)",flushPit
Inodoro conectado a pozo séptico,flushPit
Flush to pipe connected to ground water,flushPit
Flush to vault (Bayara),flushPit
flush toilet piped to pit (latrine),flushPit
pour flush latrine,flushPit
Latrina com descarga de água,flushPit
Pozo negro,flushPit
Letrina con pozo septico,flushPit
Letrina con cierre hidraulico,flushPit
Letrina con pozo negro,flushPit
 Letrina con cierre hidraulico,flushPit
 Letrina con pozo negro,flushPit
