ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
ALB,Albania,total,Sanitation,2017,0.18177,5326.08715,Faecal sludge treated
ALB,Albania,rural,Sanitation,2017,0.39846,4742.27131,Faecal sludge treated
ALB,Albania,urban,Sanitation,2017,0.03355,583.81592,Faecal sludge treated
ALB,Albania,total,Sanitation,2017,0.44453,13025.67193,Disposed insitu
ALB,Albania,rural,Sanitation,2017,0.97448,11597.87074,Disposed insitu
ALB,Albania,urban,Sanitation,2017,0.08206,1427.80139,Disposed insitu
ALB,Albania,total,Sanitation,2017,39.22915,1149487.46385,Sewage treated
ALB,Albania,rural,Sanitation,2017,38.02184,452518.48746,Sewage treated
ALB,Albania,urban,Sanitation,2017,40.05493,696968.97593,Sewage treated
AND,Andorra,total,Sanitation,2017,0,0,Faecal sludge treated
AND,Andorra,rural,Sanitation,2017,0,0,Faecal sludge treated
AND,Andorra,urban,Sanitation,2017,0,0,Faecal sludge treated
AND,Andorra,total,Sanitation,2017,0,0,Disposed insitu
AND,Andorra,rural,Sanitation,2017,0,0,Disposed insitu
AND,Andorra,urban,Sanitation,2017,0,0,Disposed insitu
AND,Andorra,total,Sanitation,2017,100,76964.99714,Sewage treated
AND,Andorra,rural,Sanitation,2017,100,9120.35133,Sewage treated
AND,Andorra,urban,Sanitation,2017,100,67844.64867,Sewage treated
ARE,United Arab Emirates,total,Sanitation,2017,3.03191,285004.18082,Faecal sludge treated
ARE,United Arab Emirates,total,Sanitation,2017,3.03244,285053.84958,Disposed insitu
ARE,United Arab Emirates,total,Sanitation,2017,90.21567,8480403.91908,Sewage treated
ARM,Armenia,total,Sanitation,2017,5.23292,153347.9906,Faecal sludge treated
ARM,Armenia,urban,Sanitation,2017,0.1195,2209.70994,Faecal sludge treated
ARM,Armenia,total,Sanitation,2017,11.55283,338549.89137,Disposed insitu
ARM,Armenia,urban,Sanitation,2017,0.26381,4878.42755,Disposed insitu
ARM,Armenia,total,Sanitation,2017,31.55089,924583.01796,Sewage treated
ARM,Armenia,rural,Sanitation,2017,8.7567,94681.63131,Sewage treated
ARM,Armenia,urban,Sanitation,2017,44.87889,829901.36757,Sewage treated
ASM,American Samoa,total,Sanitation,2017,22.8417,12709.34956,Sewage treated
AUS,Australia,total,Sanitation,2017,2.28782,559384.58533,Faecal sludge treated
AUS,Australia,total,Sanitation,2017,2.87279,702412.77698,Disposed insitu
AUS,Australia,total,Sanitation,2017,70.47926,17232574.821,Sewage treated
AUT,Austria,total,Sanitation,2017,2.13207,186245.68649,Faecal sludge treated
AUT,Austria,rural,Sanitation,2017,3.98666,145938.81342,Faecal sludge treated
AUT,Austria,urban,Sanitation,2017,0.79426,40306.87693,Faecal sludge treated
AUT,Austria,total,Sanitation,2017,2.13207,186245.68649,Disposed insitu
AUT,Austria,rural,Sanitation,2017,3.98666,145938.81342,Disposed insitu
AUT,Austria,urban,Sanitation,2017,0.79426,40306.87693,Disposed insitu
AUT,Austria,total,Sanitation,2017,92.4826,8078774.47854,Sewage treated
AUT,Austria,rural,Sanitation,2017,84.32809,3086980.463,Sewage treated
AUT,Austria,urban,Sanitation,2017,98.36485,4991793.99855,Sewage treated
AZE,Azerbaijan,urban,Sanitation,2017,15.37024,835969.38155,Faecal sludge treated
AZE,Azerbaijan,urban,Sanitation,2017,16.15892,878864.82873,Disposed insitu
AZE,Azerbaijan,total,Sanitation,2017,36.1191,3549636.60821,Sewage treated
AZE,Azerbaijan,rural,Sanitation,2017,5.68499,249497.59558,Sewage treated
AZE,Azerbaijan,urban,Sanitation,2017,60.67679,3300139.0322,Sewage treated
BEL,Belgium,total,Sanitation,2017,1.19294,136345.00454,Faecal sludge treated
BEL,Belgium,total,Sanitation,2017,1.19294,136345.00454,Disposed insitu
BEL,Belgium,total,Sanitation,2017,94.7143,10825216.07533,Sewage treated
BGD,Bangladesh,rural,Sanitation,2017,0,0,Faecal sludge treated
BGD,Bangladesh,rural,Sanitation,2017,32.28791,34103281.79196,Disposed insitu
BGD,Bangladesh,rural,Sanitation,2017,0.05147,54365.88694,Sewage treated
BGR,Bulgaria,total,Sanitation,2017,4.08601,289476.13191,Faecal sludge treated
BGR,Bulgaria,urban,Sanitation,2017,2.37189,125472.708,Faecal sludge treated
BGR,Bulgaria,total,Sanitation,2017,4.89597,346858.25252,Disposed insitu
BGR,Bulgaria,urban,Sanitation,2017,2.84207,150344.84518,Disposed insitu
BGR,Bulgaria,total,Sanitation,2017,55.86362,3957697.76044,Sewage treated
BGR,Bulgaria,rural,Sanitation,2017,21.03158,377431.23731,Sewage treated
BGR,Bulgaria,urban,Sanitation,2017,67.68018,3580266.54789,Sewage treated
BHR,Bahrain,total,Sanitation,2017,2.44482,36491.06637,Faecal sludge treated
BHR,Bahrain,total,Sanitation,2017,2.44482,36491.06637,Disposed insitu
BHR,Bahrain,total,Sanitation,2017,91.11035,1359898.50725,Sewage treated
BIH,Bosnia and Herzegovina,total,Sanitation,2017,1.3176,46208.46391,Faecal sludge treated
BIH,Bosnia and Herzegovina,urban,Sanitation,2017,0.33036,5546.77203,Faecal sludge treated
BIH,Bosnia and Herzegovina,total,Sanitation,2017,15.5929,546845.7268,Disposed insitu
BIH,Bosnia and Herzegovina,urban,Sanitation,2017,3.90956,65642.27259,Disposed insitu
BIH,Bosnia and Herzegovina,total,Sanitation,2017,4.64413,162870.29178,Sewage treated
BIH,Bosnia and Herzegovina,rural,Sanitation,2017,2.45008,44787.45,Sewage treated
BIH,Bosnia and Herzegovina,urban,Sanitation,2017,7.03285,118082.83955,Sewage treated
