id,microbial_group,indicator_or_pathogen,microorganism_common_name,units,molecular_or_culture,authors,bib_id,location_comment,location,country,matrix,technology,year_published,initial_concentration,final_concentration ,light_conditions,temperature_celsius,light_intensity_watts_per_square_meter,pH,moisture_content_percent,additive,experiment_id,time_days,log10_reduction,imputed
1,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,1.07E+06,Dark,15,0,6.67,NA,NA,1,0.13,0.03,pH
2,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,1.03E+06,Dark,15,0,5.93,NA,NA,1,0.29,0.01,pH
3,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,1.01E+06,Dark,15,0,6.67,NA,NA,1,0.5,0,pH
4,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.75E+05,Dark,15,0,6.67,NA,NA,1,0.67,-0.01,pH
5,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.67E+05,Dark,15,0,6.67,NA,NA,1,0.83,-0.01,pH
6,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.30E+05,Dark,15,0,5.93,NA,NA,1,0.96,-0.03,pH
7,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.30E+05,Dark,15,0,5.93,NA,NA,1,1.25,-0.08,pH
8,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.69E+05,Dark,15,0,6.67,NA,NA,1,1.42,-0.06,pH
9,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.55E+05,Dark,15,0,5.93,NA,NA,1,1.58,-0.07,pH
10,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.69E+05,Dark,15,0,6.67,NA,NA,1,1.75,-0.06,pH
11,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.36E+05,Dark,15,0,5.93,NA,NA,1,1.88,-0.08,pH
12,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,7.83E+05,Dark,15,0,5.93,NA,NA,1,2,-0.11,pH
13,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.16E+05,Dark,15,0,6.67,NA,NA,1,2.17,0.09,pH
14,Bacteria,Pathogen,Salmonella enterica Heidelberg,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.44E+05,Dark,15,0,6.67,NA,NA,2,0.13,0.02,pH
15,Bacteria,Pathogen,Salmonella enterica Heidelberg,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.69E+05,Dark,15,0,6.67,NA,NA,2,0.25,0.06,pH
16,Bacteria,Pathogen,Salmonella enterica Heidelberg,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.64E+05,Dark,15,0,5.93,NA,NA,2,0.42,0.06,pH
17,Bacteria,Pathogen,Salmonella enterica Heidelberg,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.47E+05,Dark,15,0,5.93,NA,NA,2,0.58,0.07,pH
18,Bacteria,Pathogen,Salmonella enterica Heidelberg,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.81E+05,Dark,15,0,6.67,NA,NA,2,0.71,0.01,pH
19,Bacteria,Pathogen,Salmonella enterica Heidelberg,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.61E+05,Dark,15,0,5.93,NA,NA,2,0.88,0.02,pH
20,Bacteria,Pathogen,Salmonella enterica Heidelberg,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,1.07E+06,Dark,15,0,6.67,NA,NA,2,1,-0.03,pH
21,Bacteria,Pathogen,Salmonella enterica Heidelberg,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.47E+05,Dark,15,0,6.67,NA,NA,2,1.29,0.02,pH
22,Bacteria,Pathogen,Salmonella enterica Heidelberg,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.69E+05,Dark,15,0,5.93,NA,NA,2,1.46,0.06,pH
23,Bacteria,Pathogen,Salmonella enterica Heidelberg,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.55E+05,Dark,15,0,6.67,NA,NA,2,1.58,0.07,pH
24,Bacteria,Pathogen,Salmonella enterica Heidelberg,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.69E+05,Dark,15,0,6.67,NA,NA,2,1.75,0.06,pH
25,Bacteria,Pathogen,Salmonella enterica Heidelberg,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.80E+05,Dark,15,0,6.67,NA,NA,2,1.88,0.06,pH
26,Bacteria,Pathogen,Salmonella enterica Heidelberg,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.61E+05,Dark,15,0,5.93,NA,NA,2,2,0.07,pH
27,Bacteria,Pathogen,Salmonella enterica Heidelberg,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.41E+05,Dark,15,0,6.67,NA,NA,2,2.17,0.08,pH
28,Bacteria,Pathogen,Salmonella enterica Mbandaka,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,1.02E+06,Dark,15,0,6.67,NA,NA,3,0.13,-0.01,pH
29,Bacteria,Pathogen,Salmonella enterica Mbandaka,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.97E+05,Dark,15,0,6.67,NA,NA,3,0.29,0.05,pH
30,Bacteria,Pathogen,Salmonella enterica Mbandaka,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.47E+05,Dark,15,0,6.67,NA,NA,3,0.5,0.07,pH
31,Bacteria,Pathogen,Salmonella enterica Mbandaka,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.19E+05,Dark,15,0,6.67,NA,NA,3,0.67,0.04,pH
32,Bacteria,Pathogen,Salmonella enterica Mbandaka,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.64E+05,Dark,15,0,6.67,NA,NA,3,0.96,0.02,pH
33,Bacteria,Pathogen,Salmonella enterica Mbandaka,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.53E+05,Dark,15,0,6.67,NA,NA,3,1.13,0.02,pH
34,Bacteria,Pathogen,Salmonella enterica Mbandaka,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.77E+05,Dark,15,0,5.93,NA,NA,3,1.25,0.06,pH
35,Bacteria,Pathogen,Salmonella enterica Mbandaka,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.61E+05,Dark,15,0,5.93,NA,NA,3,1.42,0.02,pH
36,Bacteria,Pathogen,Salmonella enterica Mbandaka,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.91E+05,Dark,15,0,5.93,NA,NA,3,1.58,0.05,pH
37,Bacteria,Pathogen,Salmonella enterica Mbandaka,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.28E+05,Dark,15,0,5.93,NA,NA,3,1.75,0.03,pH
38,Bacteria,Pathogen,Salmonella enterica Mbandaka,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,7.91E+05,Dark,15,0,6.67,NA,NA,3,1.88,0.1,pH
39,Bacteria,Pathogen,Salmonella enterica Mbandaka,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.25E+05,Dark,15,0,6.67,NA,NA,3,2,0.08,pH
40,Bacteria,Pathogen,Salmonella enterica Mbandaka,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.77E+05,Dark,15,0,5.93,NA,NA,3,2.17,0.06,pH
41,Bacteria,Pathogen,Salmonella enterica Typhimurium ST19,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.28E+05,Dark,15,0,6.67,NA,NA,4,0.08,0.03,pH
42,Bacteria,Pathogen,Salmonella enterica Typhimurium ST19,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.64E+05,Dark,15,0,6.67,NA,NA,4,0.25,0.06,pH
43,Bacteria,Pathogen,Salmonella enterica Typhimurium ST19,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.67E+05,Dark,15,0,6.67,NA,NA,4,0.42,0.01,pH
44,Bacteria,Pathogen,Salmonella enterica Typhimurium ST19,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.97E+05,Dark,15,0,6.67,NA,NA,4,0.58,0.05,pH
45,Bacteria,Pathogen,Salmonella enterica Typhimurium ST19,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.22E+05,Dark,15,0,6.67,NA,NA,4,0.71,0.04,pH
46,Bacteria,Pathogen,Salmonella enterica Typhimurium ST19,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.81E+05,Dark,15,0,6.67,NA,NA,4,0.88,0.01,pH
47,Bacteria,Pathogen,Salmonella enterica Typhimurium ST19,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.91E+05,Dark,15,0,5.93,NA,NA,4,1,0.05,pH
48,Bacteria,Pathogen,Salmonella enterica Typhimurium ST19,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.97E+05,Dark,15,0,5.93,NA,NA,4,1.17,0.05,pH
49,Bacteria,Pathogen,Salmonella enterica Typhimurium ST19,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,7.91E+05,Dark,15,0,6.67,NA,NA,4,1.29,0.1,pH
50,Bacteria,Pathogen,Salmonella enterica Typhimurium ST19,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,5.27E+05,Dark,15,0,5.93,NA,NA,4,1.46,0.28,pH
51,Bacteria,Pathogen,Salmonella enterica Typhimurium ST19,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.33E+05,Dark,15,0,5.93,NA,NA,4,1.58,0.08,pH
52,Bacteria,Pathogen,Salmonella enterica Typhimurium ST19,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.05E+05,Dark,15,0,5.93,NA,NA,4,1.75,0.09,pH
53,Bacteria,Pathogen,Salmonella enterica Typhimurium ST19,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.11E+05,Dark,15,0,6.67,NA,NA,4,1.88,0.09,pH
54,Bacteria,Pathogen,Salmonella enterica Typhimurium ST19,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.02E+05,Dark,15,0,5.93,NA,NA,4,2,0.1,pH
55,Bacteria,Pathogen,Salmonella enterica Typhimurium ST19,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,7.86E+05,Dark,15,0,6.67,NA,NA,4,2.17,0.1,pH
56,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.65E+05,Light,15,400,6.67,NA,NA,5,0.01,0.02,pH
57,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.59E+05,Light,15,400,6.67,NA,NA,5,0.01,0.02,pH
58,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.84E+05,Light,15,400,5.93,NA,NA,5,0.01,0.05,pH
59,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.35E+05,Light,15,400,5.93,NA,NA,5,0.01,0.03,pH
60,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.24E+05,Light,15,400,6.67,NA,NA,5,0.02,0.03,pH
61,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.54E+05,Light,15,400,6.67,NA,NA,5,0.02,0.02,pH
62,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.00E+05,Light,15,400,5.93,NA,NA,5,0.03,0.05,pH
63,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.30E+05,Light,15,400,6.67,NA,NA,5,0.03,0.03,pH
64,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.81E+05,Light,15,400,6.67,NA,NA,5,0.04,0.05,pH
65,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.89E+05,Light,15,400,6.67,NA,NA,5,0.04,0.05,pH
66,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.14E+05,Light,15,400,5.93,NA,NA,5,0.04,0.04,pH
67,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.46E+05,Light,15,400,6.67,NA,NA,5,0.04,0.07,pH
68,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.27E+05,Light,15,400,6.67,NA,NA,5,0.05,0.08,pH
69,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.30E+05,Light,15,400,6.67,NA,NA,5,0.05,0.08,pH
70,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,7.03E+05,Light,15,400,6.67,NA,NA,5,0.06,0.15,pH
71,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,7.32E+05,Light,15,400,5.93,NA,NA,5,0.06,0.14,pH
72,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,7.81E+05,Light,15,400,6.67,NA,NA,5,0.06,0.11,pH
73,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,6.11E+05,Light,15,400,6.67,NA,NA,5,0.06,0.21,pH
74,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,6.57E+05,Light,15,400,5.93,NA,NA,5,0.07,0.18,pH
75,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,5.81E+05,Light,15,400,5.93,NA,NA,5,0.07,0.24,pH
76,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,5.62E+05,Light,15,400,6.67,NA,NA,5,0.07,0.25,pH
