id,microbial_group,indicator_or_pathogen,microorganism_common_name,units,molecular_or_culture,authors,bib_id,location_comment,location,country,matrix,technology,year_published,initial_concentration,final_concentration ,light_conditions,temperature_celsius,light_intensity_watts_per_square_meter,pH,moisture_content_percent,urine,additive,urea,experiment_id,nh3_mg_L,time_days,log10_reduction,imputed,comments
1,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,1.07E+06,Dark,15,0,6.67,0,NA,None ,None,1,,0.13,0.03,pH,
2,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,1.03E+06,Dark,15,0,5.93,0,NA,None ,None,1,,0.29,0.01,pH,
3,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,1.01E+06,Dark,15,0,6.67,0,NA,None ,None,1,,0.5,0,pH,
4,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.75E+05,Dark,15,0,6.67,0,NA,None ,None,1,,0.67,-0.01,pH,
5,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.67E+05,Dark,15,0,6.67,0,NA,None ,None,1,,0.83,-0.01,pH,
6,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.30E+05,Dark,15,0,5.93,0,NA,None ,None,1,,0.96,-0.03,pH,
7,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.30E+05,Dark,15,0,5.93,0,NA,None ,None,1,,1.25,-0.08,pH,
8,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.69E+05,Dark,15,0,6.67,0,NA,None ,None,1,,1.42,-0.06,pH,
9,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.55E+05,Dark,15,0,5.93,0,NA,None ,None,1,,1.58,-0.07,pH,
10,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.69E+05,Dark,15,0,6.67,0,NA,None ,None,1,,1.75,-0.06,pH,
11,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.36E+05,Dark,15,0,5.93,0,NA,None ,None,1,,1.88,-0.08,pH,
12,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,7.83E+05,Dark,15,0,5.93,0,NA,None ,None,1,,2,-0.11,pH,
13,Bacteria,Pathogen,Salmonella enterica Typhimurium LT2,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.16E+05,Dark,15,0,6.67,0,NA,None ,None,1,,2.17,0.09,pH,
14,Bacteria,Pathogen,Salmonella enterica Heidelberg,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.44E+05,Dark,15,0,6.67,0,NA,None ,None,2,,0.13,0.02,pH,
15,Bacteria,Pathogen,Salmonella enterica Heidelberg,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.69E+05,Dark,15,0,6.67,0,NA,None ,None,2,,0.25,0.06,pH,
16,Bacteria,Pathogen,Salmonella enterica Heidelberg,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.64E+05,Dark,15,0,5.93,0,NA,None ,None,2,,0.42,0.06,pH,
17,Bacteria,Pathogen,Salmonella enterica Heidelberg,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,8.47E+05,Dark,15,0,5.93,0,NA,None ,None,2,,0.58,0.07,pH,
18,Bacteria,Pathogen,Salmonella enterica Heidelberg,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.81E+05,Dark,15,0,6.67,0,NA,None ,None,2,,0.71,0.01,pH,
19,Bacteria,Pathogen,Salmonella enterica Heidelberg,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.61E+05,Dark,15,0,5.93,0,NA,None ,None,2,,0.88,0.02,pH,
20,Bacteria,Pathogen,Salmonella enterica Heidelberg,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,1.07E+06,Dark,15,0,6.67,0,NA,None ,None,2,,1,-0.03,pH,
21,Bacteria,Pathogen,Salmonella enterica Heidelberg,,Culture,Boehm et al. (2012),7187,Laboratory-based study,"Stanford, California",United States,Freshwater,None,2012,1.00E+06,9.47E+05,Dark,15,0,6.67,0,NA,None ,None,2,,1.29,0.02,pH,
