country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Afghanistan,AF,AFG,004,Urban,1,Flush and pour flush - to piped sewer system,0.082,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Urban,2,Flush and pour flush - to septic tank,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Urban,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Urban,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Urban,8,Dry latrines - Traditional latrine,0.72,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.065,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Urban,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Urban,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Urban,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Urban,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Urban,15,"No facility, bush, field",0.128,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Urban,16,Other unimproved,0.005,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Urban,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Rural,1,Flush and pour flush - to piped sewer system,0.004,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Rural,2,Flush and pour flush - to septic tank,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Rural,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Rural,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Rural,8,Dry latrines - Traditional latrine,0.512,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.062,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Rural,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Rural,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Rural,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Rural,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Rural,15,"No facility, bush, field",0.392,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Rural,16,Other unimproved,0.03,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Rural,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,National,1,Flush and pour flush - to piped sewer system,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,National,2,Flush and pour flush - to septic tank,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,National,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,National,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,National,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,National,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,National,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,National,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,National,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,National,15,"No facility, bush, field",0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,National,16,Other unimproved,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,National,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS03
Afghanistan,AF,AFG,004,Urban,1,Flush and pour flush - to piped sewer system,0.0,National Risk & Vulnerability Survey - NRVS05
Afghanistan,AF,AFG,004,Urban,2,Flush and pour flush - to septic tank,0.0,National Risk & Vulnerability Survey - NRVS05
