country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Angola,AO,AGO,024,Urban,1,Flush and pour flush - to piped sewer system,0.185,Multiple Indicator Cluster Survey - MICS01
Angola,AO,AGO,024,Urban,2,Flush and pour flush - to septic tank,0.112,Multiple Indicator Cluster Survey - MICS01
Angola,AO,AGO,024,Urban,3,Flush and pour flush - to pit,0.096,Multiple Indicator Cluster Survey - MICS01
Angola,AO,AGO,024,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS01
Angola,AO,AGO,024,Urban,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS01
Angola,AO,AGO,024,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Survey - MICS01
Angola,AO,AGO,024,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Survey - MICS01
Angola,AO,AGO,024,Urban,8,Dry latrines - Traditional latrine,0.348,Multiple Indicator Cluster Survey - MICS01
Angola,AO,AGO,024,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.01,Multiple Indicator Cluster Survey - MICS01
Angola,AO,AGO,024,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS01
Angola,AO,AGO,024,Urban,11,Dry latrines - Bucket latrine,0.003,Multiple Indicator Cluster Survey - MICS01
Angola,AO,AGO,024,Urban,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS01
Angola,AO,AGO,024,Urban,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS01
Angola,AO,AGO,024,Urban,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS01
Angola,AO,AGO,024,Urban,15,"No facility, bush, field",0.242,Multiple Indicator Cluster Survey - MICS01
Angola,AO,AGO,024,Urban,16,Other unimproved,0.004,Multiple Indicator Cluster Survey - MICS01
Angola,AO,AGO,024,Urban,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS01
Angola,AO,AGO,024,Rural,1,Flush and pour flush - to piped sewer system,0.022,Multiple Indicator Cluster Survey - MICS01
Angola,AO,AGO,024,Rural,2,Flush and pour flush - to septic tank,0.013,Multiple Indicator Cluster Survey - MICS01
Angola,AO,AGO,024,Rural,3,Flush and pour flush - to pit,0.031,Multiple Indicator Cluster Survey - MICS01
