country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Albania,AL,ALB,008,Urban,1,Flush and pour flush - to piped sewer system,0.895,Demographic and Health Survey - DHS09
Albania,AL,ALB,008,Urban,2,Flush and pour flush - to septic tank,0.044,Demographic and Health Survey - DHS09
Albania,AL,ALB,008,Urban,3,Flush and pour flush - to pit,0.043,Demographic and Health Survey - DHS09
Albania,AL,ALB,008,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.002,Demographic and Health Survey - DHS09
Albania,AL,ALB,008,Urban,5,Flush and pour flush - to elsewhere,0.007,Demographic and Health Survey - DHS09
Albania,AL,ALB,008,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Demographic and Health Survey - DHS09
Albania,AL,ALB,008,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.002,Demographic and Health Survey - DHS09
Albania,AL,ALB,008,Urban,8,Dry latrines - Traditional latrine,0.0,Demographic and Health Survey - DHS09
Albania,AL,ALB,008,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.001,Demographic and Health Survey - DHS09
Albania,AL,ALB,008,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Demographic and Health Survey - DHS09
Albania,AL,ALB,008,Urban,11,Dry latrines - Bucket latrine,0.0,Demographic and Health Survey - DHS09
Albania,AL,ALB,008,Urban,12,Dry latrines - Other,0.0,Demographic and Health Survey - DHS09
Albania,AL,ALB,008,Urban,13,Composting toilets,0.006,Demographic and Health Survey - DHS09
Albania,AL,ALB,008,Urban,14,Other improved,0.0,Demographic and Health Survey - DHS09
Albania,AL,ALB,008,Urban,15,"No facility, bush, field",0.0,Demographic and Health Survey - DHS09
Albania,AL,ALB,008,Urban,16,Other unimproved,0.0,Demographic and Health Survey - DHS09
Albania,AL,ALB,008,Urban,17,DK/missing information,0.0,Demographic and Health Survey - DHS09
Albania,AL,ALB,008,Rural,1,Flush and pour flush - to piped sewer system,0.268,Demographic and Health Survey - DHS09
Albania,AL,ALB,008,Rural,2,Flush and pour flush - to septic tank,0.24,Demographic and Health Survey - DHS09
Albania,AL,ALB,008,Rural,3,Flush and pour flush - to pit,0.366,Demographic and Health Survey - DHS09
Albania,AL,ALB,008,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.006,Demographic and Health Survey - DHS09
Albania,AL,ALB,008,Rural,5,Flush and pour flush - to elsewhere,0.061,Demographic and Health Survey - DHS09
