country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Azerbaijan,AZ,AZE,031,Urban,1,Flush and pour flush - to piped sewer system,0.74,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Urban,2,Flush and pour flush - to septic tank,0.011,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Urban,3,Flush and pour flush - to pit,0.0,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Urban,5,Flush and pour flush - to elsewhere,0.012,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.18,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Urban,8,Dry latrines - Traditional latrine,0.0,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.051,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.051,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Urban,11,Dry latrines - Bucket latrine,0.0,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Urban,12,Dry latrines - Other,0.0,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Urban,13,Composting toilets,0.0,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Urban,14,Other improved,0.0,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Urban,15,"No facility, bush, field",0.001,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Urban,16,Other unimproved,0.005,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Urban,17,DK/missing information,0.0,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Rural,1,Flush and pour flush - to piped sewer system,0.016,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Rural,2,Flush and pour flush - to septic tank,0.009,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Rural,3,Flush and pour flush - to pit,0.0,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Rural,5,Flush and pour flush - to elsewhere,0.004,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.706,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Rural,8,Dry latrines - Traditional latrine,0.0,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.259,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.111,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Rural,11,Dry latrines - Bucket latrine,0.0,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Rural,12,Dry latrines - Other,0.0,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Rural,13,Composting toilets,0.0,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Rural,14,Other improved,0.0,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Rural,15,"No facility, bush, field",0.005,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Rural,16,Other unimproved,0.001,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Rural,17,DK/missing information,0.0,Demographic and Health Survey - DHS06
Azerbaijan,AZ,AZE,031,Urban,1,Flush and pour flush - to piped sewer system,0.684,Azerbaijan demographic and health suvey - DHS11
Azerbaijan,AZ,AZE,031,Urban,2,Flush and pour flush - to septic tank,0.008,Azerbaijan demographic and health suvey - DHS11
Azerbaijan,AZ,AZE,031,Urban,3,Flush and pour flush - to pit,0.014,Azerbaijan demographic and health suvey - DHS11
Azerbaijan,AZ,AZE,031,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Azerbaijan demographic and health suvey - DHS11
Azerbaijan,AZ,AZE,031,Urban,5,Flush and pour flush - to elsewhere,0.0,Azerbaijan demographic and health suvey - DHS11
Azerbaijan,AZ,AZE,031,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Azerbaijan demographic and health suvey - DHS11
Azerbaijan,AZ,AZE,031,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.257,Azerbaijan demographic and health suvey - DHS11
