country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Burundi,BI,BDI,108,Urban,1,Flush and pour flush - to piped sewer system,0.117,Multiple Indicator Cluster Survey - MICS05
Burundi,BI,BDI,108,Urban,2,Flush and pour flush - to septic tank,0.181,Multiple Indicator Cluster Survey - MICS05
Burundi,BI,BDI,108,Urban,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS05
Burundi,BI,BDI,108,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS05
Burundi,BI,BDI,108,Urban,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS05
Burundi,BI,BDI,108,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.054,Multiple Indicator Cluster Survey - MICS05
Burundi,BI,BDI,108,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.121,Multiple Indicator Cluster Survey - MICS05
Burundi,BI,BDI,108,Urban,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS05
Burundi,BI,BDI,108,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.515,Multiple Indicator Cluster Survey - MICS05
Burundi,BI,BDI,108,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS05
Burundi,BI,BDI,108,Urban,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS05
Burundi,BI,BDI,108,Urban,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS05
Burundi,BI,BDI,108,Urban,13,Composting toilets,0.003,Multiple Indicator Cluster Survey - MICS05
Burundi,BI,BDI,108,Urban,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS05
Burundi,BI,BDI,108,Urban,15,"No facility, bush, field",0.008,Multiple Indicator Cluster Survey - MICS05
Burundi,BI,BDI,108,Urban,16,Other unimproved,0.0,Multiple Indicator Cluster Survey - MICS05
Burundi,BI,BDI,108,Urban,17,DK/missing information,0.001,Multiple Indicator Cluster Survey - MICS05
Burundi,BI,BDI,108,Rural,1,Flush and pour flush - to piped sewer system,0.001,Multiple Indicator Cluster Survey - MICS05
