country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Belize,BZ,BLZ,084,Urban,1,Flush and pour flush - to piped sewer system,0.306,Population Census - CEN00
Belize,BZ,BLZ,084,Urban,2,Flush and pour flush - to septic tank,0.466,Population Census - CEN00
Belize,BZ,BLZ,084,Urban,3,Flush and pour flush - to pit,0.0,Population Census - CEN00
Belize,BZ,BLZ,084,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Population Census - CEN00
Belize,BZ,BLZ,084,Urban,5,Flush and pour flush - to elsewhere,0.0,Population Census - CEN00
Belize,BZ,BLZ,084,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.036,Population Census - CEN00
Belize,BZ,BLZ,084,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.035,Population Census - CEN00
Belize,BZ,BLZ,084,Urban,8,Dry latrines - Traditional latrine,0.097,Population Census - CEN00
Belize,BZ,BLZ,084,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Population Census - CEN00
Belize,BZ,BLZ,084,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Population Census - CEN00
Belize,BZ,BLZ,084,Urban,11,Dry latrines - Bucket latrine,0.0,Population Census - CEN00
Belize,BZ,BLZ,084,Urban,12,Dry latrines - Other,0.0,Population Census - CEN00
Belize,BZ,BLZ,084,Urban,13,Composting toilets,0.01,Population Census - CEN00
Belize,BZ,BLZ,084,Urban,14,Other improved,0.0,Population Census - CEN00
Belize,BZ,BLZ,084,Urban,15,"No facility, bush, field",0.021,Population Census - CEN00
Belize,BZ,BLZ,084,Urban,16,Other unimproved,0.026,Population Census - CEN00
Belize,BZ,BLZ,084,Urban,17,DK/missing information,0.003,Population Census - CEN00
Belize,BZ,BLZ,084,Rural,1,Flush and pour flush - to piped sewer system,0.005,Population Census - CEN00
Belize,BZ,BLZ,084,Rural,2,Flush and pour flush - to septic tank,0.223,Population Census - CEN00
Belize,BZ,BLZ,084,Rural,3,Flush and pour flush - to pit,0.0,Population Census - CEN00
Belize,BZ,BLZ,084,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Population Census - CEN00
Belize,BZ,BLZ,084,Rural,5,Flush and pour flush - to elsewhere,0.0,Population Census - CEN00
Belize,BZ,BLZ,084,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.117,Population Census - CEN00
Belize,BZ,BLZ,084,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.174,Population Census - CEN00
Belize,BZ,BLZ,084,Rural,8,Dry latrines - Traditional latrine,0.382,Population Census - CEN00
Belize,BZ,BLZ,084,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Population Census - CEN00
Belize,BZ,BLZ,084,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Population Census - CEN00
Belize,BZ,BLZ,084,Rural,11,Dry latrines - Bucket latrine,0.0,Population Census - CEN00
Belize,BZ,BLZ,084,Rural,12,Dry latrines - Other,0.0,Population Census - CEN00
Belize,BZ,BLZ,084,Rural,13,Composting toilets,0.027,Population Census - CEN00
Belize,BZ,BLZ,084,Rural,14,Other improved,0.0,Population Census - CEN00
Belize,BZ,BLZ,084,Rural,15,"No facility, bush, field",0.064,Population Census - CEN00
