country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Central African Republic,CF,CAF,140,Urban,1,Flush and pour flush - to piped sewer system,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Urban,2,Flush and pour flush - to septic tank,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Urban,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Urban,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.006,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.414,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Urban,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.077,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Urban,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Urban,12,Dry latrines - Other,0.435,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Urban,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Urban,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Urban,15,"No facility, bush, field",0.038,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Urban,16,Other unimproved,0.005,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Urban,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Rural,1,Flush and pour flush - to piped sewer system,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Rural,2,Flush and pour flush - to septic tank,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Rural,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Rural,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.002,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.124,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Rural,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.139,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Rural,11,Dry latrines - Bucket latrine,0.001,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Rural,12,Dry latrines - Other,0.367,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Rural,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Rural,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Rural,15,"No facility, bush, field",0.357,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Rural,16,Other unimproved,0.008,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Rural,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,National,1,Flush and pour flush - to piped sewer system,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,National,2,Flush and pour flush - to septic tank,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,National,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,National,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,National,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,National,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,National,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,National,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,National,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,National,15,"No facility, bush, field",0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,National,16,Other unimproved,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,National,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS00
Central African Republic,CF,CAF,140,Urban,1,Flush and pour flush - to piped sewer system,0.007,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Urban,2,Flush and pour flush - to septic tank,0.024,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Urban,3,Flush and pour flush - to pit,0.008,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Urban,5,Flush and pour flush - to elsewhere,0.001,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.072,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Urban,8,Dry latrines - Traditional latrine,0.548,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.287,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.003,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Urban,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Urban,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Urban,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Urban,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Urban,15,"No facility, bush, field",0.045,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Urban,16,Other unimproved,0.005,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Urban,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Rural,1,Flush and pour flush - to piped sewer system,0.0,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Rural,2,Flush and pour flush - to septic tank,0.001,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Rural,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Rural,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.016,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Rural,8,Dry latrines - Traditional latrine,0.414,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.211,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.003,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Rural,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Rural,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Rural,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Rural,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Rural,15,"No facility, bush, field",0.349,Multiple Indicator Cluster Survey - MICS06
Central African Republic,CF,CAF,140,Rural,16,Other unimproved,0.006,Multiple Indicator Cluster Survey - MICS06
