country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Canada,CA,CAN,124,Urban,1,Flush and pour flush - to piped sewer system,0.888,Household Environment Survey - HES06
Canada,CA,CAN,124,Urban,2,Flush and pour flush - to septic tank,0.079,Household Environment Survey - HES06
Canada,CA,CAN,124,Urban,3,Flush and pour flush - to pit,0.006,Household Environment Survey - HES06
Canada,CA,CAN,124,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.025,Household Environment Survey - HES06
Canada,CA,CAN,124,Urban,5,Flush and pour flush - to elsewhere,0.0,Household Environment Survey - HES06
Canada,CA,CAN,124,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Household Environment Survey - HES06
Canada,CA,CAN,124,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Household Environment Survey - HES06
Canada,CA,CAN,124,Urban,8,Dry latrines - Traditional latrine,0.0,Household Environment Survey - HES06
Canada,CA,CAN,124,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Household Environment Survey - HES06
Canada,CA,CAN,124,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Household Environment Survey - HES06
Canada,CA,CAN,124,Urban,11,Dry latrines - Bucket latrine,0.0,Household Environment Survey - HES06
Canada,CA,CAN,124,Urban,12,Dry latrines - Other,0.0,Household Environment Survey - HES06
Canada,CA,CAN,124,Urban,13,Composting toilets,0.0,Household Environment Survey - HES06
Canada,CA,CAN,124,Urban,14,Other improved,0.0,Household Environment Survey - HES06
Canada,CA,CAN,124,Urban,15,"No facility, bush, field",0.0,Household Environment Survey - HES06
Canada,CA,CAN,124,Urban,16,Other unimproved,0.001,Household Environment Survey - HES06
Canada,CA,CAN,124,Urban,17,DK/missing information,0.002,Household Environment Survey - HES06
Canada,CA,CAN,124,Rural,1,Flush and pour flush - to piped sewer system,0.603,Household Environment Survey - HES06
Canada,CA,CAN,124,Rural,2,Flush and pour flush - to septic tank,0.365,Household Environment Survey - HES06
Canada,CA,CAN,124,Rural,3,Flush and pour flush - to pit,0.012,Household Environment Survey - HES06
Canada,CA,CAN,124,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.01,Household Environment Survey - HES06
Canada,CA,CAN,124,Rural,5,Flush and pour flush - to elsewhere,0.0,Household Environment Survey - HES06
Canada,CA,CAN,124,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Household Environment Survey - HES06
Canada,CA,CAN,124,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Household Environment Survey - HES06
Canada,CA,CAN,124,Rural,8,Dry latrines - Traditional latrine,0.0,Household Environment Survey - HES06
Canada,CA,CAN,124,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Household Environment Survey - HES06
Canada,CA,CAN,124,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Household Environment Survey - HES06
Canada,CA,CAN,124,Rural,11,Dry latrines - Bucket latrine,0.0,Household Environment Survey - HES06
Canada,CA,CAN,124,Rural,12,Dry latrines - Other,0.0,Household Environment Survey - HES06
Canada,CA,CAN,124,Rural,13,Composting toilets,0.0,Household Environment Survey - HES06
Canada,CA,CAN,124,Rural,14,Other improved,0.0,Household Environment Survey - HES06
Canada,CA,CAN,124,Rural,15,"No facility, bush, field",0.0,Household Environment Survey - HES06
