country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Côte d'Ivoire,CI,CIV,384,Urban,1,Flush and pour flush - to piped sewer system,0.12,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Urban,2,Flush and pour flush - to septic tank,0.189,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Urban,3,Flush and pour flush - to pit,0.095,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Urban,5,Flush and pour flush - to elsewhere,0.034,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.023,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Urban,8,Dry latrines - Traditional latrine,0.41,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.073,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Urban,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Urban,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Urban,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Urban,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Urban,15,"No facility, bush, field",0.052,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Urban,16,Other unimproved,0.001,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Urban,17,DK/missing information,0.002,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Rural,1,Flush and pour flush - to piped sewer system,0.0,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Rural,2,Flush and pour flush - to septic tank,0.019,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Rural,3,Flush and pour flush - to pit,0.036,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Rural,5,Flush and pour flush - to elsewhere,0.003,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.008,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Rural,8,Dry latrines - Traditional latrine,0.306,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.068,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Rural,11,Dry latrines - Bucket latrine,0.001,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Rural,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Rural,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Rural,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Rural,15,"No facility, bush, field",0.557,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Rural,16,Other unimproved,0.002,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Rural,17,DK/missing information,0.001,Multiple Indicator Cluster Survey - MICS06
Côte d'Ivoire,CI,CIV,384,Urban,1,Flush and pour flush - to piped sewer system,0.15,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Urban,2,Flush and pour flush - to septic tank,0.236,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Urban,3,Flush and pour flush - to pit,0.06,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Urban,5,Flush and pour flush - to elsewhere,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.316,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Urban,8,Dry latrines - Traditional latrine,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.159,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.083,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.233,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Urban,8,Dry latrines - Traditional latrine,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Urban,11,Dry latrines - Bucket latrine,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Urban,12,Dry latrines - Other,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Urban,13,Composting toilets,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Urban,14,Other improved,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Urban,15,"No facility, bush, field",0.058,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Urban,16,Other unimproved,0.005,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Urban,17,DK/missing information,0.007,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Rural,1,Flush and pour flush - to piped sewer system,0.004,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Rural,2,Flush and pour flush - to septic tank,0.027,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Rural,3,Flush and pour flush - to pit,0.008,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Rural,5,Flush and pour flush - to elsewhere,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.185,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Rural,8,Dry latrines - Traditional latrine,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.207,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.058,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.127,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Rural,8,Dry latrines - Traditional latrine,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
Côte d'Ivoire,CI,CIV,384,Rural,11,Dry latrines - Bucket latrine,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples EDSCI-III - DHS-MICS12
