country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Comoros,KM,COM,174,Urban,1,Flush and pour flush - to piped sewer system,0.005,World Health Survey - WHS03
Comoros,KM,COM,174,Urban,2,Flush and pour flush - to septic tank,0.002,World Health Survey - WHS03
Comoros,KM,COM,174,Urban,3,Flush and pour flush - to pit,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Urban,5,Flush and pour flush - to elsewhere,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.36,World Health Survey - WHS03
Comoros,KM,COM,174,Urban,8,Dry latrines - Traditional latrine,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.507,World Health Survey - WHS03
Comoros,KM,COM,174,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Urban,11,Dry latrines - Bucket latrine,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.338,World Health Survey - WHS03
Comoros,KM,COM,174,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.022,World Health Survey - WHS03
Comoros,KM,COM,174,Urban,8,Dry latrines - Traditional latrine,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Urban,11,Dry latrines - Bucket latrine,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Urban,12,Dry latrines - Other,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Urban,13,Composting toilets,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Urban,14,Other improved,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Urban,15,"No facility, bush, field",0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Urban,16,Other unimproved,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Urban,17,DK/missing information,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Rural,1,Flush and pour flush - to piped sewer system,0.003,World Health Survey - WHS03
Comoros,KM,COM,174,Rural,2,Flush and pour flush - to septic tank,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Rural,3,Flush and pour flush - to pit,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Rural,5,Flush and pour flush - to elsewhere,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.251,World Health Survey - WHS03
Comoros,KM,COM,174,Rural,8,Dry latrines - Traditional latrine,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.728,World Health Survey - WHS03
Comoros,KM,COM,174,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Rural,11,Dry latrines - Bucket latrine,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.235,World Health Survey - WHS03
Comoros,KM,COM,174,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.016,World Health Survey - WHS03
Comoros,KM,COM,174,Rural,8,Dry latrines - Traditional latrine,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Rural,11,Dry latrines - Bucket latrine,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Rural,12,Dry latrines - Other,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Rural,13,Composting toilets,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Rural,14,Other improved,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Rural,15,"No facility, bush, field",0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Rural,16,Other unimproved,0.002,World Health Survey - WHS03
Comoros,KM,COM,174,Rural,17,DK/missing information,0.0,World Health Survey - WHS03
Comoros,KM,COM,174,Urban,1,Flush and pour flush - to piped sewer system,0.074,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Urban,2,Flush and pour flush - to septic tank,0.079,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Urban,3,Flush and pour flush - to pit,0.039,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.002,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Urban,5,Flush and pour flush - to elsewhere,0.004,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.005,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.317,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Urban,8,Dry latrines - Traditional latrine,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.431,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.031,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Urban,11,Dry latrines - Bucket latrine,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Urban,12,Dry latrines - Other,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Urban,13,Composting toilets,0.014,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Urban,14,Other improved,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Urban,15,"No facility, bush, field",0.004,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Urban,16,Other unimproved,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Urban,17,DK/missing information,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Rural,1,Flush and pour flush - to piped sewer system,0.035,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Rural,2,Flush and pour flush - to septic tank,0.031,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Rural,3,Flush and pour flush - to pit,0.01,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.006,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Rural,5,Flush and pour flush - to elsewhere,0.005,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.001,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.218,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Rural,8,Dry latrines - Traditional latrine,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.62,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.054,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Rural,11,Dry latrines - Bucket latrine,0.001,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Rural,12,Dry latrines - Other,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Rural,13,Composting toilets,0.015,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Rural,14,Other improved,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Rural,15,"No facility, bush, field",0.006,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
Comoros,KM,COM,174,Rural,16,Other unimproved,0.0,Enquête Démographique et de Santé et à Indicateurs Multiples (EDSC-MICS II) 2012 - DHS-MICS12
