country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Cabo Verde,CV,CPV,132,Urban,1,Flush and pour flush - to piped sewer system,0.31,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Urban,2,Flush and pour flush - to septic tank,0.519,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Urban,3,Flush and pour flush - to pit,0.0,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Urban,5,Flush and pour flush - to elsewhere,0.001,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Urban,8,Dry latrines - Traditional latrine,0.004,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Urban,11,Dry latrines - Bucket latrine,0.0,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Urban,12,Dry latrines - Other,0.0,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Urban,13,Composting toilets,0.0,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Urban,14,Other improved,0.0,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Urban,15,"No facility, bush, field",0.165,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Urban,16,Other unimproved,0.001,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Urban,17,DK/missing information,0.0,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Rural,1,Flush and pour flush - to piped sewer system,0.013,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Rural,2,Flush and pour flush - to septic tank,0.523,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Rural,3,Flush and pour flush - to pit,0.0,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Rural,5,Flush and pour flush - to elsewhere,0.006,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Rural,8,Dry latrines - Traditional latrine,0.007,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Rural,11,Dry latrines - Bucket latrine,0.0,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Rural,12,Dry latrines - Other,0.0,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Rural,13,Composting toilets,0.0,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Rural,14,Other improved,0.0,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Rural,15,"No facility, bush, field",0.45,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Rural,16,Other unimproved,0.002,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Rural,17,DK/missing information,0.0,Inquérito Multiobjectivo Contínuo - IMC12
Cabo Verde,CV,CPV,132,Urban,1,Flush and pour flush - to piped sewer system,0.316,Inquérito Multiobjectivo Contínuo - IMC13
Cabo Verde,CV,CPV,132,Urban,2,Flush and pour flush - to septic tank,0.491,Inquérito Multiobjectivo Contínuo - IMC13
Cabo Verde,CV,CPV,132,Urban,3,Flush and pour flush - to pit,0.0,Inquérito Multiobjectivo Contínuo - IMC13
Cabo Verde,CV,CPV,132,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Inquérito Multiobjectivo Contínuo - IMC13
Cabo Verde,CV,CPV,132,Urban,5,Flush and pour flush - to elsewhere,0.0,Inquérito Multiobjectivo Contínuo - IMC13
Cabo Verde,CV,CPV,132,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Inquérito Multiobjectivo Contínuo - IMC13
Cabo Verde,CV,CPV,132,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Inquérito Multiobjectivo Contínuo - IMC13
Cabo Verde,CV,CPV,132,Urban,8,Dry latrines - Traditional latrine,0.001,Inquérito Multiobjectivo Contínuo - IMC13
Cabo Verde,CV,CPV,132,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Inquérito Multiobjectivo Contínuo - IMC13
Cabo Verde,CV,CPV,132,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Inquérito Multiobjectivo Contínuo - IMC13
Cabo Verde,CV,CPV,132,Urban,11,Dry latrines - Bucket latrine,0.0,Inquérito Multiobjectivo Contínuo - IMC13
Cabo Verde,CV,CPV,132,Urban,12,Dry latrines - Other,0.0,Inquérito Multiobjectivo Contínuo - IMC13
