country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Cuba,CU,CUB,192,Urban,1,Flush and pour flush - to piped sewer system,0.528,Multiple Indicator Cluster Survey - MICS06
Cuba,CU,CUB,192,Urban,2,Flush and pour flush - to septic tank,0.294,Multiple Indicator Cluster Survey - MICS06
Cuba,CU,CUB,192,Urban,3,Flush and pour flush - to pit,0.087,Multiple Indicator Cluster Survey - MICS06
Cuba,CU,CUB,192,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS06
Cuba,CU,CUB,192,Urban,5,Flush and pour flush - to elsewhere,0.016,Multiple Indicator Cluster Survey - MICS06
Cuba,CU,CUB,192,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.012,Multiple Indicator Cluster Survey - MICS06
Cuba,CU,CUB,192,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.037,Multiple Indicator Cluster Survey - MICS06
Cuba,CU,CUB,192,Urban,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Cuba,CU,CUB,192,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.003,Multiple Indicator Cluster Survey - MICS06
Cuba,CU,CUB,192,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Cuba,CU,CUB,192,Urban,11,Dry latrines - Bucket latrine,0.004,Multiple Indicator Cluster Survey - MICS06
Cuba,CU,CUB,192,Urban,12,Dry latrines - Other,0.001,Multiple Indicator Cluster Survey - MICS06
Cuba,CU,CUB,192,Urban,13,Composting toilets,0.014,Multiple Indicator Cluster Survey - MICS06
Cuba,CU,CUB,192,Urban,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS06
Cuba,CU,CUB,192,Urban,15,"No facility, bush, field",0.005,Multiple Indicator Cluster Survey - MICS06
Cuba,CU,CUB,192,Urban,16,Other unimproved,0.001,Multiple Indicator Cluster Survey - MICS06
Cuba,CU,CUB,192,Urban,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS06
Cuba,CU,CUB,192,Rural,1,Flush and pour flush - to piped sewer system,0.131,Multiple Indicator Cluster Survey - MICS06
Cuba,CU,CUB,192,Rural,2,Flush and pour flush - to septic tank,0.22,Multiple Indicator Cluster Survey - MICS06
Cuba,CU,CUB,192,Rural,3,Flush and pour flush - to pit,0.383,Multiple Indicator Cluster Survey - MICS06
Cuba,CU,CUB,192,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS06
Cuba,CU,CUB,192,Rural,5,Flush and pour flush - to elsewhere,0.011,Multiple Indicator Cluster Survey - MICS06
Cuba,CU,CUB,192,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.05,Multiple Indicator Cluster Survey - MICS06
Cuba,CU,CUB,192,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.146,Multiple Indicator Cluster Survey - MICS06
