country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Algeria,DZ,DZA,012,Urban,1,Flush and pour flush - to piped sewer system,0.856,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Urban,2,Flush and pour flush - to septic tank,0.091,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Urban,3,Flush and pour flush - to pit,0.006,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Urban,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.038,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Urban,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.005,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Urban,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Urban,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Urban,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Urban,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Urban,15,"No facility, bush, field",0.0,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Urban,16,Other unimproved,0.001,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Urban,17,DK/missing information,0.004,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Rural,1,Flush and pour flush - to piped sewer system,0.432,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Rural,2,Flush and pour flush - to septic tank,0.274,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Rural,3,Flush and pour flush - to pit,0.05,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Rural,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.055,Multiple Indicator Cluster Survey - MICS00
Algeria,DZ,DZA,012,Rural,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS00
