country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Ecuador,EC,ECU,218,Urban,1,Flush and pour flush - to piped sewer system,0.525,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Urban,2,Flush and pour flush - to septic tank,0.181,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Urban,3,Flush and pour flush - to pit,0.147,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Urban,5,Flush and pour flush - to elsewhere,0.0,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Urban,8,Dry latrines - Traditional latrine,0.034,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Urban,11,Dry latrines - Bucket latrine,0.0,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Urban,12,Dry latrines - Other,0.0,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Urban,13,Composting toilets,0.0,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Urban,14,Other improved,0.033,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Urban,15,"No facility, bush, field",0.072,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Urban,16,Other unimproved,0.0,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Urban,17,DK/missing information,0.008,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Rural,1,Flush and pour flush - to piped sewer system,0.168,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Rural,2,Flush and pour flush - to septic tank,0.159,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Rural,3,Flush and pour flush - to pit,0.187,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Rural,5,Flush and pour flush - to elsewhere,0.0,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Rural,8,Dry latrines - Traditional latrine,0.14,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Rural,11,Dry latrines - Bucket latrine,0.0,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Rural,12,Dry latrines - Other,0.0,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Rural,13,Composting toilets,0.0,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Rural,14,Other improved,0.06,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Rural,15,"No facility, bush, field",0.28,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Rural,16,Other unimproved,0.0,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Rural,17,DK/missing information,0.006,Integrated Public Use Microdata Series (IPUMS) record of Census - CEN01
Ecuador,EC,ECU,218,Urban,1,Flush and pour flush - to piped sewer system,0.644,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Urban,2,Flush and pour flush - to septic tank,0.193,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Urban,3,Flush and pour flush - to pit,0.115,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Urban,5,Flush and pour flush - to elsewhere,0.0,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Urban,8,Dry latrines - Traditional latrine,0.025,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Urban,11,Dry latrines - Bucket latrine,0.0,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Urban,12,Dry latrines - Other,0.0,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Urban,13,Composting toilets,0.0,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Urban,14,Other improved,0.0,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Urban,15,"No facility, bush, field",0.024,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Urban,16,Other unimproved,0.0,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Urban,17,DK/missing information,0.0,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Rural,1,Flush and pour flush - to piped sewer system,0.153,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Rural,2,Flush and pour flush - to septic tank,0.211,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Rural,3,Flush and pour flush - to pit,0.289,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Rural,5,Flush and pour flush - to elsewhere,0.0,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Rural,8,Dry latrines - Traditional latrine,0.124,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Rural,11,Dry latrines - Bucket latrine,0.0,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Rural,12,Dry latrines - Other,0.0,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Rural,13,Composting toilets,0.0,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Rural,14,Other improved,0.0,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
Ecuador,EC,ECU,218,Rural,15,"No facility, bush, field",0.222,ENCUESTA DEMOGRAFICA Y DE SALUD MATERNO INFANTIL - EDSM04
