country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Ethiopia,ET,ETH,231,Urban,1,Flush and pour flush - to piped sewer system,0.037,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Urban,2,Flush and pour flush - to septic tank,0.058,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Urban,3,Flush and pour flush - to pit,0.0,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Urban,5,Flush and pour flush - to elsewhere,0.0,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.544,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Urban,8,Dry latrines - Traditional latrine,0.0,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.136,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Urban,11,Dry latrines - Bucket latrine,0.005,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Urban,12,Dry latrines - Other,0.0,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Urban,13,Composting toilets,0.0,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Urban,14,Other improved,0.0,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Urban,15,"No facility, bush, field",0.121,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Urban,16,Other unimproved,0.031,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Urban,17,DK/missing information,0.0,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Rural,1,Flush and pour flush - to piped sewer system,0.004,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Rural,2,Flush and pour flush - to septic tank,0.004,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Rural,3,Flush and pour flush - to pit,0.0,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Rural,5,Flush and pour flush - to elsewhere,0.0,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.095,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Rural,8,Dry latrines - Traditional latrine,0.0,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.107,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Rural,11,Dry latrines - Bucket latrine,0.001,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Rural,12,Dry latrines - Other,0.0,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Rural,13,Composting toilets,0.0,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Rural,14,Other improved,0.0,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Rural,15,"No facility, bush, field",0.778,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Rural,16,Other unimproved,0.009,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Rural,17,DK/missing information,0.0,World Health Survey 2003 - WHS03
Ethiopia,ET,ETH,231,Urban,1,Flush and pour flush - to piped sewer system,0.014,Ethiopia Demographic and Health Survey 2005 - DHS05
Ethiopia,ET,ETH,231,Urban,2,Flush and pour flush - to septic tank,0.018,Ethiopia Demographic and Health Survey 2005 - DHS05
Ethiopia,ET,ETH,231,Urban,3,Flush and pour flush - to pit,0.043,Ethiopia Demographic and Health Survey 2005 - DHS05
Ethiopia,ET,ETH,231,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.003,Ethiopia Demographic and Health Survey 2005 - DHS05
Ethiopia,ET,ETH,231,Urban,5,Flush and pour flush - to elsewhere,0.002,Ethiopia Demographic and Health Survey 2005 - DHS05
Ethiopia,ET,ETH,231,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.039,Ethiopia Demographic and Health Survey 2005 - DHS05
