country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Gabon,GA,GAB,266,Urban,1,Flush and pour flush - to piped sewer system,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Urban,2,Flush and pour flush - to septic tank,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Urban,3,Flush and pour flush - to pit,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Urban,5,Flush and pour flush - to elsewhere,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.272,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Urban,8,Dry latrines - Traditional latrine,0.403,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.069,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Urban,8,Dry latrines - Traditional latrine,0.107,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.203,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Urban,8,Dry latrines - Traditional latrine,0.296,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Urban,11,Dry latrines - Bucket latrine,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Urban,12,Dry latrines - Other,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Urban,13,Composting toilets,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Urban,14,Other improved,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Urban,15,"No facility, bush, field",0.022,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Urban,16,Other unimproved,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Urban,17,DK/missing information,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Rural,1,Flush and pour flush - to piped sewer system,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Rural,2,Flush and pour flush - to septic tank,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Rural,3,Flush and pour flush - to pit,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Rural,5,Flush and pour flush - to elsewhere,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.088,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Rural,8,Dry latrines - Traditional latrine,0.827,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.042,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Rural,8,Dry latrines - Traditional latrine,0.444,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.046,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Rural,8,Dry latrines - Traditional latrine,0.383,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Rural,11,Dry latrines - Bucket latrine,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Rural,12,Dry latrines - Other,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Rural,13,Composting toilets,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Rural,14,Other improved,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Rural,15,"No facility, bush, field",0.049,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Rural,16,Other unimproved,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,Rural,17,DK/missing information,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,National,1,Flush and pour flush - to piped sewer system,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,National,2,Flush and pour flush - to septic tank,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,National,3,Flush and pour flush - to pit,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,National,5,Flush and pour flush - to elsewhere,0.0,Demographic and Health Survey - DHS00
Gabon,GA,GAB,266,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Demographic and Health Survey - DHS00
