country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Guinea,GN,GIN,324,Urban,1,Flush and pour flush - to piped sewer system,0.017,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Urban,2,Flush and pour flush - to septic tank,0.074,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Urban,3,Flush and pour flush - to pit,0.0,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Urban,5,Flush and pour flush - to elsewhere,0.0,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.006,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.57,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Urban,8,Dry latrines - Traditional latrine,0.0,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.307,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Urban,11,Dry latrines - Bucket latrine,0.0,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Urban,12,Dry latrines - Other,0.0,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Urban,13,Composting toilets,0.0,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Urban,14,Other improved,0.0,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Urban,15,"No facility, bush, field",0.015,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Urban,16,Other unimproved,0.002,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Urban,17,DK/missing information,0.01,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Rural,1,Flush and pour flush - to piped sewer system,0.0,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Rural,2,Flush and pour flush - to septic tank,0.001,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Rural,3,Flush and pour flush - to pit,0.0,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Rural,5,Flush and pour flush - to elsewhere,0.0,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.001,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.171,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Rural,8,Dry latrines - Traditional latrine,0.0,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.536,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Rural,11,Dry latrines - Bucket latrine,0.0,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Rural,12,Dry latrines - Other,0.0,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Rural,13,Composting toilets,0.0,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Rural,14,Other improved,0.0,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Rural,15,"No facility, bush, field",0.283,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Rural,16,Other unimproved,0.001,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Rural,17,DK/missing information,0.007,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP/QUIBB) - ELEP07
Guinea,GN,GIN,324,Urban,1,Flush and pour flush - to piped sewer system,0.041,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP) - ELEP12
Guinea,GN,GIN,324,Urban,2,Flush and pour flush - to septic tank,0.106,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP) - ELEP12
Guinea,GN,GIN,324,Urban,3,Flush and pour flush - to pit,0.0,Enquête Légère pour l'Evaluation de la Pauvreté (ELEP) - ELEP12
