country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Gambia,GM,GMB,270,Urban,1,Flush and pour flush - to piped sewer system,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Urban,2,Flush and pour flush - to septic tank,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Urban,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Urban,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.179,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Urban,8,Dry latrines - Traditional latrine,0.479,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.019,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Urban,11,Dry latrines - Bucket latrine,0.006,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Urban,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Urban,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Urban,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Urban,15,"No facility, bush, field",0.017,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Urban,16,Other unimproved,0.003,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Urban,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Rural,1,Flush and pour flush - to piped sewer system,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Rural,2,Flush and pour flush - to septic tank,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Rural,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Rural,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.061,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Rural,8,Dry latrines - Traditional latrine,0.743,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.048,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Rural,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Rural,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Rural,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Rural,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Rural,15,"No facility, bush, field",0.119,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Rural,16,Other unimproved,0.003,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Rural,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,National,1,Flush and pour flush - to piped sewer system,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,National,2,Flush and pour flush - to septic tank,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,National,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,National,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,National,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,National,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,National,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,National,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,National,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,National,15,"No facility, bush, field",0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,National,16,Other unimproved,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,National,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS00
Gambia,GM,GMB,270,Urban,1,Flush and pour flush - to piped sewer system,0.0,Census - CEN03
