country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Guyana,GY,GUY,328,Urban,1,Flush and pour flush - to piped sewer system,0.13,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Urban,2,Flush and pour flush - to septic tank,0.564,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Urban,3,Flush and pour flush - to pit,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Urban,5,Flush and pour flush - to elsewhere,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Urban,8,Dry latrines - Traditional latrine,0.295,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Urban,11,Dry latrines - Bucket latrine,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Urban,12,Dry latrines - Other,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Urban,13,Composting toilets,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Urban,14,Other improved,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Urban,15,"No facility, bush, field",0.01,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Urban,16,Other unimproved,0.001,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Urban,17,DK/missing information,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Rural,1,Flush and pour flush - to piped sewer system,0.042,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Rural,2,Flush and pour flush - to septic tank,0.362,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Rural,3,Flush and pour flush - to pit,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Rural,5,Flush and pour flush - to elsewhere,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Rural,8,Dry latrines - Traditional latrine,0.576,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Rural,11,Dry latrines - Bucket latrine,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Rural,12,Dry latrines - Other,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Rural,13,Composting toilets,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Rural,14,Other improved,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Rural,15,"No facility, bush, field",0.018,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Rural,16,Other unimproved,0.001,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Rural,17,DK/missing information,0.0,Population and Housing Census - 2002 - CEN02
Guyana,GY,GUY,328,Urban,1,Flush and pour flush - to piped sewer system,0.091,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Urban,2,Flush and pour flush - to septic tank,0.604,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Urban,3,Flush and pour flush - to pit,0.006,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.001,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Urban,5,Flush and pour flush - to elsewhere,0.003,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.069,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.171,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Urban,8,Dry latrines - Traditional latrine,0.0,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.033,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.011,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Urban,11,Dry latrines - Bucket latrine,0.0,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Urban,12,Dry latrines - Other,0.0,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Urban,13,Composting toilets,0.003,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Urban,14,Other improved,0.0,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Urban,15,"No facility, bush, field",0.006,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Urban,16,Other unimproved,0.001,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Urban,17,DK/missing information,0.0,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Rural,1,Flush and pour flush - to piped sewer system,0.011,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Rural,2,Flush and pour flush - to septic tank,0.359,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Rural,3,Flush and pour flush - to pit,0.006,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Rural,5,Flush and pour flush - to elsewhere,0.0,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.139,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.358,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Rural,8,Dry latrines - Traditional latrine,0.0,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.086,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.019,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Rural,11,Dry latrines - Bucket latrine,0.0,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Rural,12,Dry latrines - Other,0.0,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Rural,13,Composting toilets,0.012,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Rural,14,Other improved,0.0,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Rural,15,"No facility, bush, field",0.007,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Rural,16,Other unimproved,0.003,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Rural,17,DK/missing information,0.0,Aid Indicator Survey - AIS05
Guyana,GY,GUY,328,Urban,1,Flush and pour flush - to piped sewer system,0.088,Multiple Indicator Cluster Survey - MICS06
Guyana,GY,GUY,328,Urban,2,Flush and pour flush - to septic tank,0.591,Multiple Indicator Cluster Survey - MICS06
Guyana,GY,GUY,328,Urban,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS06
Guyana,GY,GUY,328,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS06
Guyana,GY,GUY,328,Urban,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS06
Guyana,GY,GUY,328,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.008,Multiple Indicator Cluster Survey - MICS06
Guyana,GY,GUY,328,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Survey - MICS06
