country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Haiti,HT,HTI,332,Urban,1,Flush and pour flush - to piped sewer system,0.03,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Urban,2,Flush and pour flush - to septic tank,0.087,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Urban,3,Flush and pour flush - to pit,0.026,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Urban,5,Flush and pour flush - to elsewhere,0.0,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.08,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.282,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Urban,8,Dry latrines - Traditional latrine,0.0,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.217,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.176,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Urban,11,Dry latrines - Bucket latrine,0.0,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Urban,12,Dry latrines - Other,0.0,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Urban,13,Composting toilets,0.002,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Urban,14,Other improved,0.0,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Urban,15,"No facility, bush, field",0.099,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Urban,16,Other unimproved,0.001,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Urban,17,DK/missing information,0.0,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Rural,1,Flush and pour flush - to piped sewer system,0.004,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Rural,2,Flush and pour flush - to septic tank,0.012,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Rural,3,Flush and pour flush - to pit,0.015,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Rural,5,Flush and pour flush - to elsewhere,0.0,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.027,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.112,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Rural,8,Dry latrines - Traditional latrine,0.0,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.206,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.117,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Rural,11,Dry latrines - Bucket latrine,0.0,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Rural,12,Dry latrines - Other,0.0,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Rural,13,Composting toilets,0.001,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Rural,14,Other improved,0.0,Demographic and Health Survey - DHS06
Haiti,HT,HTI,332,Rural,15,"No facility, bush, field",0.506,Demographic and Health Survey - DHS06
