country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Kenya,KE,KEN,404,Urban,1,Flush and pour flush - to piped sewer system,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Urban,2,Flush and pour flush - to septic tank,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Urban,3,Flush and pour flush - to pit,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.464,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Urban,5,Flush and pour flush - to elsewhere,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.068,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Urban,8,Dry latrines - Traditional latrine,0.421,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.026,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Urban,11,Dry latrines - Bucket latrine,0.006,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Urban,12,Dry latrines - Other,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Urban,13,Composting toilets,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Urban,14,Other improved,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Urban,15,"No facility, bush, field",0.012,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Urban,16,Other unimproved,0.002,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Urban,17,DK/missing information,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Rural,1,Flush and pour flush - to piped sewer system,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Rural,2,Flush and pour flush - to septic tank,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Rural,3,Flush and pour flush - to pit,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.062,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Rural,5,Flush and pour flush - to elsewhere,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.06,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Rural,8,Dry latrines - Traditional latrine,0.641,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.06,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Rural,11,Dry latrines - Bucket latrine,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Rural,12,Dry latrines - Other,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Rural,13,Composting toilets,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Rural,14,Other improved,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Rural,15,"No facility, bush, field",0.176,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Rural,16,Other unimproved,0.001,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,Rural,17,DK/missing information,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,National,1,Flush and pour flush - to piped sewer system,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,National,2,Flush and pour flush - to septic tank,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,National,3,Flush and pour flush - to pit,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.151,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,National,5,Flush and pour flush - to elsewhere,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.061,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,National,8,Dry latrines - Traditional latrine,0.592,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,National,9,Dry latrines - Pit latrine without slab/open pit,0.053,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
Kenya,KE,KEN,404,National,11,Dry latrines - Bucket latrine,0.001,Kenya Multiple Indicator Cluster Survey 2000 - MICS00
